particulars_1,particulars_2,appropriation,obligation,balance_appropriation_or_allotment
"Purchase, Construction and Improvement of Government Facilities","Education, Culture, Sports, and Manpower Development",48000000,-,48000000
Health Development Project,Health Development Project,12512500,-,12512500
"Purchase, Construction and Improvement of Government Facilities",Housing and Community Development,88000000,-,88000000
Agriculture Development Pproject,Agriculture Development Pproject,14650000,-,14650000
Total 20% Development Project,Total 20% Development Project,163162500,-,163162500
