particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
,,,,,,,,,,,
DEPARTMENTS,396611311,205422996,213221361,338977350,187087256,184871161,433652279,198716765,174368810,1,
,,,,,,,,,,,
   Congress of the Philippines,3382770,4425094,205145,3656042,4866450,511007,3856245,3881488,300,1,
     Senate,1037709,1237486,11784,1165607,1550894,103457,1272786,1076038,0,,
        Senate Electoral Tribunal,44526,54401,3681,57671,44598,0,65944,35029,300,,
     Commission on Appointments,110554,225442,56,117263,210233,0,155093,191945,0,,
     House of Representatives,2132778,2866840,189500,2251983,3016332,407550,2288742,2534083,0,,
        House Electoral Tribunal,57203,40925,124,63518,44393,0,73680,44393,0,,
,,,,,,,,,,,
   Office of the President,1872157,3697714,117972,1687913,2646127,32990,1695130,2482147,16504,1,
     The President's Offices,1872157,3697714,117972,1687913,2646127,32990,1695130,2482147,16504,,
,,,,,,,,,,,
   Office of the Vice-President,34715,162689,62,35902,151479,0,39268,137301,3236,,
,,,,,,,,,,,
   Department of Agrarian Reform,4449138,5204784,1687949,4079607,9780735,7199764,4608653,9246677,2850086,1,
     Office of the Secretary,4449138,5204784,1687949,4079607,9780735,7199764,4608653,9246677,2850086,,
,,,,,,,,,,,
   Department of Agriculture,3259858,18439898,19046574,2900229,12695503,25574715,3098624,12005667,22594085,1,
     Office of the Secretary,2340035,15838887,17889121,2069800,10362255,23485141,2205139,9034302,21842167,,
     Agricultural Credit Policy Council,16293,7268,0,14897,7471,0,17151,8559,0,,
     Bureau of Fisheries and Aquatic Resources,379793,1281013,609623,345459,1584576,1405602,378048,1702770,285801,,
     Cotton Development Administration,42022,6367,0,38585,7264,0,42684,8467,6512,,
     Fertilizer and Pesticide Authority,30042,19159,34174,26292,22980,44305,26725,22793,0,,
     Fiber Industry Development Authority,152568,68608,1114,136167,68118,7265,146457,64049,4400,,
     Livestock Development Council,8791,7641,451,7802,9255,0,8595,9082,0,,
     National Agricultural and Fishery Council,47284,382070,206746,40597,348853,144847,41735,891200,2878,,
     National Meat Inspection Service,119528,56273,20244,109150,58385,34000,120638,55424,66000,,
     Philippine Carabao Center,65668,163964,274592,57512,179259,437946,64525,159471,381327,,
     Philippine Center for Postharvest,,,,,,,,,,,
        Development and Mechanization,,,,,,,,,,,
        (formerly BPHRE),57834,608648,10509,53968,47087,15609,46927,49550,5000,,
,,,,,,,,,,,
   Department of Budget and Management,1046048,262308,238559,355268,374975,231300,351354,397906,31620,1,
     Office of the Secretary,1046048,262308,238559,355268,374975,231300,338432,387871,31000,,
     Government Procurement Policy Board -,,,,,,,,,,,
        Technical Support Office,0,0,0,0,0,0,12922,10035,620,,
,,,,,,,,,,,
   Department of Education,138638610,23833828,9223300,140876959,22038141,10050417,165447618,25180163,15643237,1,
     Office of the Secretary,138547900,23736852,9203799,140791473,21901433,10050417,165353341,25073705,15630149,,
     National Book Development Board,10191,10625,260,10190,11404,0,10600,11267,0,,
     National Council for Children's Television,994,6230,645,1500,13305,0,1766,4477,100,,
     National Museum,68416,50936,11810,62135,64956,0,68766,57082,12480,,
     Philippine High School for the Arts,11109,29185,6786,11661,47043,0,13145,33632,508,,
,,,,,,,,,,,
   State Universities and Colleges,19103646,2729130,2093350,18144417,3903881,1796337,20602803,2804392,0,1,
,,,,,,,,,,,
     NATIONAL CAPITAL REGION,6444063,610785,1388390,6082386,1670396,1409935,6917731,917359,0,1,
        Eulogio 'Amang' Rodriguez Institute,,,,,,,,,,,
           of Science and Technology,102755,23830,3305,96772,23073,1000,108812,24227,0,,
        Marikina Polytechnic College,45806,8217,227,53306,6693,10000,59052,5978,0,,
        Philippine Normal University,247375,49364,3009,233760,53656,115000,262670,51245,0,,
        Philippine State College of Aeronautics,48417,5901,216,50115,10383,0,56902,9646,0,,
