particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A315,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,
     National Economic and Development Authority,"725,773",0,"93,289",0,0,0,0,0,"87,150",0,"4,442",0,"8,402",0,"4,442",0,"57,069","78,830",0,0,"111,717",0,"1,171,114"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Office of the Director-General,"273,462",0,"12,005",0,0,0,0,0,"32,841",0,"1,316",0,"3,076",0,"1,316",0,"40,880","28,224",0,0,"33,172",0,"426,292"
          National Statistical Coordination Board,"27,402",0,"9,516",0,0,0,0,0,"3,290",0,135,0,316,0,135,0,"2,513","2,835",0,0,"3,371",0,"49,513"
          National Statistics Office,"394,913",0,"71,351",0,0,0,0,0,"47,413",0,"2,837",0,"4,668",0,"2,837",0,"11,148","44,657",0,0,"71,462",0,"651,286"
          Philippine National Volunteer Service,,,,,,,,,,,,,,,,,,,,,,,
                Coordinating Agency,"4,948",0,252,0,0,0,0,0,596,0,30,0,58,0,30,0,264,525,0,0,675,0,"7,378"
          Statistical Research and Training Center,"6,210",0,165,0,0,0,0,0,746,0,29,0,71,0,29,0,828,639,0,0,736,0,"9,453"
          Tariff Commission,"18,838",0,0,0,0,0,0,0,"2,264",0,95,0,213,0,95,0,"1,436","1,950",0,0,"2,301",0,"27,192"
,,,,,,,,,,,,,,,,,,,,,,,
     Presidential Communications Operations Office,"387,916",0,"3,032",0,0,0,0,0,"46,559",0,"2,254",0,"4,630",0,"2,254",0,"5,585","41,705",0,0,"58,229",0,"552,164"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Presidential Communications Operations Office (Proper),"13,139",0,"2,545",0,0,0,0,0,"1,578",0,71,0,141,0,71,0,"1,308","1,391",0,0,"1,804",0,"22,048"
          Bureau of Broadcast Services,"126,193",0,0,0,0,0,0,0,"15,144",0,707,0,"1,520",0,707,0,420,"13,458",0,0,"17,957",0,"176,106"
          Bureau of Communications Services,"11,600",0,0,0,0,0,0,0,"1,394",0,72,0,138,0,72,0,168,"1,263",0,0,"1,800",0,"16,507"
          National Printing Office,"83,137",0,0,0,0,0,0,0,"9,978",0,559,0,995,0,559,0,"1,164","9,256",0,0,"15,216",0,"120,864"
