particulars,own_type,amta1,amta2,amta3,amta4,amta5,amtb1,amtb2,amtb3,amtb4,amtb5,amtc1,amtc2,amtc3,amtc4,amtc5,sw
,,,,,,,,,,,,,,,,,
DEPARTMENTS,,108326563,22624259,451132050,203044037,30128759,45568683,20179364,422093483,192203977,30890260,96198451,26781962,480772634,157728123,45256684,1
,,,,,,,,,,,,,,,,,
     Congress of the Philippines,,4529116,0,3050328,433565,0,4443990,0,4059193,530316,0,3334106,0,4169447,234480,0,
     Office of the President,,1787671,0,411338,3488834,0,1386127,0,322179,2658724,0,1337533,0,297948,2558300,0,
     Office of the Vice-President,,36529,0,160937,0,0,38023,0,149358,0,0,42761,0,137044,0,0,
     Department of Agrarian Reform,,268537,114453,6529994,3045759,1383128,206334,113250,10922109,2633776,7184637,225622,122048,12229773,730020,3397953,
     Department of Agriculture,,5246413,791419,17029474,14144754,3534270,960690,826901,15129220,19145755,5107881,1007697,892818,13307139,15737804,6752918,
     Department of Budget and Management,,920099,51395,363978,167364,44079,205108,54401,335511,366523,0,259188,35284,266928,219480,0,
     Department of Education,,4713295,600023,158300488,7921643,160289,1713445,730697,160425724,10064541,31110,1844474,743459,197444304,6238781,0,
     State Universities and Colleges,,4725029,802742,16614924,1783431,0,3918217,780580,16552931,2592907,0,4085286,852295,18464592,5022,0,
     Department of Energy,,180552,66253,2384220,422093,25791,141813,88607,249762,3315428,315491,168599,96973,258116,356195,486757,
     Department of Environment and Natural Resources,,3744820,1113238,7629763,255925,395689,1708107,1409867,8611082,705623,420000,1837821,1462571,9131653,225478,420000,
     Department of Finance,,17921483,650020,8077388,630114,80324,3274283,1276071,5288399,964067,22693,3382356,827635,5693278,877302,1445749,
     Department of Foreign Affairs,,2513054,20804,8386376,0,0,1569146,55558,11172321,0,0,744675,59589,10145357,151545,0,
     Department of Health,,709235,398808,19625579,295165,243782,404100,1038678,21666641,5756459,418542,442157,4406491,26195519,1738198,549326,
     Department of the Interior and Local Government,,7595135,6775343,76605039,1821053,31622,2404062,3919997,56982208,2954785,198197,17015104,4379418,63649683,3129411,0,
     Department of Justice,,1945107,110633,5784868,415708,0,691138,105516,5838284,245367,0,796292,136121,6688495,76877,0,
     Department of Labor and Employment,,1382595,240369,4250260,5588665,354844,1092423,225252,4241231,1058677,0,1178306,223597,4378666,843084,0,
     Department of National Defense,,31112274,7945974,60495674,1325639,0,8830508,6523143,42182132,300144,0,44372685,9354913,45942510,5000000,0,
     Department of Public Works and Highways,,1933575,711920,14617151,121984910,19547183,921564,725398,17182179,103313217,13432099,660127,768349,18301027,68195915,22704450,
     Department of Science and Technology,,2019343,153640,3187544,485655,25440,658957,126206,4027500,354358,160739,725717,124202,4747860,274715,223859,
