particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_dsc,ssect_dsc,agy_type,owner_cd,dept,agy,owner_dsc,sect_cd
         ,92495881,98346879,106169368,0,0,2011,205,0,SOCIAL SERVICES,Subsidy to Local Government Units,,,,,,2
             DND Proper (Office of the Secretary),484347,469671,316608,0,0,2011,206,0,DEFENSE,Domestic Security,,,,,,3
                 General Headquarters (Proper),11040046,5321310,34732305,0,0,2011,207,0,DEFENSE,Domestic Security,,,,,,3
                 Philippine Air Force (Air Forces),9197269,9291073,10166488,0,0,2011,208,0,DEFENSE,Domestic Security,,,,,,3
                 Philippine Army (Land Forces),30607947,30532560,33607948,0,0,2011,209,0,DEFENSE,Domestic Security,,,,,,3
                 Philippine Navy (Maritime Forces),11027170,10639427,11368980,0,0,2011,210,0,DEFENSE,Domestic Security,,,,,,3
             Government Arsenal,374092,373161,430926,0,0,2011,211,0,DEFENSE,Domestic Security,,,,,,3
      AFP Commissary and Exchange Service,235899,0,0,0,0,2011,212,0,DEFENSE,Domestic Security,,,,,,3
      Miscellaneous Personnel Benefits Fund,0,10902614,10540028,0,0,2011,213,0,DEFENSE,Domestic Security,,,,,,3
      Contingent Fund,0,11200,14000,0,0,2011,214,0,DEFENSE,Domestic Security,,,,,,3
      Calamity Fund,0,50000,125000,0,0,2011,215,0,DEFENSE,Domestic Security,,,,,,3
      AFP  Modernization Program,0,5000000,0,0,0,2011,216,0,DEFENSE,Domestic Security,,,,,,3
      Tax Expenditures Fund,0,762840,300000,0,0,2011,217,0,DEFENSE,Domestic Security,,,,,,3
             Senate,2286979,2819958,2348824,0,0,2011,218,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Senate Electoral Tribunal,102608,102269,101273,0,0,2011,219,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Commission on Appointments,336052,327496,347038,0,0,2011,220,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             House of Representatives,5189118,5675865,4822825,0,0,2011,221,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             House Electoral Tribunal,98252,107911,118073,0,0,2011,222,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Office of the President,5660840,4367030,4193781,0,0,2011,223,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Office of the Vice-President,197455,187381,179805,0,0,2011,224,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Department of Budget and Management,1531388,961543,757303,0,0,2011,225,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Government Procurement Policy Board - Technical Support Office,0,0,23577,0,0,2011,226,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,574924,570664,1959422,0,0,2011,227,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Customs,5512037,2321003,1959827,0,0,2011,228,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Internal Revenue,5699965,6830379,6993597,0,0,2011,229,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Local Government Finance,172386,180948,188900,0,0,2011,230,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of the Treasury,14805690,396859,629713,0,0,2011,231,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Central Board of Assessment Appeals,9363,8441,8878,0,0,2011,232,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Fiscal Incentives Review Board,102,123,0,0,0,2011,233,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Insurance Commission,122551,161683,143241,0,0,2011,234,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Privatization and Management Office,28104,36749,28651,0,0,2011,235,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Tax Research Center,38070,36080,39786,0,0,2011,236,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Cooperative Development Authority,277523,282584,274305,0,0,2011,237,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,10822342,12740180,11047320,0,0,2011,238,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Foreign Service Institute,44481,34785,35189,0,0,2011,239,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Technical Cooperation Council of the Philippines,2817,5440,3299,0,0,2011,240,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             UNESCO National Commission of the Philippines,14804,16620,15358,0,0,2011,241,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Immigration,558999,360887,400533,0,0,2011,242,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Government Corporate Counsel,63541,62993,69064,0,0,2011,243,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Solicitor General,440252,383008,425857,0,0,2011,244,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,2164460,2502766,2734691,0,0,2011,245,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,476120,406723,331890,0,0,2011,246,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Research Council of the Philippines,219548,31985,40003,0,0,2011,247,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
"             Philippine Atmospheric, Geophysical and Astronomical
                Services Administration",712281,783585,1075601,0,0,2011,248,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Institute of Volcanology and Seismology,211531,111815,205667,0,0,2011,249,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Director-General,722111,676125,763407,0,0,2011,250,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Statistical Coordination Board,92553,87068,90263,0,0,2011,251,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Statistics Office,2140089,3258695,1238091,0,0,2011,252,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine National Volunteer Service Coordinating Agency,12396,11546,13586,0,0,2011,253,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Statistical Research and Training Center,35158,16147,35866,0,0,2011,254,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Tariff Commission,45951,43048,46487,0,0,2011,255,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Communications Operations Office (Proper),189847,107817,99137,0,0,2011,256,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Broadcast Services,302134,392823,292653,0,0,2011,257,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Bureau of Communications Services,32830,30111,28952,0,0,2011,258,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Printing Office,168292,131678,136964,0,0,2011,259,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             News and Information Bureau,97403,93129,91073,0,0,2011,260,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Information Agency,338287,327943,249569,0,0,2011,261,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Broadcast Staff (RTVM),178289,76677,77809,0,0,2011,262,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Games and Amusements Board,57720,56841,62077,0,0,2011,265,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Movie and Television Review and Classification Board,55003,72109,43774,0,0,2011,266,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Mindanao Development Authority,0,0,56164,0,0,2011,267,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Climate Change Commission,0,100000,38880,0,0,2011,268,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Intelligence Coordinating Agency,855873,412831,442346,0,0,2011,269,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             National Security Council,95587,60887,63295,0,0,2011,270,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Communications Development and Strategic Planning Office,0,0,0,0,0,2011,271,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Racing Commission,110052,97896,104042,0,0,2011,272,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Legislative Liaison Office,20743,21379,20811,0,0,2011,273,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Presidential Management Staff,303248,236231,227153,0,0,2011,274,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Philippine Drug Enforcement Agency,553014,520712,519885,0,0,2011,275,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Optical Media Board,32377,29520,36893,0,0,2011,276,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Anti-Money Laundering Council,11114,25654,9690,0,0,2011,277,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Professional Regulation Commission,465682,411776,474122,0,0,2011,278,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Joint Legislative-Executive Councils,458,1300,2185,0,0,2011,279,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
         Civil Service Commission,639465,614177,670823,0,0,2011,280,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Career Executive Service Board,38598,35378,43035,0,0,2011,281,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Commission on Audit,4353303,4125584,4493173,0,0,2011,282,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Commission on Elections,11337762,10544200,2380683,0,0,2011,283,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Autonomous Regional Government in Muslim Mindanao,10339140,9848637,11852801,0,0,2011,284,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Philippine Institute for Development Studies,67500,17000,25300,0,0,2011,285,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
"      People`s Television Network, Incorporated",100000,200000,0,0,0,2011,286,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Development Bank of the Philippines,5724,0,0,0,0,2011,287,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Philippine National Police Service Stores System,0,0,0,0,0,2011,288,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Philippine Deposit Insurance Corporation,4150777,0,0,0,0,2011,289,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Bangko Sentral ng Pilipinas,0,4000000,0,0,0,2011,290,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Calamity Fund,0,122000,305000,0,0,2011,291,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Contingent Fund,0,666400,833000,0,0,2011,292,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Miscellaneous Personnel Benefits Fund,0,11940958,11543840,0,0,2011,293,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      Priority Development Assistance Fund,0,130335,297840,0,0,2011,294,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      E-Government Fund,0,1000000,1190000,0,0,2011,295,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
      General Fund Adjustments,0,500000,0,0,0,2011,296,0,GENERAL PUBLIC SERVICES,General Administration,,,,,,4
             Office of the Secretary,2972210,2381560,2609014,0,0,2011,297,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Bureau of Corrections,1450215,1399853,1546628,0,0,2011,298,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             National Bureau of Investigation,939164,888810,826439,0,0,2011,299,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Parole and Probation Administration,442267,412231,456468,0,0,2011,300,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Bureau of Fire Protection,6628015,7074463,8221809,0,0,2011,301,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Bureau of Jail Management and Penology,4192096,4496305,5153053,0,0,2011,302,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Philippine National Police,60991749,49979502,69535778,0,0,2011,303,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             National Police Commission,1081084,1317007,1342359,0,0,2011,304,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Office of Civil Defense,354333,90507,96393,0,0,2011,305,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Supreme Court of the Philippines and the Lower Courts,11725267,11773937,12783344,0,0,2011,306,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
                 Presidential Electoral Tribunal,55302,59867,67377,0,0,2011,307,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Sandiganbayan,375231,343121,329549,0,0,2011,308,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Court of Appeals,866426,995076,946596,0,0,2011,309,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Court of Tax Appeals,196095,165569,180524,0,0,2011,310,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Office of the Ombudsman,1135676,1127453,1109289,0,0,2011,311,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Calamity Fund,0,310000,775000,0,0,2011,312,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Contingent Fund,0,60800,76000,0,0,2011,313,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Miscellaneous Personnel Benefits Fund,0,12163460,11758943,0,0,2011,314,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      National Unification Fund,0,50000,0,0,0,2011,315,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
      Priority Development Assistance Fund,0,10861,24820,0,0,2011,316,0,GENERAL PUBLIC SERVICES,Public Order and Safety,,,,,,4
             Presidential Commission on Good Government,358062,89329,93101,0,0,2011,317,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Metropolitan Manila Development Authority,1527422,2076901,980993,0,0,2011,318,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Barangay Officials Death Benefits Fund,0,50000,50000,0,0,2011,319,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Special Financial Assistance to Local Government Units,4722349,0,0,0,0,2011,320,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
             Financial Subsidy to Local Government Units,6627586,5674699,0,0,0,2011,321,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
      International Commitments Fund,0,1677215,3174820,0,0,2011,322,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
      Miscellaneous Personnel Benefits Fund,0,148335,143402,0,0,2011,323,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
      Tax Expenditures Fund,0,12586860,4950000,0,0,2011,324,0,GENERAL PUBLIC SERVICES,Other General Public Services,,,,,,4
         ,69996883,74424666,80344387,0,0,2011,325,0,GENERAL PUBLIC SERVICES,Subsidy to Local Government Units,,,,,,4
      ,5064000,15000000,15000000,0,0,2011,326,0,NET LENDING,NET LENDING,,,,,,5
      ,278866000,276212000,357090000,0,0,2011,327,0,DEBT-SERVICE-INTEREST PAYMENTS,DEBT-SERVICE-INTEREST PAYMENTS,,,,,,6
