Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
     Department of Social Welfare and Development,0,0,0,"1,826","180,315","182,006",0,"42,945","1,912",0,0,0,"409,004"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"1,806","180,315","180,951",0,"42,945","1,568",0,0,0,"407,585"
          Inter-Country Adoption Board,0,0,0,20,0,"1,055",0,0,344,0,0,0,"1,419"
,,,,,,,,,,,,,
     Department of Tourism,0,0,0,"20,773","6,156","7,787",0,"1,750",106,0,0,0,"36,572"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"5,000","7,787",0,"1,750",106,0,0,0,"14,643"
          Intramuros Administration,0,0,0,800,"1,156",0,0,0,0,0,0,0,"1,956"
          National Parks Development Committee,0,0,0,"19,973",0,0,0,0,0,0,0,0,"19,973"
,,,,,,,,,,,,,
     Department of Trade and Industry,0,0,0,"350,000",0,"48,976",0,"10,923","1,900",0,0,0,"411,799"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"350,000",0,"12,065",0,"2,744","1,900",0,0,0,"366,709"
          Board of Investments,0,0,0,0,0,"33,317",0,"6,979",0,0,0,0,"40,296"
          Construction Industry Authority of the Philippines,0,0,0,0,0,208,0,0,0,0,0,0,208
          Construction Manpower Development Foundation,0,0,0,0,0,143,0,0,0,0,0,0,143
          Philippine Trade Training Center,0,0,0,0,0,"2,537",0,"1,200",0,0,0,0,"3,737"
          Product Development and Design Center of the Philippines,0,0,0,0,0,706,0,0,0,0,0,0,706
,,,,,,,,,,,,,
     Department of Transportation and Communications,0,0,0,"3,450,480","851,846","143,434",0,"1,777,488","142,629","9,079,341",0,0,"15,445,218"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"3,450,480","851,846","123,776",0,"1,777,488","101,914","9,079,341",0,0,"15,384,845"
          Civil Aeronautics Board,0,0,0,0,0,"3,603",0,0,0,0,0,0,"3,603"
          Maritime Industry Authority,0,0,0,0,0,"14,551",0,0,0,0,0,0,"14,551"
