particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
               Philippine Normal University,"120,755",0,"2,985",0,0,464,0,0,0,"13,868",629,0,"1,388",0,538,0,0,"72,870","13,809",0,0,"20,069",0,"247,375"
               Philippine State College of Aeronautics,"32,194",0,0,0,0,0,0,0,0,"3,845",221,0,205,0,212,0,0,"2,248","3,703",0,0,"5,789",0,"48,417"
               Polytechnic University of the Philippines,"352,716",0,"24,508",0,0,"3,602",0,"1,053",0,"42,230","2,078",0,"3,078",0,"2,018",0,0,"75,427","40,044",0,0,"68,600",0,"615,354"
               Rizal Technological University,"86,796",0,"10,063",0,0,"1,016",0,0,0,"10,369",492,0,"1,037",0,480,0,0,"3,832","9,841",0,0,"16,748",0,"140,674"
               Technological University of the Philippines,"218,585",0,"4,133",0,0,686,0,0,0,"25,748","1,163",0,"1,780",0,"1,137",0,0,"32,166","21,467",0,0,"35,027",0,"341,892"
               University of the Philippines System,"2,747,211",0,"159,393",0,0,"65,794",0,0,0,"349,701","16,095",0,"31,050",0,"12,253",0,0,"351,295","527,068",0,0,"641,930",0,"4,901,790"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region I - ILOCOS,"688,694",0,"49,130",0,0,"7,229",0,0,0,"81,449","3,971",0,"6,890",0,"3,688",0,0,"23,659","75,486",0,0,"150,824",0,"1,091,020"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Don Mariano Marcos Memorial State University,"222,312",0,"10,290",0,0,"1,397",0,0,0,"26,959","1,246",0,"2,522",0,"1,193",0,0,"7,788","24,461",0,0,"44,292",0,"342,460"
               Ilocos Sur Polytechnic State College,"54,662",0,"3,863",0,0,520,0,0,0,"6,557",353,0,667,0,335,0,0,751,"6,454",0,0,"12,408",0,"86,570"
               Mariano Marcos State University,"176,152",0,"18,883",0,0,"2,913",0,0,0,"17,982",927,0,"1,872",0,774,0,0,"9,398","17,249",0,0,"29,340",0,"275,490"
               Pangasinan State University,"107,479",0,"13,981",0,0,"2,260",0,0,0,"14,995",737,0,"1,172",0,703,0,0,"2,759","13,255",0,0,"43,146",0,"200,487"
               University of Northern Philippines,"128,089",0,"2,113",0,0,139,0,0,0,"14,956",708,0,657,0,683,0,0,"2,963","14,067",0,0,"21,638",0,"186,013"
,,,,,,,,,,,,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,"325,327",0,"10,667",0,0,"3,077",0,137,0,"36,648","1,911",0,"2,611",0,"1,855",0,"1,538","18,610","34,483",0,0,"64,755",0,"501,619"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Abra State Institute of Science and Technology,"38,834",0,955,0,0,10,0,0,0,"4,846",300,0,466,0,0,0,353,"5,820","4,362",0,0,"8,999",0,"64,945"
               Apayao State College,"20,460",0,519,0,0,170,0,0,0,"2,342",119,0,239,0,381,0,31,306,"2,329",0,0,"5,639",0,"32,535"
               Benguet State University,"144,336",0,"1,669",0,0,"1,001",0,0,0,"15,455",865,0,803,0,822,0,0,"6,159","14,805",0,0,"26,307",0,"212,222"
               Ifugao State University (Ifugao State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Agriculture and Forestry),"50,027",0,867,0,0,"1,676",0,137,0,"6,049",255,0,516,0,275,0,291,"4,472","5,736",0,0,"9,843",0,"80,144"
               Kalinga-Apayao State College,"38,126",0,213,0,0,74,0,0,0,"4,036",167,0,381,0,179,0,0,"1,622","3,758",0,0,"6,826",0,"55,382"
               Mountain Province State Polytechnic College,"33,544",0,"6,444",0,0,146,0,0,0,"3,920",205,0,206,0,198,0,863,231,"3,493",0,0,"7,141",0,"56,391"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region II - CAGAYAN VALLEY,"508,188",0,"27,976",0,0,"12,473",0,"4,809",0,"61,053","2,970",0,"4,007",0,"2,802",0,0,"17,169","56,146",0,0,"86,093",0,"783,686"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batanes State College (Batanes,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"7,701",0,"1,243",0,0,0,0,0,0,839,82,0,108,0,42,0,0,706,934,0,0,"1,252",0,"12,907"
               Cagayan State University,"139,163",0,"21,183",0,0,"4,663",0,0,0,"17,658",874,0,807,0,823,0,0,"9,464","15,088",0,0,"22,092",0,"231,815"
               Isabela State University,"229,866",0,"4,180",0,0,"7,158",0,"2,146",0,"27,738","1,286",0,"1,872",0,"1,241",0,0,"3,320","26,004",0,0,"40,084",0,"344,895"
               Nueva Vizcaya State University ( NVSIT,,,,,,,,,,,,,,,,,,,,,,,,
                     and NVSPC),"112,976",0,"1,370",0,0,67,0,"2,663",0,"12,601",617,0,"1,000",0,589,0,0,"2,911","12,013",0,0,"19,231",0,"166,038"
               Quirino State College,"18,482",0,0,0,0,585,0,0,0,"2,217",111,0,220,0,107,0,0,768,"2,107",0,0,"3,434",0,"28,031"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region III - CENTRAL LUZON,"806,445",0,"12,494",0,0,"20,232",0,"17,226",0,"95,741","4,790",0,"7,422",0,"4,613",0,"1,889","36,469","88,284",0,0,"158,919",0,"1,254,524"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aurora State College of Technology,"17,089",0,557,0,0,8,0,0,0,"1,948",109,0,197,0,102,0,0,"2,049","1,875",0,0,"2,708",0,"26,642"
               Bataan Peninsula State University,"78,734",0,"2,060",0,0,982,0,0,0,"9,428",508,0,747,0,495,0,0,"14,784","8,915",0,0,"15,619",0,"132,272"
               Central Luzon State University,"166,836",0,804,0,0,"6,383",0,"7,645",0,"19,929","1,010",0,"1,338",0,946,0,9,"3,192","16,605",0,0,"30,296",0,"254,993"
               Bulacan State University,"93,573",0,0,0,0,"1,679",0,0,0,"11,268",551,0,"1,144",0,538,0,0,"1,147","10,910",0,0,"20,253",0,"141,063"
               Bulacan Agricultural State College,"23,822",0,85,0,0,496,0,0,0,"2,871",150,0,225,0,146,0,58,865,"2,798",0,0,"5,980",0,"37,496"
               Don Honorio Ventura Technological State,,,,,,,,,,,,,,,,,,,,,,,,
                     University (DHVCAT),"54,020",0,"4,317",0,0,308,0,700,0,"6,733",307,0,454,0,301,0,0,"1,206","5,659",0,0,"9,843",0,"83,848"
               Nueva Ecija University of Science and Technology,"104,355",0,713,0,0,"1,224",0,571,0,"11,595",533,0,803,0,505,0,0,"1,748","10,534",0,0,"17,944",0,"150,525"
               Pampanga Agricultural College,"50,844",0,"1,001",0,0,"3,816",0,"4,090",0,"6,206",326,0,466,0,311,0,"1,822","2,261","5,991",0,0,"11,065",0,"88,199"
               Philippine Merchant Marine Academy,"33,959",0,"1,632",0,0,0,0,0,0,"4,229",260,0,376,0,272,0,0,"2,440","3,908",0,0,"6,358",0,"53,434"
               Ramon Magsaysay Technological University,"53,666",0,"1,325",0,0,"4,242",0,0,0,"6,218",313,0,627,0,298,0,0,"2,194","6,351",0,0,"10,123",0,"85,357"
               Tarlac College of Agriculture,"57,160",0,0,0,0,713,0,0,0,"6,659",331,0,681,0,316,0,0,"1,663","6,595",0,0,"14,185",0,"88,303"
               Tarlac State University,"72,387",0,0,0,0,381,0,"4,220",0,"8,657",392,0,364,0,383,0,0,"2,920","8,143",0,0,"14,545",0,"112,392"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-A - CALABARZON,"480,973",0,"10,935",0,0,"3,318",0,"4,155",0,"56,733","2,864",0,"5,385",0,"2,857",0,371,"17,958","56,079",0,0,"95,591",0,"737,219"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Batangas State University,"102,062",0,"1,984",0,0,279,0,0,0,"12,523",629,0,"1,261",0,625,0,276,"3,173","12,389",0,0,"21,116",0,"156,317"
               Cavite State University,"98,450",0,"3,958",0,0,667,0,0,0,"10,749",496,0,"1,053",0,514,0,0,"7,296","11,213",0,0,"18,704",0,"153,100"
               Laguna State Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Laguna State Polytechnic College),"85,792",0,"1,775",0,0,"1,740",0,"4,155",0,"10,090",536,0,"1,019",0,511,0,0,"3,535","10,117",0,0,"14,175",0,"133,445"
               Southern Luzon State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Luzon Polytechnic College),"66,758",0,"1,132",0,0,632,0,0,0,"8,194",396,0,817,0,401,0,95,699,"7,631",0,0,"16,773",0,"103,528"
               University of Rizal System,"127,911",0,"2,086",0,0,0,0,0,0,"15,177",807,0,"1,235",0,806,0,0,"3,255","14,729",0,0,"24,823",0,"190,829"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region IV-B - MIMAROPA,"315,410",0,"11,715",0,0,684,0,0,0,"37,367","2,079",0,"3,244",0,"1,939",0,0,"11,997","34,032",0,0,"72,941",0,"491,408"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Marinduque State College,"34,154",0,211,0,0,41,0,0,0,"3,629",178,0,376,0,179,0,0,566,"4,054",0,0,"4,642",0,"48,030"
               Mindoro State College of Agriculture and Technology,"39,166",0,"5,210",0,0,449,0,0,0,"4,639",262,0,325,0,249,0,0,494,"4,718",0,0,"8,816",0,"64,328"
               Occidental Mindoro State College,,,,,,,,,,,,,,,,,,,,,,,,
                     (Occidental Mindoro National College),"51,721",0,"1,875",0,0,61,0,0,0,"6,257",408,0,630,0,323,0,0,"1,669","6,164",0,0,"12,897",0,"82,005"
               Palawan State University,"88,062",0,103,0,0,0,0,0,0,"10,001",529,0,936,0,516,0,0,"7,890","7,889",0,0,"14,031",0,"129,957"
               Romblon State University (Romblon State College),"55,122",0,328,0,0,133,0,0,0,"6,648",369,0,655,0,354,0,0,669,"5,702",0,0,"15,322",0,"85,302"
               Western Philippines University,"47,185",0,"3,988",0,0,0,0,0,0,"6,193",333,0,322,0,318,0,0,709,"5,505",0,0,"17,233",0,"81,786"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region V - BICOL,"588,041",0,"19,639",0,0,"5,368",0,"1,156",0,"68,601","3,479",0,"5,839",0,"3,427",0,75,"31,723","65,464",0,0,"159,575",0,"952,387"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Bicol University,"189,637",0,"4,677",0,0,"2,846",0,"1,156",0,"21,172","1,030",0,"2,216",0,"1,011",0,0,"18,140","21,129",0,0,"53,711",0,"316,725"
               Camarines Norte State College,"69,275",0,"1,357",0,0,22,0,0,0,"7,836",441,0,475,0,442,0,0,568,"6,996",0,0,"13,716",0,"101,128"
               Camarines Sur Polytechnic Colleges,"45,844",0,710,0,0,18,0,0,0,"5,549",267,0,607,0,260,0,0,"1,906","5,239",0,0,"8,957",0,"69,357"
               Central Bicol State University of,,,,,,,,,,,,,,,,,,,,,,,,
                     Agriculture  (Camarines Sur State,,,,,,,,,,,,,,,,,,,,,,,,
                     Agricultural College),"81,973",0,"9,414",0,0,419,0,0,0,"9,806",481,0,986,0,477,0,0,"1,444","9,384",0,0,"23,620",0,"138,004"
               Catanduanes State Colleges,"77,962",0,753,0,0,629,0,0,0,"9,522",480,0,506,0,475,0,0,"5,528","8,707",0,0,"19,690",0,"124,252"
"               Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Agriculture and Technology,"19,830",0,200,0,0,949,0,0,0,"2,380",129,0,242,0,123,0,0,"1,560","2,116",0,0,"4,807",0,"32,336"
               Partido State University,"53,249",0,"1,027",0,0,248,0,0,0,"6,401",338,0,209,0,335,0,0,970,"6,164",0,0,"16,378",0,"85,319"
               Sorsogon State College,"50,271",0,"1,501",0,0,237,0,0,0,"5,935",313,0,598,0,304,0,75,"1,607","5,729",0,0,"18,696",0,"85,266"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VI - WESTERN VISAYAS,"839,559",0,"20,466",0,0,"5,739",0,"1,380",0,"102,258","5,184",0,"7,253",0,"4,881",0,"1,541","13,053","95,563",0,0,"201,796",0,"1,298,673"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Aklan State University,"86,465",0,"5,116",0,0,184,0,0,0,"10,795",524,0,"1,000",0,505,0,500,891,"9,610",0,0,"22,047",0,"137,637"
               Capiz State University,"127,914",0,"1,805",0,0,"2,224",0,0,0,"15,537",773,0,716,0,746,0,0,957,"14,897",0,0,"29,938",0,"195,507"
               Carlos C. Hilado Memorial State College,"61,604",0,"1,135",0,0,58,0,0,0,"7,701",404,0,387,0,373,0,339,917,"7,060",0,0,"15,328",0,"95,306"
               Guimaras State College,"15,099",0,252,0,0,460,0,0,0,"1,806",94,0,88,0,94,0,0,185,"1,734",0,0,"3,462",0,"23,274"
               Iloilo State College of Fisheries,"71,742",0,"3,167",0,0,324,0,0,0,"8,672",426,0,608,0,435,0,0,240,"8,434",0,0,"17,754",0,"111,802"
               Negros State College of Agriculture,"20,191",0,166,0,0,226,0,0,0,"2,423",132,0,124,0,130,0,0,194,"2,331",0,0,"4,856",0,"30,773"
               Northern Iloilo Polytechnic State College,"92,196",0,"1,373",0,0,242,0,0,0,"11,551",606,0,"1,067",0,589,0,0,"1,676","10,052",0,0,"24,096",0,"143,448"
               Northern Negros State College of Science,,,,,,,,,,,,,,,,,,,,,,,,
                     and Technology,"12,300",0,475,0,0,0,0,0,0,"1,470",76,0,158,0,76,0,0,534,"1,406",0,0,"3,685",0,"20,180"
               University of Antique (Polytechnic State,,,,,,,,,,,,,,,,,,,,,,,,
                     College of Antique),"49,832",0,"1,020",0,0,39,0,0,0,"5,939",317,0,401,0,304,0,0,"1,157","5,738",0,0,"13,403",0,"78,150"
               Western Visayas College of Science and Technology,"105,452",0,"2,859",0,0,150,0,0,0,"12,689",612,0,567,0,571,0,0,"1,895","11,714",0,0,"20,696",0,"157,205"
               West Visayas State University,"196,764",0,"3,098",0,0,"1,832",0,"1,380",0,"23,675","1,220",0,"2,137",0,"1,058",0,702,"4,407","22,587",0,0,"46,531",0,"305,391"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VII - CENTRAL VISAYAS,"336,183",0,"1,309",0,0,"2,724",0,0,0,"39,873","1,945",0,"3,665",0,"1,891",0,0,"19,476","35,900",0,0,"66,437",0,"509,403"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Cebu Normal University,"34,833",0,0,0,0,0,0,0,0,"4,279",197,0,436,0,191,0,0,"8,813","3,939",0,0,"6,660",0,"59,348"
               Cebu Technological University (Cebu,,,,,,,,,,,,,,,,,,,,,,,,
                     State College of Science and Technology),"140,753",0,0,0,0,"2,300",0,0,0,"16,819",837,0,"1,599",0,806,0,0,"5,754","16,360",0,0,"21,555",0,"206,783"
               Bohol Island State University  (Central,,,,,,,,,,,,,,,,,,,,,,,,
"                     Visayas State College of Agr., ",,,,,,,,,,,,,,,,,,,,,,,,
                     Forestry and Tech.),"62,210",0,908,0,0,0,0,0,0,"7,450",409,0,679,0,393,0,0,"2,603","6,472",0,0,"20,427",0,"101,551"
               Negros Oriental State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Central Visayas Polytechnic College),"82,686",0,106,0,0,424,0,0,0,"9,519",407,0,853,0,407,0,0,"1,602","7,459",0,0,"12,397",0,"115,860"
               Siquijor State College,"15,701",0,295,0,0,0,0,0,0,"1,806",95,0,98,0,94,0,0,704,"1,670",0,0,"5,398",0,"25,861"
,,,,,,,,,,,,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,"747,576",0,"48,159",0,0,"13,575",0,"2,735",0,"90,638","4,722",0,"6,818",0,"4,222",0,0,"34,872","87,350",0,0,"169,918",0,"1,210,585"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
               Eastern Samar State University,"90,681",0,"5,101",0,0,"4,404",0,0,0,"10,777",621,0,944,0,580,0,0,"5,583","10,641",0,0,"26,423",0,"155,755"
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,,,,,,,,,,,,
                     Institute of Technology),"97,704",0,"1,530",0,0,"1,143",0,0,0,"11,766",595,0,"1,028",0,322,0,0,"6,852","11,356",0,0,"25,426",0,"157,722"
               Leyte Normal University,"48,018",0,700,0,0,0,0,"2,008",0,"5,691",296,0,431,0,287,0,0,"3,170","7,071",0,0,"7,394",0,"75,066"
               Visayas State University (Leyte State University),"136,420",0,"29,349",0,0,"4,387",0,0,0,"17,862",870,0,802,0,825,0,0,"4,955","16,232",0,0,"32,685",0,"244,387"
               Naval State University (Naval Institute,,,,,,,,,,,,,,,,,,,,,,,,
                     of Technology),"39,139",0,"1,660",0,0,11,0,0,0,"4,825",240,0,474,0,236,0,0,855,"4,719",0,0,"9,871",0,"62,030"
               Palompon Institute of Technology,"43,593",0,"2,064",0,0,"1,133",0,727,0,"5,256",259,0,242,0,168,0,0,"1,482","4,993",0,0,"8,666",0,"68,583"
               Southern Leyte State University,,,,,,,,,,,,,,,,,,,,,,,,
                     (Southern Leyte State College of,,,,,,,,,,,,,,,,,,,,,,,,
                     Sci. and Tech. and TONC),"69,202",0,"1,867",0,0,145,0,0,0,"7,682",456,0,701,0,437,0,0,"1,447","7,491",0,0,"16,193",0,"105,621"
               Samar State College of Agriculture and Forestry,"10,902",0,485,0,0,989,0,0,0,"1,260",66,0,145,0,62,0,0,809,"1,145",0,0,"2,303",0,"18,166"
               Samar State University (Samar State,,,,,,,,,,,,,,,,,,,,,,,,
                     Polytechnic College),"59,324",0,"1,234",0,0,499,0,0,0,"7,150",370,0,528,0,354,0,0,"4,552","6,191",0,0,"11,273",0,"91,475"
