municipality/city,position,name,nickname,party_affiliation,votes_obtained
Angeles City,City Mayor,"Pamintuan, Edgardo Dizon",Ed,Partido ABE Kapampangan,67097
Angeles City,City Vice-Mayor,"Vega, Maria Vicenta Licup",Vicky Vega,Partido ABE Kapampangan,38361
Angeles City,Councilor,"Aguas, Jericho Genaskey",Isabelgranada,Partido ABE Kapampangan,75264
Angeles City,Councilor,"Suller, Arvin Maglalang",Atty. Pogs,Partido ABE Kapampangan,71643
Angeles City,Councilor,"Nepomuceno, Bryan Matthew Cuyugan",Bry,Nationalist People's Coalition,71559
Angeles City,Councilor,"Lacson, Danica Ayson",Dan,Partido ABE Kapampangan,65750
Angeles City,Councilor,"Morales, Maricel Gomez",Marang,Partido ABE Kapampangan,65324
Angeles City,Councilor,"Pamintuan, Edgardo Jr. De Guzman",Edu,Partido ABE Kapampangan,64879
Angeles City,Councilor,"Indiongco, Alexander Pangan",Mr. In,Partido ABE Kapampangan,58275
Angeles City,Councilor,"Lazatin, Carmelo Jr. Gurion",Pogi,Lakas-Christian Muslim Democratic,56763
Angeles City,Councilor,"Sangil, Maximo Lumanlan",Max,Lakas-Christian Muslim Democratic,47914
Angeles City,Councilor,"Rivera, Amos Bartolome",Mr Lupaho,Partido ABE Kapampangan,45274
Apalit,Mayor,"Tetangco, Oscar Jr. Dizon",Jun,Nationalist People's Coalition/Kapanalig at Kambihan Ning Memalen Pampangan,26938
Apalit,Vice Mayor,"Nucom, Pedro Cortez",Peter,Nationalist People's Coalition/Kapanalig at Kambihan Ning Memalen Pampangan,26172
Apalit,Councilor,"Manlapaz, Augusto Danting",Gus,Kapanalig at Kambihan Ning Memalen Pampangan,20930
Apalit,Councilor,"Torres, Jesus Garcia",Doc J,Nationalist People's Coalition,17455
Apalit,Councilor,"Dalusung, Jedalyn Lopez",Jed,Kapanalig at Kambihan Ning Memalen Pampangan,16344
Apalit,Councilor,"Mendoza, Elias Jr. Lansangan",Doc Elias,Kapanalig at Kambihan Ning Memalen Pampangan,16317
Apalit,Councilor,"Mendoza, Sanny Dungo",Sanny,Kapanalig at Kambihan Ning Memalen Pampangan,15119
Apalit,Councilor,"Castro, Fortunato Dungca",Atoy,Nationalist People's Coalition,14628
Apalit,Councilor,"Macalino, Ma. Ana Theresa Morales",An,Kapanalig at Kambihan Ning Memalen Pampangan,14163
Apalit,Councilor,"Guanzon, Cruzaldo Capili",Zaldy,Kapanalig at Kambihan Ning Memalen Pampangan,13681
Arayat,Mayor,"Alejandrino, Emmanuel Manahan",Bon,Liberal Party,20162
Arayat,Vice Mayor,"Changcoco, Ramon Martinez",Monching,Independent,18349
Arayat,Councilor,"Lumbang, Cheryl Mercado",Che,Kapanalig at Kambihan Ning Memalen Pampangan,20741
Arayat,Councilor,"Balagtas, Marlon Turgo",Marlon,Independent,19917
Arayat,Councilor,"Changcoco, Nestor Espino",Loi,Kapanalig at Kambihan Ning Memalen Pampangan,18438
Arayat,Councilor,"Alejandrino, Ronald Mallari",Dong,Independent,17103
Arayat,Councilor,"Luriz, Jeffrey Manuel",Jeff,Kapanalig at Kambihan Ning Memalen Pampangan,17012
