city-or_municipality,position,name,nickname,party_affiliation,votes_obtained
Compostela,Mayor,"Castillo, Reynaldo Quijano",Rey,Lakas-Christian Muslim Democrats,13737
Compostela,Vice-Mayor,"Bolo, Jessie Sasuman",Jsb,Liberal Party,12612
Compostela,Councilor,"Musong, Paulino Gumanit",Lino,Lakas-Christian Muslim Democrats,8274
Compostela,Councilor,"Vargas, Miguel Jr. Garcia",Boy,Liberal Party,8505
Compostela,Councilor,"Romano, Josielyn Ang",Jo,Lakas-Christian Muslim Democrats,11812
Compostela,Councilor,"Arcales, Teofilo Siento",Pepe,Lakas-Christian Muslim Democrats,8080
Compostela,Councilor,"Blanco, Juric Gulong",Batman,Liberal Party,9105
Compostela,Councilor,"Ang, Adolfo Calibay",Dolfo,Liberal Party,8332
Compostela,Councilor,"Jimenez, Haidee Suarez",Haidee,Lakas-Christian Muslim Democrats,12863
Compostela,Councilor,"Atamosa, Nena Gonoya",Ate Nenz,Independent,8067
Laak San Vicente,Mayor,"Navarro, Reynaldo Bonghanoy",Rey,Lakas-Christian Muslim Democrats,11769
Laak San Vicente,Vice-Mayor,"Jovita, Christopher Ubuangan",Boyet,Independent,9025
Laak San Vicente,Councilor,"Sebio, William Amac",Yam,Lakas-Christian Muslim Democrats,6515
Laak San Vicente,Councilor,"Pacatang, Carlito Aringo",Lito,Lakas-Kabalikat ng Malayang Pilipino,7052
Laak San Vicente,Councilor,"Dolojan, Victorio Rabanes",Benton,Lakas-Kabalikat ng Malayang Pilipino,7215
Laak San Vicente,Councilor,"Arambala, Anna Ayessa Bisnar",Ai-Ai,Lakas-Christian Muslim Democrats,7258
Laak San Vicente,Councilor,"Abellanida, Emeterio Jr. Torres",Jun,Lakas-Kabalikat ng Malayang Pilipino,8345
Laak San Vicente,Councilor,"Bibera, Ramon Salazar",Mon,Lakas-Kabalikat ng Malayang Pilipino,8374
Laak San Vicente,Councilor,"Millana, Florentino Petalcorin",Toto,Lakas-Christian Muslim Democrats,9327
Laak San Vicente,Councilor,"Llanto, Elias Guatno",Ely,Lakas-Christian Muslim Democrats,9690
Mabini Dona Alicia,Mayor,"Munoz, Amir Bangasin",Hadz,United Opposition,3835
Mabini Dona Alicia,Vice-Mayor,"Dayanghirang, Reynaldo Lechoncito",Rey,Lakas-Christian Muslim Democrats,6467
Mabini Dona Alicia,Councilor,"Rabia, Carmel Lorraine Almadin",Kwin,Lakas-Christian Muslim Democrats,4410
Mabini Dona Alicia,Councilor,"Sales, Providencio Jr. Cabaron",Jun,Lakas-Christian Muslim Democrats,4230
Maco,Mayor,"Rimando, Arthur Carlos Voltaire Rabe",Volter,Lakas-Christian Muslim Democrats,16121
Maco,Vice-Mayor,"Suelto, Charles Pacana",Charlie,Lakas-Christian Muslim Democrats,18947
Maco,Councilor,"Alo, Emilio Jr. Macasero",Emil,-,10271
Maco,Councilor,"Amolong, Oscar Caong",Sano,-,10357
