province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Zamboanga Sibugay,Payao,Vice-Mayor,"Chiong, Carlito Alvarado",Bobong,Lakas-Christian Muslim Democrats,5260
Zamboanga Sibugay,Payao,Councilor,"Awing, Letecia Faburada",Letty,Lakas-Christian Muslim Democrats,5155
Zamboanga Sibugay,Payao,Councilor,"Bechayda, Jaime Sanque",Tata,Lakas-Christian Muslim Democrats,4419
Zamboanga Sibugay,Payao,Councilor,"Banagan, Reymondo Saguin",Rey,Lakas-Christian Muslim Democrats,4209
Zamboanga Sibugay,Payao,Councilor,"Chua, Josephine Bagsangit",Cheng,Lakas-Christian Muslim Democrats,4068
Zamboanga Sibugay,Payao,Councilor,"Maata, Paulino Jr. Manginsay",Jun,Lakas-Christian Muslim Democrats,4030
Zamboanga Sibugay,Payao,Councilor,"Buhisan, Abbas Ladja",Bas,Lakas-Christian Muslim Democrats,3560
Zamboanga Sibugay,Payao,Councilor,"Susbilla, Geraldine Pallon",Inday,Lakas-Christian Muslim Democrats,3077
Zamboanga Sibugay,Payao,Councilor,"Abdul, Metchana Ahamad",Metchil,Lakas-Christian Muslim Democrats,3076
Zamboanga Sibugay,Roseller Lim,Mayor,"Piodena, Danilo J",Dan,Labang ng Demokratikong Pilipino,6760
Zamboanga Sibugay,Roseller Lim,Vice-Mayor,"Sumicad, Wilson Remegio",,Labang ng Demokratikong Pilipino,5348
Zamboanga Sibugay,Roseller Lim,Councilor,"Cenas, Edna Bag-Ao",Inday,Lakas-Christian Muslim Democrats,5118
Zamboanga Sibugay,Roseller Lim,Councilor,"Capri, Noli Cahilig",Tata,Lakas-Christian Muslim Democrats,4604
Zamboanga Sibugay,Roseller Lim,Councilor,"Subibi, Syril Piodena",Toto,Independent,4599
Zamboanga Sibugay,Roseller Lim,Councilor,"Cubio, Inocencio Pancho",Inoy,Labang ng Demokratikong Pilipino,4333
Zamboanga Sibugay,Roseller Lim,Councilor,"Cababat, Lucio Deniega",Gen,Labang ng Demokratikong Pilipino,3943
Zamboanga Sibugay,Roseller Lim,Councilor,"Sumicad, Edna Basatan",Dhay or  Ed,Labang ng Demokratikong Pilipino,3866
Zamboanga Sibugay,Roseller Lim,Councilor,"Carreon, Danilo A.",Danny,Labang ng Demokratikong Pilipino,3861
Zamboanga Sibugay,Roseller Lim,Councilor,"Piodena, Michael A.",Papong,Labang ng Demokratikong Pilipino,3830
Zamboanga Sibugay,Siay,Mayor,"Luspo, Arthur Wate",Art,Lakas-Christian Muslim Democrats,7767
Zamboanga Sibugay,Siay,Vice-Mayor,"Semella, Valentin Bumatay",Val,Lakas-Christian Muslim Democrats,8094
Zamboanga Sibugay,Siay,Councilor,"Salinding, Cheryl Hinaut",Cheng,Lakas-Christian Muslim Democrats,6424
Zamboanga Sibugay,Siay,Councilor,"Agraviador, Jean Casamayor",Jean,Lakas-Christian Muslim Democrats,6141
Zamboanga Sibugay,Siay,Councilor,"Kling, Nelcy Dubduban",Neneng,Puwersa ng Masang Pilipino,5232
Zamboanga Sibugay,Siay,Councilor,"Constantino, Rene Mirasol",Ren,Lakas-Christian Muslim Democrats,4831
Zamboanga Sibugay,Siay,Councilor,"Alverio, Emilio Hiron",Emil,Lakas-Christian Muslim Democrats,4753
Zamboanga Sibugay,Siay,Councilor,"Acosta, Julius Jr. Mandi",Jun-Jun,Lakas-Christian Muslim Democrats,4651
Zamboanga Sibugay,Siay,Councilor,"Decipulo, Leonardo Paguntalan",Ando,Lakas-Christian Muslim Democrats,4580
Zamboanga Sibugay,Siay,Councilor,"Catunao, George Rommel Saplot",Grc,Independent,4433
Zamboanga Sibugay,Talusan,Mayor,"Ramiso, Orlando Ajero",Loloy,Lakas-Christian Muslim Democrats,3169
Zamboanga Sibugay,Talusan,Vice-Mayor,"Aringoy, Florencio Banez",Edok,Labang ng Demokratikong Pilipino,2984
Zamboanga Sibugay,Talusan,Councilor,"Sihilan, Billy Baiti",Bill,Independent,3254
Zamboanga Sibugay,Talusan,Councilor,"Lim, Basilisa Gucela",Kiking,Lakas-Christian Muslim Democrats,3075
Zamboanga Sibugay,Talusan,Councilor,"Bagonoc, Reymond Osana",Mon,Lakas-Christian Muslim Democrats,2575
Zamboanga Sibugay,Talusan,Councilor,"Nassai, Abdulhani Jamdani",Abdul,Independent,2505
Zamboanga Sibugay,Talusan,Councilor,"Bacalso, Rodolfo Quilong-Quilong",Dodong,Lakas-Christian Muslim Democrats,2447
Zamboanga Sibugay,Talusan,Councilor,"Lipae, Jul Dasali","Lacks, Lakong",Labang ng Demokratikong Pilipino,2352
Zamboanga Sibugay,Talusan,Councilor,"Salapuddin, Hamjan Jamdani",Imam,Independent,2193
Zamboanga Sibugay,Talusan,Councilor,"Damgo, Prudencio Monares",Olding or Ding or  Dam,Lakas-Christian Muslim Democrats,2000
Zamboanga Sibugay,Titay,Mayor,"Rillera, Gil Dumpit",Gil,Lakas-Christian Muslim Democrats,9462
Zamboanga Sibugay,Titay,Vice-Mayor,"Alegre, Edgar Nerosa",Ed,KNP,7166
Zamboanga Sibugay,Titay,Councilor,"Yamaro, Jovan Adecir",Jojo,Lakas-Christian Muslim Democrats,8405
Zamboanga Sibugay,Titay,Councilor,"Jajurie, Mujahid Centi",Jed,KNP,7543
Zamboanga Sibugay,Titay,Councilor,"Batan, Ronie Jose Igloria",Bobong or Bong,Lakas-Christian Muslim Democrats,7386
Zamboanga Sibugay,Titay,Councilor,"Ricaborda, Florencio Salinas",Flor or Ronnie,Lakas-Christian Muslim Democrats,7220
Zamboanga Sibugay,Titay,Councilor,"Cenabre, Jose Riel Soria",Bobong,Lakas-Christian Muslim Democrats,6987
Zamboanga Sibugay,Titay,Councilor,"Castillo, Ronie Alegre",Nonoy or Noy or  Ron,KNP,6516
Zamboanga Sibugay,Titay,Councilor,"Ramos, Orlando Bautista",Lando,KNP,6392
Zamboanga Sibugay,Titay,Councilor,"Viernes, Gerardo Ducusin",Gerry,Lakas-Christian Muslim Democrats,5956
Zamboanga Sibugay,Tungawan,Mayor,"Climaco, Arsenio Fortich",Zeny,Lakas-Christian Muslim Democrats,6546
Zamboanga Sibugay,Tungawan,Vice-Mayor,"Jocson, Julyven Paloma",Wes-J,Lakas-Christian Muslim Democrats,5430
Zamboanga Sibugay,Tungawan,Councilor,"Abison, Abduraup Abunawas",Laup,Lakas-Christian Muslim Democrats,4800
Zamboanga Sibugay,Tungawan,Councilor,"Desoasido, Pablito Alfere",Toto,Lakas-Christian Muslim Democrats,4417
Zamboanga Sibugay,Tungawan,Councilor,"De Leon, Marfred Casipong",Fred,Lakas-Christian Muslim Democrats,4389
Zamboanga Sibugay,Tungawan,Councilor,"Caracol, Loreto Fuentes",Lor,Lakas-Christian Muslim Democrats,4082
Zamboanga Sibugay,Tungawan,Councilor,"Panes, Perfecto Javar",Bebot,Lakas-Christian Muslim Democrats,3126
Zamboanga Sibugay,Tungawan,Councilor,"Gregorio, Albert Padayhag",Edwin,Lakas-Christian Muslim Democrats,2966
Zamboanga Sibugay,Tungawan,Councilor,"Jalla, Abdulsalam Mahamud",Salam,Puwersa ng Masang Pilipino,2580
Zamboanga Sibugay,Tungawan,Councilor,"Bawa, Sarabon Sahi",Bons,Independent,2504
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,, ,,,,
