city_or_municipality,position,name,party_affiliation,votes_obtained
Naga City,Councilor,"Chiong, Othello Mendiola",Nationalista Party,25636
Naga City,Councilor,"Chiong, Virgilio Mendiola",Nationalista Party,25624
Naga City,Councilor,"Lapitan, Elmer Quiros",Nationalista Party,25335
Naga City,Councilor,"Alinsonorin, Nilo Base",Nationalista Party,24054
Naga City,Councilor,"Cruz, Carmelino Jr. Navales",Nationalista Party,22636
Naga City,Councilor,"Navarro, Rodrigo Arar",Nationalista Party,22380
Naga City,Councilor,"Se, Afshin Mark Kong",Nationalista Party,22233
Naga City,Councilor,"Abangan, Letecia Felices",Nationalista Party,22133
Oslob,Mayor,"Guaren, Ronald Luna",One Cebu,6896
Oslob,Vice-Mayor,"Rendon, Leonardo Samson",One Cebu,7044
Oslob,Councilor,"Filosofo, Nenita Tano",One Cebu,5310
Oslob,Councilor,"Luzano, Carlos Soyoc",One Cebu,4484
Oslob,Councilor,"Mirasol, Teodoro Dalumpines",One Cebu,4420
Oslob,Councilor,"Butron, Raul Dagaas",Independent,4374
Oslob,Councilor,"Tan, Kenneth Cabigon",One Cebu,4260
Oslob,Councilor,"Sabandal, Rodrigo Friolo",One Cebu,4061
Oslob,Councilor,"Llena, Petronio Jr. Dela Piedra",One Cebu,4014
Oslob,Councilor,"Gonesto, Cornelia Vequiso",One Cebu,3862
Pilar,Mayor,"Fernandez, Jesus Jr. Angus",Barug Alang sa Kauswagan ng Demokrasya,3865
Pilar,Vice-Mayor,"Borinaga, Eli Bustillo",One Cebu,3482
Pilar,Councilor,"Santiago, Manuel Posas",Barug Alang sa Kauswagan ng Demokrasya,4260
Pilar,Councilor,"Ceballos, Antonio Roche",Barug Alang sa Kauswagan ng Demokrasya,3926
Pilar,Councilor,"Pedericos, Antonieto Sr. Lorejas",Barug Alang sa Kauswagan ng Demokrasya,3710
Pilar,Councilor,"Fernandez, Mercury Cabungcal",Barug Alang sa Kauswagan ng Demokrasya,3664
Pilar,Councilor,"Calumpag, Reynaldo Monter",One Cebu,3545
Pilar,Councilor,"Maratas, Eufracio Jr. Pagalan",Barug Alang sa Kauswagan ng Demokrasya,3504
Pilar,Councilor,"Angus, Willou Christopher Luchavez",Barug Alang sa Kauswagan ng Demokrasya,3460
Pilar,Councilor,"Cabahug, Evelyn A",One Cebu,3401
Pinamungahan,Mayor,"Baricuatro, Glenn Fuentes",One Cebu,14771
Pinamungahan,Vice-Mayor,"Yapha, Maria Honeylette Pepania",Liberal Party,15747
Pinamungahan,Councilor,"Yapha, Jeffrey Anthony Pepania",Liberal Party,14041
Pinamungahan,Councilor,"Cerna, Oscar Jr. Caballes",One Cebu,11767
Pinamungahan,Councilor,"Canillo, Richard Moreno",One Cebu,10967
Pinamungahan,Councilor,"Cerna, Manuelito Piczon",Liberal Party,10908
Pinamungahan,Councilor,"Alpas, Julius Tellidua",One Cebu,10407
Pinamungahan,Councilor,"Cantero, Maria Flores De Gracia",Liberal Party,10226
Pinamungahan,Councilor,"Fernandez, Benito Ani",Liberal Party,9578
Pinamungahan,Councilor,"Faciol, Ernesto Parages",Liberal Party,9453
Poro,Mayor,"Rama, Luciano Jr. Donasco",Barug Alang sa Kauswagan ng Demokrasya,8950
Poro,Vice-Mayor,"Rama, Edgar Gadingan",Barug Alang sa Kauswagan ng Demokrasya,7126
Poro,Councilor,"Morata, Roel Payot",Barug Alang sa Kauswagan ng Demokrasya,6894
Poro,Councilor,"Borlasa, Reza Gonzales",Barug Alang sa Kauswagan ng Demokrasya,6617
Poro,Councilor,"Carcellar, Emie Jr. Pajaron",Barug Alang sa Kauswagan ng Demokrasya,5920
Poro,Councilor,"Surbano, William Garciano",Barug Alang sa Kauswagan ng Demokrasya,5746
Poro,Councilor,"Estrera, Ian Tan",Barug Alang sa Kauswagan ng Demokrasya,5577
Poro,Councilor,"Donaire, Rogan Miranda",Independent,5536
Poro,Councilor,"Estrera, Numeriano Elizalde",Independent,5212
Poro,Councilor,"Zurita, Augustos Dalaguit",Barug Alang sa Kauswagan ng Demokrasya,5128
Ronda,Mayor,"Blanco, Mariano Iii Yap",One Cebu,8484
Ronda,Vice-Mayor,"Ungab, Jonnah John Blanco",One Cebu,8650
Ronda,Councilor,"Gabatan, Rocky Tobes",Independent,6827
Ronda,Councilor,"Ricahuerta, Concepcion Marinduque",One Cebu,5712
Ronda,Councilor,"Georpe, Jessa Ni Ibarbia",One Cebu,5412
Ronda,Councilor,"Llego, Jorge Famor",One Cebu,5339
Ronda,Councilor,"Ca, Jay-Ann Villalon",One Cebu,5133
Ronda,Councilor,"Verzosa, Flordelio Andan",One Cebu,4827
Ronda,Councilor,"Villafuerte, Alfredo Banico",One Cebu,4826
Ronda,Councilor,"Dela Cruz, Rogelio Gimena",Liberal Party,4335
Samboan,Mayor,"Calderon, Raymond Joseph Durano",Liberal Party,6558
Samboan,Vice-Mayor,"Calderon, Emerito Jr. Durano",Liberal Party,6592
Samboan,Councilor,"Gamallo, Irving Penera",Liberal Party,6232
Samboan,Councilor,"Omale, Nador Espadilla",Liberal Party,5701
Samboan,Councilor,"Limpahan, Teodoro Jr. Ferolino",Liberal Party,5534
Samboan,Councilor,"Nellas, Reggie Pielago",Liberal Party,5453
Samboan,Councilor,"Tano, Conchito Tolentin",Liberal Party,5430
Samboan,Councilor,"Catubig, Zosimo Rusiana",Liberal Party,5409
Samboan,Councilor,"Anjao, Eduardo Germudo",Liberal Party,4901
Samboan,Councilor,"Luardo, Richard Hisoler",Liberal Party,4743
San Fernando,Mayor,"Canoy, Antonio Llanto",Liberal Party,16187
San Fernando,Vice-Mayor,"Canoy, Miguel Antonio Nadela",Liberal Party,16333
San Fernando,Councilor,"Loguiber, Vidala Alcover",Liberal Party,14639
San Fernando,Councilor,"Enad, Erico Sarucam",Nationalista Party,13962
San Fernando,Councilor,"Baricuatro, Eutiquio Obaob",Liberal Party,13594
San Fernando,Councilor,"Manlosa, Santiago Charito Basco",Liberal Party,13565
San Fernando,Councilor,"Adlawan, Raymundo Generale",Liberal Party,13291
San Fernando,Councilor,"Medalla, Philip Jude Daclan",Nationalista Party,12975
San Fernando,Councilor,"Umbay, Cecilia Canoy",Liberal Party,12722
San Fernando,Councilor,"Taping, Gerundio Panilagan",Nationalista Party,12632
San Francisco,Mayor,"Arquillano, Aly Aranas",Barug Alang sa Kauswagan ng Demokrasya,14584
San Francisco,Vice-Mayor,"Arquillano, Allan Aranas",Barug Alang sa Kauswagan ng Demokrasya,13746
San Francisco,Councilor,"Capao, Aaron Jr. Arquillano",Barug Alang sa Kauswagan ng Demokrasya,12539
San Francisco,Councilor,"Obenza, Avelino Se",Barug Alang sa Kauswagan ng Demokrasya,10576
San Francisco,Councilor,"Maningo, Edgardo Bonjoc",Independent,10181
San Francisco,Councilor,"Capao, Hector Latonio",Independent,9892
San Francisco,Councilor,"Cartagena, Alejandro Formentera",Barug Alang sa Kauswagan ng Demokrasya,9041
San Francisco,Councilor,"Borromeo, Renato Parama",Barug Alang sa Kauswagan ng Demokrasya,8113
San Francisco,Councilor,"Andrade, Aurelia Pulvera",Barug Alang sa Kauswagan ng Demokrasya,7183
San Francisco,Councilor,"Formentera, Silvestre Jr. Ple",Barug Alang sa Kauswagan ng Demokrasya,7148
San Remigio,Mayor,"Martinez, Mariano Rodriguez",Liberal Party,14591
San Remigio,Vice-Mayor,"Pestolante, Alfonso Comahig",National Unity Party,13095
San Remigio,Councilor,"Loon, Conrado Argawanon",National Unity Party,13296
San Remigio,Councilor,"Dela Pe, Rizmar Ornopia",Liberal Party,12916
San Remigio,Councilor,"Olivar, Pablito Singuran",National Unity Party,12155
San Remigio,Councilor,"Verallo, Pantaleon Jr. Cantor",National Unity Party,11588
San Remigio,Councilor,"Frasco, Edrico Rondina",Liberal Party,10847
San Remigio,Councilor,"Reynes, Rosario Solon",Liberal Party,10787
San Remigio,Councilor,"Po, Williamson Reyes",National Unity Party,10579
San Remigio,Councilor,"Rondina, Benjamin Sr. Dabalos",National Unity Party,10324
Santa Fe,Mayor,"Esgana, Jose Batiancila",One Cebu,5854
Santa Fe,Vice-Mayor,"Espinosa, Celso Almodiel",Liberal Party,4045
Santa Fe,Councilor,"Cabrera, Mary Greleigh Ple",One Cebu,6706
Santa Fe,Councilor,"Repaso, Jayson Giducos",Independent,6660
Santa Fe,Councilor,"Pasasadaba, Joan Gay Montemar",Liberal Party,6199
Santa Fe,Councilor,"Pacilan, Louwela Gilbuena",Independent,6019
Santa Fe,Councilor,"Saagundo, Renato Escaner",One Cebu,5706
Santa Fe,Councilor,"Espinosa, Ithamar Postrero",One Cebu,5690
Santa Fe,Councilor,"Cabrera, Roel Esgana",One Cebu,5123
Santa Fe,Councilor,"Bataycan, Froline Giducos",Liberal Party,4944
Santander,Mayor,"Wenceslao, Marilyn Singco",Liberal Party,6072
Santander,Vice-Mayor,"Wenceslao, Wilson Singco",Liberal Party,6189
Santander,Councilor,"Esta, Jesusa Juguilon",Liberal Party,5153
Santander,Councilor,"Miral, Wilbert Valle",Liberal Party,4490
Santander,Councilor,"Belotindos, Deogracia Miparanum",Liberal Party,4217
Santander,Councilor,"Gador, Santiago Gabales",Liberal Party,4181
Santander,Councilor,"Buscato, Marites Bureros",Liberal Party,4144
Santander,Councilor,"Serencio, Elenita Audiencia",Liberal Party,4060
Santander,Councilor,"Teves, Napoleon Enrique Jr. Miparano",Liberal Party,4039
Santander,Councilor,"Puspus, Juanito Ondangan",Liberal Party,3886
Sibonga,Mayor,"Bacaltos, Lionel Echavez",Nationalista Party,19521
Sibonga,Vice-Mayor,"Apuda, Cirilo Perdiguez",Nationalista Party,17654
Sibonga,Councilor,"Codilla, Thomas Canape",Nationalista Party,12453
Sibonga,Councilor,"Laude, Mariano _",Nationalista Party,12079
Sibonga,Councilor,"Dadula, Metodio Suarez",Nationalista Party,11563
Sibonga,Councilor,"Uytico, Gonzalo Pastor",Nationalista Party,11554
Sibonga,Councilor,"Chan, Mary Joejie Ponce",Liberal Party,10831
Sibonga,Councilor,"Bugtai, Marianito Diez",Nationalista Party,9983
Sibonga,Councilor,"Patalinghug, Gina Alicaya",Liberal Party,9905
Sibonga,Councilor,"Caballes, Sofronio Cabellon",Nationalista Party,9537
Sogod,Mayor,"Streegan, Lissa Marie Durano",Barug Alang sa Kauswagan ng Demokrasya,12225
Sogod,Vice-Mayor,"Streegan, Richard Butalid",Barug Alang sa Kauswagan ng Demokrasya,10485
Sogod,Councilor,"Cabahug, Lyn Branzuela",Barug Alang sa Kauswagan ng Demokrasya,10506
Sogod,Councilor,"Presillas, Woodrow Quiros",Barug Alang sa Kauswagan ng Demokrasya,9753
Sogod,Councilor,"Brigoli, William Garbo",Barug Alang sa Kauswagan ng Demokrasya,9386
Sogod,Councilor,"Ceniza, Elmer Coliflores",Barug Alang sa Kauswagan ng Demokrasya,8321
Sogod,Councilor,"Arnado, Al Preglo",Barug Alang sa Kauswagan ng Demokrasya,8261
Sogod,Councilor,"Roble, Angelina Valero",Barug Alang sa Kauswagan ng Demokrasya,8085
Sogod,Councilor,"Vanguardia, Ricardo Montejo",Barug Alang sa Kauswagan ng Demokrasya,7720
Sogod,Councilor,"Lumapas, Gamaliel Bacayo",Barug Alang sa Kauswagan ng Demokrasya,7587
Tabogon,Mayor,"Duterte, Zigfred Povadora",National Unity Party,8591
Tabogon,Vice-Mayor,"Arpon, Leonardo Booc",National Unity Party,7782
Tabogon,Councilor,"Alivio, Eric Montellano",Independent,9611
Tabogon,Councilor,"Manloloyo, Rosa Maria Monares",National Unity Party,8752
Tabogon,Councilor,"Manloloyo, Venerando Bacus",National Unity Party,8056
Tabogon,Councilor,"Etulle, Martin Baguio",Liberal Party,7868
Tabogon,Councilor,"Sinoy, Rodrigo Sayud",Liberal Party,7712
Tabogon,Councilor,"Potot, Bonnison Poyos",Liberal Party,7189
Tabogon,Councilor,"Luna, Andres Jr. Licayan",Liberal Party,7153
Tabogon,Councilor,"Serafin, Frederick Compra",National Unity Party,7016
Tabuelan,Mayor,"Gerona, Rex Casiano To",National Unity Party,10284
Tabuelan,Vice-Mayor,"Gerona, Raul To",National Unity Party,9498
Tabuelan,Councilor,"Arellano, Ramon Balingcasag",National Unity Party,8472
Tabuelan,Councilor,"Gallo, Zito Salubre",Independent,8304
Tabuelan,Councilor,"Bravo, Genesis Precillas",National Unity Party,8193
Tabuelan,Councilor,"Gerona, Joel Maglasang",National Unity Party,7137
Tabuelan,Councilor,"Menchavez, Juan Jr. Suico",National Unity Party,6881
Tabuelan,Councilor,"Momo, Silvestre Paumba",Independent,6466
Tabuelan,Councilor,"Cole, Joseph Asendiente",National Unity Party,6422
Tabuelan,Councilor,"Salubre, Celerina Gerona",National Unity Party,6132
Talisay City,City Mayor,"De Los Reyes, Johnny Villaester",Liberal Party,39453
Talisay City,City Vice-Mayor,"Villarante, Romeo Caballero",Liberal Party,27972
Talisay City,Councilor,"Caballero, Danilo Famulagan",Liberal Party,45097
Talisay City,Councilor,"Ylanan, Valeriano Quindao",Liberal Party,40817
Talisay City,Councilor,"Aznar, Richard Francis Fernandez",Nationalista Party,39038
Talisay City,Councilor,"Fernandez, Socrates Cabigas",Nationalista Party,36185
Talisay City,Councilor,"Basillote, Dennis Basalo",Nationalista Party,35410
Talisay City,Councilor,"Alesna, Edward Satorre",Nationalista Party,35233
Talisay City,Councilor,"Diaz, Aldin Maceren",Liberal Party,33356
Talisay City,Councilor,"Emit, Doroteo Sy",Nationalista Party,32586
Talisay City,Councilor,"Bacaltos, Antonio Jr. Deiparine",Nationalista Party,32527
Talisay City,Councilor,"Gullas, Eduardo Iii Retardo",Nationalista Party,31875
Toledo City,City Mayor,"Osme, John Henry Renner",Independent,38670
Toledo City,City Vice-Mayor,"Yapha, Antonio Jr. Pono",Liberal Party,38295
Toledo City,Councilor,"Pepito, Ricardo Diamante",One Cebu,37776
Toledo City,Councilor,"Perales, Marjorie Piczon",One Cebu,30174
Toledo City,Councilor,"Rafols, Ricardo Jr. Rodriguez",Independent,28463
Toledo City,Councilor,"Borja, Antonio Jr. Espina",One Cebu,26956
Toledo City,Councilor,"Dolino, Leo Libre",One Cebu,26848
Toledo City,Councilor,"Abad, Merly Jamero",Liberal Party,26546
Toledo City,Councilor,"Caburnay, Rogelio Sr. Jeminez",One Cebu,26393
Toledo City,Councilor,"Espinosa, Louis Nicholas Garcia",One Cebu,25936
Toledo City,Councilor,"Abellanosa, Zosimo Largo",Independent,25762
Toledo City,Councilor,"Espinosa, Helen Jill Regis",One Cebu,25604
Tuburan,Mayor,"Diamante, Democrito Mercado",Liberal Party,19613
Tuburan,Vice-Mayor,"Diamante, Danilo Mercado",Liberal Party,18187
Tuburan,Councilor,"Potencioso, Phoebe Amon",Liberal Party,16113
Tuburan,Councilor,"Montebon, Federico Tabotabo",Liberal Party,14435
Tuburan,Councilor,"Pontillas, Buena Mangabon",Liberal Party,14422
Tuburan,Councilor,"Mendoza, Rosendo Lubanga",Liberal Party,14365
Tuburan,Councilor,"Ondoy, Eduardo Eben",Liberal Party,14150
Tuburan,Councilor,"Jurlano, Artemio Alden Esmero",Liberal Party,14107
Tuburan,Councilor,"Abejero, Emmanuel Cupat",Liberal Party,14047
Tuburan,Councilor,"Dela Cerna, Renante Armas",Independent,10938
Tudela,Mayor,"Yu, Erwin Polancos",Barug Alang sa Kauswagan ng Demokrasya,3848
Tudela,Vice-Mayor,"Solante, Greman Baring",Barug Alang sa Kauswagan ng Demokrasya,3723
Tudela,Councilor,"Otadoy, Cyrus Sacay",Barug Alang sa Kauswagan ng Demokrasya,4103
Tudela,Councilor,"Yamas, Arnito Castro",Barug Alang sa Kauswagan ng Demokrasya,3974
Tudela,Councilor,"Belogolo, Roel Gorne",Barug Alang sa Kauswagan ng Demokrasya,3795
Tudela,Councilor,"Diocampo, Nathaniel Gonzales",Barug Alang sa Kauswagan ng Demokrasya,3749
Tudela,Councilor,"Polancos, Felixberta Laguna",Barug Alang sa Kauswagan ng Demokrasya,3722
Tudela,Councilor,"Orge, Ninfa Vergara",Barug Alang sa Kauswagan ng Demokrasya,3694
Tudela,Councilor,"Uy, Auxiliadora Perez",Barug Alang sa Kauswagan ng Demokrasya,3673
Tudela,Councilor,"Tapayan, Mary Ann Sumalinog",Barug Alang sa Kauswagan ng Demokrasya,3602
