city_or_municipality,position,name,party_affiliation,votes_obtained
Bantayan,Councilor,"Quiamco, Danilo Fuentes",Abag PROMDI,11492
Bantayan,Councilor,"Escario, Gualberto Garcia",National Unity Party,10680
Bantayan,Councilor,"Menchavez, Reynaldo Suico",National Unity Party,10562
Barili,Mayor,"Mari, Teresito Paras",Liberal Party,19673
Barili,Vice-Mayor,"Neme, Jose Antonio Aguilar",Liberal Party,15679
Barili,Councilor,"A, John Anthony Trinidad",Liberal Party,13180
Barili,Councilor,"Ewican, Ana Maria Carvajal",Liberal Party,11789
Barili,Councilor,"Bolo, Ranulfo Tenebroso",Liberal Party,11238
Barili,Councilor,"Pason, Sheila Gabutero",One Cebu,10978
Barili,Councilor,"Caumeran, Edward Paul Aranas",Independent,10853
Barili,Councilor,"Aguilar, Jeremias Vergara",Liberal Party,10797
Barili,Councilor,"Villegas, Fe Rasco",Liberal Party,10432
Barili,Councilor,"Alquizola, Rene Villaflor",Liberal Party,8743
Bogo City,City Mayor,"Martinez, Celestino Jr. Espinoza",Liberal Party,25449
Bogo City,City Vice-Mayor,"Sevilla, Santiago Araneta",Liberal Party,20842
Bogo City,Councilor,"Alarde, Romeo Pitogo",Independent,22222
Bogo City,Councilor,"Oliamot, Santiago Micarsos",Independent,18821
Bogo City,Councilor,"Acusar, Lyndon Hee Calvo",Independent,18439
Bogo City,Councilor,"Gulane, Bienvenido Ii Ortega",Independent,16163
Bogo City,Councilor,"Rodriguez, Benjamin Montecillo",Independent,15637
Bogo City,Councilor,"Almirante, Geronimo Go",Independent,15319
Bogo City,Councilor,"Verdida, Crescencio Pilapil",Independent,14908
Bogo City,Councilor,"Oporto, Marlito Geraldino",Independent,14501
Bogo City,Councilor,"Mayol, Jose Brainard Yba",Independent,12666
Bogo City,Councilor,"Minguez, Rhett Echavez",Independent,12251
Boljoon,Mayor,"Derama, Merlou Dy",Liberal Party,4184
Boljoon,Vice-Mayor,"Awe, Alfredo Romeo",Independent,3632
Boljoon,Councilor,"Villanueva, Ervin Medida",Liberal Party,3780
