month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
February,13:00 - 13:59,104053,69092,47948,41875,31568,21098,84623,89764,14404,16438,26245,50348,73347,81257,31993,34439,58254,47784,19962,27585,47987,68290,40735,35736,123659,120770
February,14:00 - 14:59,90474,76564,44251,45076,30665,22404,81798,99227,15723,15907,32024,44123,75148,75618,34545,31089,55533,50046,24769,25306,56621,63175,44047,33569,123061,126159
February,15:00 - 15:59,81876,87641,46801,49128,31115,22599,82531,106842,16997,14098,36869,40081,82854,74216,35842,33410,55424,55445,30405,19388,69725,57102,49129,29119,128447,125806
February,16:00 - 16:59,88054,111632,54626,63515,37908,27158,88272,123664,21647,12901,44624,40515,95029,79034,41190,34039,60621,65405,38780,16940,94108,58247,70345,29248,143626,141290
February,17:00 - 17:59,104103,143685,71069,84963,52252,35973,99676,145375,31062,12648,62053,42787,102361,89300,49105,40608,62115,77218,58215,18489,112635,66014,101396,31342,164278,160061
February,18:00 - 18:59,103542,165993,64653,95785,41452,38319,103566,156428,26602,12578,69601,43128,103963,95419,48268,46078,55515,84013,59950,18401,127749,70008,108147,33125,165657,185610
February,19:00 - 19:59,104589,177711,52068,105385,31577,40993,96206,163413,19592,11872,55006,38743,97024,95722,44457,50982,50799,86288,48849,20235,129267,66413,88325,32254,153300,177994
February,20:00 - 20:59,99156,143218,40694,93884,25576,35740,83985,138756,16711,9579,39168,32010,82411,85746,34798,50283,44098,71527,31725,24287,114119,53437,67993,33920,124479,141348
February,21:00 - 21:59,84925,106460,29026,70917,14645,25831,62964,109866,7826,6963,28424,24941,62795,71823,25318,41696,35481,58002,20069,22926,102056,39550,40207,24707,91704,105295
February,22:00 - 22:59,1979,72920,1433,40890,1246,15433,5460,56114,1221,3279,9104,6259,16553,23744,9182,12098,15274,19732,9532,6539,36713,13202,15408,8817,27919,39211
February,23:00 - 23:59,7,2285,1,383,3,50,2,104,0,3,0,0,3,1,0,0,527,605,397,261,1058,286,600,294,922,1104
February,00:00 - 00:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,01:00 - 01:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
February,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,03:00 - 03:59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
March,04:00 - 04:59,4268,0,2914,0,1924,0,4238,0,168,0,65,0,55,1,4,1,31,0,0,0,0,0,25,0,0,0
March,05:00 - 05:59,97135,6975,39520,8754,23158,3412,48974,15001,2895,2398,4308,11871,24582,25026,11059,11844,20008,15644,4902,14425,9115,29263,15435,20782,43892,32062
March,06:00 - 06:59,205579,32100,88950,38023,40345,15557,58689,53539,7954,12040,15551,33885,60529,70686,29631,29634,53666,40117,12612,40410,27595,81651,44502,59784,117068,86442
March,07:00 - 07:59,240358,49372,81097,61252,32753,31347,52089,73252,13618,28666,27550,60863,81023,106710,44610,49582,73631,49425,17591,69215,35871,112007,57720,83032,181472,107047
March,08:00 - 08:59,215699,53932,72945,64656,33092,30461,59161,84913,14240,35060,28191,86571,80464,128777,41395,50843,75802,49013,14627,68005,31299,114168,53793,85192,180583,108552
March,09:00 - 09:59,172896,61047,66056,51118,35554,24565,69368,87164,13796,35845,22695,79622,76016,119737,36729,46396,71175,48171,14995,47004,30912,117156,49601,64955,150071,114986
March,10:00 - 10:59,125314,56998,54124,40907,33546,21567,76352,81023,13084,27796,19702,58136,66848,96605,32451,35971,64745,46227,17203,32043,31518,91932,39635,44874,124142,113627
March,11:00 - 11:59,123283,64042,52607,38108,33448,18858,80972,83358,13065,19415,21714,52633,67640,87038,30856,29853,61054,45517,18506,24493,36015,88998,39717,35826,120215,110414
March,12:00 - 12:59,108691,66250,49228,40522,31728,18232,79399,86352,12694,15384,24180,49010,71585,82966,30442,30668,57881,44967,19260,23008,42622,77363,39359,33122,116947,116548
March,13:00 - 13:59,100491,64190,47078,39794,30143,19112,78700,86732,13204,15286,25188,46790,70615,76632,30227,33250,54409,44333,19055,24536,46904,70004,39043,32771,115409,114544
March,14:00 - 14:59,85617,70160,43084,42443,29079,19758,76401,94778,14454,14632,29703,41158,69850,72226,31152,30461,51415,44911,23088,23218,53431,63287,41558,31135,112934,116798
March,15:00 - 15:59,79501,83823,46067,46943,29196,20934,76393,104341,15386,13463,34565,38902,78965,74615,32823,30233,50434,49611,27919,16852,64439,53844,47086,26082,118842,118738
March,16:00 - 16:59,82134,102339,52703,59194,34195,25525,81418,117506,18963,11900,41491,37344,88870,76516,37875,31668,55304,57032,36604,14994,87189,54088,65371,25451,133274,129122
March,17:00 - 17:59,100384,133641,68422,79595,47998,32862,93075,136928,29825,12148,58853,40255,99750,85262,47794,38326,60587,70516,57169,16482,110926,65774,98669,29349,156849,158460
March,18:00 - 18:59,103336,148029,62833,85509,39087,33660,97974,140324,24179,11137,64364,40697,96006,87590,43716,42414,51479,77057,53894,19182,120416,67290,93692,30887,157426,173509
March,19:00 - 19:59,104204,159788,49652,93372,31954,36330,90425,149536,18013,11040,49579,37167,87350,89401,38913,46900,46292,74618,42534,19772,111287,60395,76072,30110,142907,164262
March,20:00 - 20:59,93200,132566,37593,85765,25085,32299,77893,131109,15917,9167,35939,31122,76304,82728,32759,49013,40173,67235,29085,24355,107450,52173,60914,32009,115482,134062
March,21:00 - 21:59,75778,106395,26524,69387,14190,24792,58224,104751,8140,6426,27334,21558,58642,64316,23601,35868,33556,52438,17806,19575,95819,37333,36389,21384,81384,99668
