month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
May,12:00 - 12:59,5.28%,4.62%,5.16%,3.90%,5.89%,4.27%,6.42%,5.00%,5.09%,5.38%,4.31%,6.47%,5.45%,5.79%,5.17%,4.66%,5.96%,5.07%,4.09%,4.71%,3.74%,6.44%,4.14%,4.85%,5.45%,5.69%
May,13:00 - 13:59,4.73%,4.45%,4.79%,4.03%,5.35%,4.57%,6.26%,5.08%,5.25%,5.27%,4.61%,6.26%,5.39%,5.36%,5.03%,5.02%,5.76%,4.79%,4.06%,5.03%,4.17%,5.46%,3.93%,4.76%,5.32%,5.56%
May,14:00 - 14:59,3.98%,4.85%,4.51%,4.13%,5.38%,4.48%,6.03%,5.44%,5.69%,5.08%,5.54%,5.33%,5.47%,4.91%,5.34%,4.77%,5.46%,4.88%,5.07%,4.38%,4.71%,4.78%,4.40%,4.29%,5.26%,5.62%
May,15:00 - 15:59,3.72%,5.77%,4.79%,4.76%,5.40%,5.09%,6.05%,6.12%,6.23%,4.67%,6.55%,5.04%,6.12%,4.93%,5.80%,4.45%,5.43%,5.47%,6.42%,3.36%,6.07%,4.54%,4.93%,3.93%,5.53%,5.99%
May,16:00 - 16:59,3.93%,7.06%,5.62%,5.95%,6.49%,6.02%,6.46%,6.99%,7.78%,4.29%,7.91%,4.74%,6.97%,5.13%,6.51%,4.90%,5.99%,6.58%,8.47%,2.80%,7.95%,4.49%,7.07%,3.84%,6.21%,6.61%
May,17:00 - 17:59,4.73%,9.65%,7.42%,8.18%,8.92%,8.06%,7.42%,8.60%,11.82%,4.27%,11.00%,5.33%,7.94%,6.07%,8.44%,6.07%,6.46%,7.99%,13.32%,3.14%,9.87%,5.28%,10.97%,4.49%,7.18%,7.77%
May,18:00 - 18:59,4.81%,11.00%,6.63%,9.78%,7.07%,9.05%,7.54%,9.37%,9.93%,4.12%,12.67%,5.33%,8.27%,6.42%,7.91%,6.89%,5.79%,8.36%,13.37%,3.75%,11.16%,5.38%,11.22%,4.63%,7.20%,8.63%
May,19:00 - 19:59,4.83%,10.84%,5.28%,9.56%,5.42%,8.34%,6.56%,9.00%,7.66%,3.69%,9.76%,4.82%,7.08%,6.30%,6.87%,7.79%,5.04%,8.44%,10.41%,4.06%,10.91%,5.09%,8.71%,4.51%,6.41%,8.22%
May,20:00 - 20:59,4.30%,8.72%,3.86%,8.74%,4.00%,7.56%,5.45%,7.74%,6.57%,3.08%,6.79%,3.87%,6.03%,5.55%,5.31%,7.74%,4.42%,7.08%,6.58%,4.36%,10.39%,4.30%,6.97%,4.24%,5.10%,6.64%
May,21:00 - 21:59,3.35%,6.48%,2.61%,6.67%,2.21%,5.52%,3.85%,5.79%,3.07%,2.16%,5.21%,2.53%,4.63%,4.12%,3.79%,5.27%,3.66%,5.62%,4.08%,3.57%,9.17%,3.01%,4.08%,3.10%,3.57%,4.80%
