function_or_program_or_project_or_activity,appropriations,allotment,approp_balance,obligations,unobligated_balance
Logo Find,8100000,2025000,-,-,2025000
Construction of MLQ fishing point,4400000,2200000,-,1049457.83,1150542.17
IRA receivable (interest),589400,147350,-,6046.48,141303.52
Payment of loan for the Construction of Oroquieta Town Center (PNB Loan),35098000,8774500,-,5186928.98,3587571.02
Construction of Multi-Purpose Hall and Barangay Villaflor ,3000000,3000000,-,2931924.32,68075.68
LGU equity concreting of Toliyok-Mialen Road,1000000,1000000,-,1000000,-
"Rehabilitation of Heavy Equipment-2 Back Hoe, 1 Payloader",3000000,3000000,-,3000000,-
Concreting of Celdran St. from Corner Dullin St. and Canubay,1500000,1500000,-,1491420.1,8579.9
Concreting of Deloso St. from Box Culvert to lower Lamac at Barangay Upper Loboc,1500000,1500000,-,1459590.94,40409.06
Construction of Corazon Aquino Etension Road Leading to OTC (Phase II) at Poblacion I,1323300,1323300,-,-,1323300
Total-20% Local Development Program,59510700,24470150,-,16125368.65,8344781.35
