province,position,name,nickname,party_affiliation,votes_obtained
Abra,Provincial Governor,"Bersamin, Eustaquio Purugganan",Takit,Lakas-Kampi,89985
Abra,Provincial Vice-Governor,"Somera, Rolando Dait",Lando,Lakas-Kampi,55960
Abra,Provincial Board Member,"Lupang, Nancy Cardenas",Nancy,Lakas-Kampi,17394
Abra,Provincial Board Member,"Gayao, ELapiang Manggagawaer, Sr. Sawadan",Sambo,Lakas-Kampi,17734
Abra,Provincial Board Member,"Fontanilla, Floro Balicao",Akay,Liberal Party,19428
Abra,Provincial Board Member,"Bides, ELapiang Manggagawaer Berras",ELapiang Manggagawaer,Liberal Party,24675
Abra,Provincial Board Member,"Jenkins, Maria Elena Alcartado",Gina,Independent,19048
Abra,Provincial Board Member,"Bachiller, Allen Brix Lopez",Brix,Lakas-Kampi,19306
Abra,Provincial Board Member,"Bersamin, Rosario Afable",Chari,Liberal Party,26889
Abra,Provincial Board Member,"Balbin, Kathleen Maria Astudillo",Lian,Lakas-Kampi,31947
Agusan Del Norte,Provincial Governor,"Amante, Erlpe John Malbas",Ping,Lakas-Kampi,113010
Agusan Del Norte,Provincial Vice-Governor,"Corvera, Enrico Raymundo",Rico,Lakas-Kampi,98038
Agusan Del Norte,Provincial Board Member,"Rosales, FortUnited Negros Allianceto Junio",Nato,Lakas-Kampi,5211
Agusan Del Norte,Provincial Board Member,"Racaza, Daniel Ortizano",Danracz,Lakas-Kampi,54208
Agusan Del Norte,Provincial Board Member,"Pitogo, Rodulfo Agua",Fr. Rudy,Lakas-Kampi,56100
Agusan Del Norte,Provincial Board Member,"Maraganas, Lorito Quimado",Rito,Lakas-Kampi,58207
Agusan Del Norte,Provincial Board Member,"Reserva, James Talan",James,Lakas-Kampi,65434
Agusan Del Norte,Provincial Board Member,"Jamboy, Rey Gabisan",Manoy Rey,Lakas-Kampi,65460
Agusan Del Norte,Provincial Board Member,"Gambe, Aquino Wabe",Quin,Lakas-Kampi,68690
Agusan Del Norte,Provincial Board Member,"Tomaneng, Joseph Esguerra",Jo,Lakas-Kampi,71801
Agusan Del Sur,Provincial Governor,"Plaza, Adolph Edward Galido",Eddiebong,Lakas-Kampi,150754
Agusan Del Sur,Provincial Vice-Governor,"Cane, Santiago, Jr Barriga",Santi,Lakas-Kampi,124765
Agusan Del Sur,Provincial Board Member,"Plaza, Victor Galido",Victor,Independent,40405
Agusan Del Sur,Provincial Board Member,"Corvera, Nestor Lalisan",Bebot,Lakas-Kampi,50884
Agusan Del Sur,Provincial Board Member,"Getes, Virginia Magbanua",Virgie,Lakas-Kampi,52560
Agusan Del Sur,Provincial Board Member,"Santiago, Allan Jala",Allan,Lakas-Kampi,57944
Agusan Del Sur,Provincial Board Member,"Alonde, Cesar Masayon",Boy,Lakas-Kampi,58067
Agusan Del Sur,Provincial Board Member,"Ananoria, Agusani Arreza",Bebot,Lakas-Kampi,42721
Agusan Del Sur,Provincial Board Member,"Tortor, Samuel Elorde",Sammy,Lakas-Kampi,46808
Agusan Del Sur,Provincial Board Member,"Dairo, Emmanuel Lim",Maning,Lakas-Kampi,47091
Agusan Del Sur,Provincial Board Member,"Elorde, Gilbert Granada",Toto,Lakas-Kampi,56549
Agusan Del Sur,Provincial Board Member,"Bunilla, Jose Cadiog",Joe,Lakas-Kampi,60435
Aklan,Provincial Governor,"Marquez, Carlito Samson",Lito,Lakas-Kampi,166099
Aklan,Provincial Vice-Governor,"Calizo-Quimpo, Gabrielle Venus",Billie,Nacionalista Party,126981
Aklan,Provincial Board Member,"Mayor, Rodson Fojas",Rod,Lakas-Kampi,47659
Aklan,Provincial Board Member,"Rodriguez, Jean Oquendo",Jean,Lakas-Kampi,49092
Aklan,Provincial Board Member,"Rebaldo, Raymar Acevedo",Boyet,B.BAYAN-VNP,52795
Aklan,Provincial Board Member,"Briones, Daisy Sucro",Daisy,Lakas-Kampi,54425
Aklan,Provincial Board Member,"Neron, Nemesio Patron",Neron,Lakas-Kampi,57411
Aklan,Provincial Board Member,"Garcia, Victor Manuel Monfort",Vic,Puwersa ng Masang Pilipino,37897
Aklan,Provincial Board Member,"Templonuevo, Gerick Maribojo",Gerick,Lakas-Kampi,46029
Aklan,Provincial Board Member,"Cabagnot, Phoebe Clarice Legaspi",Ning,Puwersa ng Masang Pilipino,48136
Aklan,Provincial Board Member,"Ibarreta, Selwyn Candelario",Selwyn,Lakas-Kampi,55781
Aklan,Provincial Board Member,"Miraflores, Jose Enrique Martin",Joen,Lakas-Kampi,58355
Albay,Provincial Governor,"Salceda, Jose Ma Clemente Sarte",Joey,Lakas-Kampi,466605
Albay,Provincial Vice-Governor,"Imperial, Harold Ong",Lod,Lakas-Kampi,185330
Albay,Provincial Board Member,"Belen, Job Basallote",Jobama,Liberal Party,43687
Albay,Provincial Board Member,"Ziga, Richard Venancio Velasco",Ricky,Liberal Party,61688
Albay,Provincial Board Member,"Bongao, Baby Glenda Ong",Glenda,Lakas-Kampi,80358
Albay,Provincial Board Member,"Imperial, Nino Batiancela",Snookie,Lakas-Kampi,70071
Albay,Provincial Board Member,"Andes, Ralph Alvarado",Ralph,Nacionalista Party,84088
Albay,Provincial Board Member,"Montallana, Neil LUnited Negros Alliance",Nil,Lakas-Kampi,95162
Albay,Provincial Board Member,"Embestro, Arnold Sarte",Ase,Independent,39295
Albay,Provincial Board Member,"Borja, Herbert Serrano",Dok,Lakas-Kampi,63795
Albay,Provincial Board Member,"Sales, Irineo, Jr. Tiuseco",Dodo,Lakas-Kampi,68435
Albay,Provincial Board Member,"Alsua, Ramon Samson",Mon,Lakas-Kampi,80662
Antique,Provincial Governor,"Javier, Exequiel Bellaflor",Boy Ex,Lakas-Kampi,111642
Antique,Provincial Vice-Governor,"Dimamay, Rosie Adayon",Rose,Lakas-Kampi,66667
Antique,Provincial Board Member,"Plameras, Roland Barcebal",Toting,Lakas-Kampi,34622
Antique,Provincial Board Member,"Operiano, Dino Roel Telan",Bu,Lakas-Kampi,39938
Antique,Provincial Board Member,"Javier, J Tobias Magbanua",Tobing,Lakas-Kampi,41326
Antique,Provincial Board Member,"Beriong, Dante Miaga",Dante,Independent,43717
Antique,Provincial Board Member,"Denosta, Edgar Dequina",Ed,Lakas-Kampi,48537
Antique,Provincial Board Member,"Alojipan, Joseph Eugene Ducado",Kap,Lakas-Kampi,34483
Antique,Provincial Board Member,"Zaldivar, Calixto III Gotico",Toto Cali,Puwersa ng Masang Pilipino,34497
Antique,Provincial Board Member,"Sanchez, Plaridel VI Escalona",John,Nationalist People's Coalition,36064
Antique,Provincial Board Member,"Condez, Victor Rizardo",Boy,Lakas-Kampi,43084
