province,position,name,nickname,party_affiliation,votes_obtained
Catanduanes,Provincial Governor,"Verceles , Leandro Jr. Buenconsejo",Jun,Lakas-Christian Muslim Democrats,43801
Catanduanes,Provincial Vice-Governor,"VillalUnited Negros Alliance, Vincent Vicente",Kuya Vince,Independent,48764
Catanduanes,Provincial Board Member,"Abundo, Shirley Araozo",Shirley,Lakas-Christian Muslim Democrats,21275
Catanduanes,Provincial Board Member,"Zafe, Rosemarie Gianan/Solano",Rose,Lakas-Christian Muslim Democrats-Kampi,18047
Catanduanes,Provincial Board Member,"Zuniega, Rafael Creo",Raffy,Partido ng Demokratikong Reporma,17395
Catanduanes,Provincial Board Member,"Gianan, Fredeswindo Jr. Arcilla",Fred,Nationalist People's Coalition,15271
Catanduanes,Provincial Board Member,"Tuplano, Romeo Olfindo",Romy,Lakas-Christian Muslim Democrats,19833
Catanduanes,Provincial Board Member,"Pereyra, Roger Francisco",Engineer,Lakas-Christian Muslim Democrats,16973
Catanduanes,Provincial Board Member,"Vega, Rene Ogena",Asay,Nationalist People's Coalition,14015
Catanduanes,Provincial Board Member,"Tapel, Edgar Torrecampo",Eddie,Partido ng Demokratikong Reporma,12795
Cavite,Provincial Governor,"Maliksi, Erineo Saquilayan",Ayong,Laban ng Demokratikong Pilipino,605376
Cavite,Provincial Vice-Governor,"Remulla, Juanito Victor Jr. Catibayan",Jonvic,Laban ng Demokratikong Pilipino,587188
Cavite,Provincial Board Member,"Del Rosario, Cesario Jr. Ramos",Jun Del Rosario,Lakas-Christian Muslim Democrats,98949
Cavite,Provincial Board Member,"Pagtakhan, Luis Toribio",Doc,Nacionalista Party,89428
Cavite,Provincial Board Member,"Rodriguez, Rafael Samoy",Raffy,Laban ng Demokratikong Pilipino,83397
Cavite,Provincial Board Member,"Advincula, Alex Lacson",Aa,Partido MAGDALO KABITE/Laban ng Demokratikong Pilipino,218596
Cavite,Provincial Board Member,"Arayata, Hermogenes III Cruz",Gengen,Partido MAGDALO/Laban ng Demokratikong Pilipino,188347
Cavite,Provincial Board Member,"Campana, Dencito Presa",Osboy,Laban ng Demokratikong Pilipino,179732
Cavite,Provincial Board Member,"Cantimbuhan, Recto Menez",Recto,Laban ng Demokratikong Pilipino,139436
Cavite,Provincial Board Member,"Beratio, Eileen Riel",Eileen,Laban ng Demokratikong Pilipino MAGDALO,109168
Cavite,Provincial Board Member,"Mendoza, Hilda Poblete",Hilda,Lakas-Christian Muslim Democrats,95698
Cavite,Provincial Board Member,"Silao, Iluminada Feraer",Lumin,Laban ng Demokratikong Pilipino/MAGDALO,87446
Cebu,Provincial Governor,"Garcia-Codilla, Gwendolyn Fiel",Gwen Garcia,Lakas-Christian Muslim Democrats,405852
Cebu,Provincial Vice-Governor,"Sanchez, Gregorio Jr. Gallarde",Greg,Independent-MASA,355578
Cebu,Provincial Board Member,"Bolo, Juan Villavelez",John,Independent-MASA,90869
Cebu,Provincial Board Member,"Bacaltos, Raul Deiparine",Raul,FND-MASA,81635
Cebu,Provincial Board Member,"ALapiang Manggagawairante, Antonio Jr. Alvarez",Dodong,Nationalist People's Coalition,74944
Cebu,Provincial Board Member,"Kintanar, Carmiano Acedera",Cary,Nationalist People's Coalition,57840
Cebu,Provincial Board Member,"Yapha, Estrella Pilones",Baby,Nationalist People's Coalition-ALAYON,92027
Cebu,Provincial Board Member,"Corominas, Victoria C.",Tata,Independent-MASA,64820
Cebu,Provincial Board Member,"Mondigo, Joven Salimbangon",Joven,Independent,89622
Cebu,Provincial Board Member,"Gastardo, Jose Ma Canete",Tito,Independent,81866
Cebu,Provincial Board Member,"Magpale , Agnes ALapiang Manggagawaendras",Agnes,BAKUD-Nationalist People's Coalition,88116
Cebu,Provincial Board Member,"Durano, Rose Marie Duterte",Judy,BAKUD-Nationalist People's Coalition,80627
Cebu,Provincial Board Member,"Quisumbing, Gabriel Luis Romualdez",Luigi,Alayon-MASA,99523
