province,position,name,nickname,party_affiliation,votes_obtained
Abra,Provincial Governor,"Bersamin, Eustaquio Purugganan",Takit,-,59557
Abra,Provincial Vice-Governor,"Barona, Victorino Jr. Berras",Jun,Partido Demokratiko Sosyalista ng Pilipinas,38532
Abra,Provincial Board Member,"Lupang, Nancy Cardenas",Nans,Independent,18718
Abra,Provincial Board Member,"Flores, Edgardo Gonzales",Edgar,Partido Demokratiko Sosyalista ng Pilipinas,17881
Abra,Provincial Board Member,"Berona, Jonathan Sotelo",Nathan,Partido Demokratiko Sosyalista ng Pilipinas,17810
Abra,Provincial Board Member,"Gayao, ELapiang Manggagawaer Sr. Sawadan",Sambo,Lakas-Christian Muslim Democrats-Kampi,17390
Abra,Provincial Board Member,"Amid, Frederick Castro",Erick,-,11057
Abra,Provincial Board Member,"Bernos, Maria Jocelyn Valera",Joy,Lakas-Christian Muslim Democrats-Kampi,20325
Abra,Provincial Board Member,"Bachiller, Allen Brix Lopez",Brix,Lakas-Christian Muslim Democrats-Kampi,19765
Agusan Del Norte,Provincial Governor,"Amante, Erlpe John Malbas",Ping,Lakas-Christian Muslim Democrats-Kampi,79402
Agusan Del Norte,Provincial Vice-Governor,"Corvera, Enrico Raymundo",Rico,Lakas-Christian Muslim Democrats-Kampi,70381
Agusan Del Norte,Provincial Board Member,"Rosales, Francisco Junio",Ingkoy,Lakas-Christian Muslim Democrats-Kampi,4107
Agusan Del Norte,Provincial Board Member,"Tomaneng, Sadeka Garcia",Deka,Lakas-Christian Muslim Democrats-Kampi,53866
Agusan Del Norte,Provincial Board Member,"Gambe, Aquino Wabe",Quin,-,51387
Agusan Del Norte,Provincial Board Member,"Famador, Alan MUnited Oppositionz",Alan,Lakas-Christian Muslim Democrats-Kampi,50698
Agusan Del Norte,Provincial Board Member,"Dagani, Rogelio Pabia",Roger,Lakas-Christian Muslim Democrats-Kampi,49798
Agusan Del Norte,Provincial Board Member,"Reserva, James Talan",James,Lakas-Christian Muslim Democrats-Kampi,49031
Agusan Del Norte,Provincial Board Member,"Atupan, Venerando Dolotina",Vener,Lakas-Christian Muslim Democrats-Kampi,46846
Agusan Del Norte,Provincial Board Member,"Jamboy, Rey Gabisan",Manoy Rejams,Lakas-Christian Muslim Democrats-Kampi,44042
Agusan Del Sur,Provincial Governor,"Cornelio, Maria Valentina Plaza",Tina Plaza,Lakas-Christian Muslim Democrats,102848
Agusan Del Sur,Provincial Vice-Governor,"Cane, Santiago Jr. Barriga ",Santi,Lakas-Christian Muslim Democrats,108075
Agusan Del Sur,Provincial Board Member,"Magdamit, Albin Duero",Tote,Lakas-Christian Muslim Democrats,48639
Agusan Del Sur,Provincial Board Member,"Bascug, Alfelito Maraon",Alfel,Lakas-Christian Muslim Democrats,40926
Agusan Del Sur,Provincial Board Member,"Santiago, Allan Jala",Allan,Lakas-Christian Muslim Democrats,35356
Agusan Del Sur,Provincial Board Member,"Alonde, Cesar Masayon",Boy,Lakas-Christian Muslim Democrats,34099
Agusan Del Sur,Provincial Board Member,"Getes, Virginia Magbanua",Virgie,Independent,31102
Agusan Del Sur,Provincial Board Member,"De Asis, Jenny Diesto",Jenny,Lakas-Christian Muslim Democrats,62629
Agusan Del Sur,Provincial Board Member,"Bunilla, Jose Cadiog",Joe,Lakas-Christian Muslim Democrats,51559
Agusan Del Sur,Provincial Board Member,"Dairo, Emmanuel Lim",Maning,Lakas-Christian Muslim Democrats,49742
Agusan Del Sur,Provincial Board Member,"Prochina, Timoteo Burdeos",Teyoy,Lakas-Christian Muslim Democrats,43293
Agusan Del Sur,Provincial Board Member,"Tortor, Samuel Elorde",Sammy,Lakas-Christian Muslim Democrats,41637
Aklan,Provincial Governor,"Marquez, Carlito Samson",Lito,AKLAN,90623
Aklan,Provincial Vice-Governor,"Calizo, Gabrielle Venus",Billie,-,109097
Aklan,Provincial Board Member,"Neron, Nemesio Patron",Neron,AKLAN,47264
Aklan,Provincial Board Member,"Briones, Daisy Sucro",Daisy,-,40250
Aklan,Provincial Board Member,"Morania, Plaridel Masagnay",Dodoy,-,38956
Aklan,Provincial Board Member,"Mayor, Rodson Fojas",Rod,-,38390
Aklan,Provincial Board Member,"Rodriguez, Jean Oquendo",Jean,-,34606
Aklan,Provincial Board Member,"Ibarreta, Selwyn Candelario",Selwyn,-,44137
Aklan,Provincial Board Member,"Garcia, Pedro Monfort",Pete,-,41646
Aklan,Provincial Board Member,"Yap, Jose Sacapano",Joe,-,41314
Aklan,Provincial Board Member,"Templonuevo, Gerick Maribojo",Gerick,-,36788
Aklan,Provincial Board Member,"Gelito, Ramon Sucgang",Andoy,-,34046
Albay,Provincial Governor,"Salceda, Jose Ma Clemente Sarte",Joey,Independent,236529
Albay,Provincial Vice-Governor,"Sael, Brando Mella",Brando,Independent,138849
Albay,Provincial Board Member,"Bongao, Baby Glenda Ong",Ate Glenda,Lakas-Christian Muslim Democrats,59543
Albay,Provincial Board Member,"Borejon, Raul Roi Bequio",Rb,Lakas-Christian Muslim Democrats,58691
Albay,Provincial Board Member,"Aytona, Celso Bertumen",Cel,Lakas-Christian Muslim Democrats,42462
Albay,Provincial Board Member,"Montallana, Neil LUnited Negros Alliance",Nil,Lakas-Christian Muslim Democrats,56119
Albay,Provincial Board Member,"Baldo, Carlwyn Go",Awin,Lakas-Christian Muslim Democrats,44946
Albay,Provincial Board Member,"Calleja, Ostiano Belen",Osty,Independent,42540
Albay,Provincial Board Member,"Imperial, Harold Ong",Lod,Lakas-Christian Muslim Democrats,49493
Albay,Provincial Board Member,"Alsua, Ramon Samson",Mon,Independent,34829
Albay,Provincial Board Member,"Borja, Herbert Serrano",Dok,Nationalist People's Coalition,34241
Albay,Provincial Board Member,"Sales, Ireneo Jr. Tiuseco",Dodo,Independent,30300
Antique,Provincial Governor,"Perez, Salvacion Zaldivar",Inday Sally,-,68867
Antique,Provincial Vice-Governor,"Cadiao, Rhodora Javier",Dopod,Lakas-Christian Muslim Democrats,96588
Antique,Provincial Board Member,"Piccio, Vincent III Hernandez",Vince,Lakas-Christian Muslim Democrats,41122
Antique,Provincial Board Member,"Beriong , Dante Miaga",Dante,Independent,36833
Antique,Provincial Board Member,"Corvera, Fernando Dela Cruz",Nanding,Nationalist People's Coalition,33355
Antique,Provincial Board Member,"Javier, J Tobias Magbanua",Tobing,Lakas-Christian Muslim Democrats,29718
Antique,Provincial Board Member,"Combong, Alfonso Jr. Villavert",Judge,Nationalist People's Coalition,27900
Antique,Provincial Board Member,"Dimamay, Rosie Adayon",Rose,Lakas-Christian Muslim Democrats,39657
Antique,Provincial Board Member,"Zaldivar, Calixto III Gotico",Toto Cali,Nationalist People's Coalition,36899
Antique,Provincial Board Member,"Santillan, Errol Train",Bobot,Lakas-Christian Muslim Democrats,35398
Antique,Provincial Board Member,"Frangue, Hector Legaspi",Toto,Nationalist People's Coalition,30158
Antique,Provincial Board Member,"Juanitas, Benjamin Elican",Boy,Lakas-Christian Muslim Democrats,28207
Apayao,Provincial Governor,"Bulut, Elias Kirtug",Ely,Kabalikat ng Malayang Pilipino,32507
Apayao,Provincial Vice-Governor,"Pascua, Hector Reuel Dacumos",Hector,Lakas-Christian Muslim Democrats,21359
Apayao,Provincial Board Member,"AgUnited Oppositions, Sedolito Bernard Amid",Lito,Nationalist People's Coalition,10890
Apayao,Provincial Board Member,"Mangalao, Tolentino Carteo",Butz,Lakas-Christian Muslim Democrats,9182
Apayao,Provincial Board Member,"Balanay, Bobby Acebedo",Bobby,-,10401
Apayao,Provincial Board Member,"Albano, Remy Negre",Insan,-,9912
Apayao,Provincial Board Member,"Galleon, Catalina Caluducan",Taling,-,9503
Apayao,Provincial Board Member,"Ballesteros, Mailah Haylee Lorenzo",Myla,-,9139
Aurora,Provincial Governor,"Angara-Castillo, Bellaflor J.",Bella,Laban ng Demokratikong Pilipino,50847
