province,position,name,nickname,party_affliation,votes_obtained,ledgist_district
Bataan,"Member, Sangguniang Panlalawigan","Ferrer, Gaudencio Corpus",Guding,Liberal Party,83523,First
Bataan,"Member, Sangguniang Panlalawigan","Tigas, Rolando Zulueta",Rolly,National Unity Party,77486,First
Bataan,"Member, Sangguniang Panlalawigan","Ibe, Reynaldo Jr. Torres",Rey,Liberal Party,66190,First
Bataan,"Member, Sangguniang Panlalawigan","Banzon, Jovy Zabala",Jovy,National Unity Party,118387,Second
Bataan,"Member, Sangguniang Panlalawigan","Calimbas, Edgardo Perez",Ed,National Unity Party,112573,Second
Bataan,"Member, Sangguniang Panlalawigan","Manalaysay, Dante Robles",Dante,National Unity Party,110596,Second
Bataan,"Member, Sangguniang Panlalawigan","Roxas, Gerardo Roque",Jerry,National Unity Party,100734,Second
Bataan,"Member, Sangguniang Panlalawigan","Villapando, Jose Sr. Cantos",Peping,Liberal Party,84277,Second
Batanes,Provincial Governor,"Gato, Vicente De Sagon",Vic,Independent,3959,-
Batanes,Provincial Vice-Governor,"Aguto, Ronald Acebes",Ronnie,Independent,3079,-
Batanes,"Member, Sangguniang Panlalawigan","Castillo, Florante Santana",Anting,Liberal Party,1906,First
Batanes,"Member, Sangguniang Panlalawigan","Lizardo, Efren Cari",Efren,Independent,1766,First
Batanes,"Member, Sangguniang Panlalawigan","Argonza, Alexander Elizarde",Alex,Independent,1638,First
Batanes,"Member, Sangguniang Panlalawigan","Abas, Milagros Juliet Figuro",Juliet,Independent,1753,Second
Batanes,"Member, Sangguniang Panlalawigan","Delapa, Rogelio Castilar",Roger,Liberal Party,1646,Second
Batanes,"Member, Sangguniang Panlalawigan","Catalu, Juliet Ponce",Juliet,Liberal Party,1293,Second
Batangas,Provincial Governor,"Recto, Rosa Vilma Santos",Ate Vi,Liberal Party,878579,-
Batangas,Provincial Vice-Governor,"Leviste, Jose Antonio Ii Sermonia",Kuya Marc / Mark,Liberal Party,796697,-
Batangas,"Member, Sangguniang Panlalawigan","Rosales, Roman Huertas",Boy,Liberal Party,109294,First
Batangas,"Member, Sangguniang Panlalawigan","Bausas, Ramon Ignaco",Mon,Liberal Party,96246,First
Batangas,"Member, Sangguniang Panlalawigan","Buted, Dexter Respicio",Doc Dex,Liberal Party,127859,Second
Batangas,"Member, Sangguniang Panlalawigan","Mari, Mario Vittorio Agregado",Marvey,Nationalist People's Coalition,123676,Second
Batangas,"Member, Sangguniang Panlalawigan","Alvarez, Amelia Evangelista",Amy,Liberal Party,85763,Second
Batangas,"Member, Sangguniang Panlalawigan","Corona, Alfredo Castillo",Fred,Liberal Party,153073,Third
Batangas,"Member, Sangguniang Panlalawigan","Balba, Divina Gagalang",Devs,Liberal Party,120532,Third
Batangas,"Member, Sangguniang Panlalawigan","Africa, Rowena Sombrano",Wheng Sombrano,Liberal Party,161709,Fourth
Batangas,"Member, Sangguniang Panlalawigan","Bolilia, Amado Carlos Iv Alzola",Caloy,Liberal Party,150724,Fourth
Batangas,"Member, Sangguniang Panlalawigan","Virtusio, Mabelle Dimaculangan",Mabel,Liberal Party,147966,Fourth
Benguet,Provincial Governor,"Fongwan, Nestor Bagtang",Nestor,National Unity Party,108950,-
Benguet,Provincial Vice-Governor,"Dangwa, Nelson Cagas",Nelson,Liberal Party,72546,-
Benguet,"Member, Sangguniang Panlalawigan","Waguis, Johnny Diwas",,National Unity Party,26128,First
Benguet,"Member, Sangguniang Panlalawigan","Piok, Esteban Tacio",Steve,National Unity Party,25558,First
Benguet,"Member, Sangguniang Panlalawigan","Fianza, Alfonso Lorente",Ponso,National Unity Party,20598,First
Benguet,"Member, Sangguniang Panlalawigan","Saguid, Benjamin Catores",Ben,National Unity Party,19841,First
Benguet,"Member, Sangguniang Panlalawigan","Balao, Concepcion Dalgis",Connie,National Unity Party,50152,Second
Benguet,"Member, Sangguniang Panlalawigan","Tingbaoen, Florence Belino",Flor,National Unity Party,49051,Second
Benguet,"Member, Sangguniang Panlalawigan","Dulnuan, Jack Inuguidan",Jack,National Unity Party,40617,Second
Benguet,"Member, Sangguniang Panlalawigan","Cayat, Nardo Bestre",Nards,National Unity Party,39141,Second
Benguet,"Member, Sangguniang Panlalawigan","Namoro, Robert Marcos",Boting,National Unity Party,31683,Second
Benguet,"Member, Sangguniang Panlalawigan","Botiwey, Jim Galipen",Jim,Independent,31640,Second
Biliran,Provincial Governor,"Espina, Gerardo Jr. Jimenez",Gerryboy,Liberal Party,47066,-
Biliran,Provincial Vice-Governor,"Tubis, Eriberto Jr. Dadizon",Boboy,Liberal Party,37732,-
Biliran,"Member, Sangguniang Panlalawigan","Espina, Gerard Roger Mendiola",Gerard,Liberal Party,21876,First
Biliran,"Member, Sangguniang Panlalawigan","Caneja, Brigido Iii Cabidog",Kokoy,Liberal Party,19083,First
Biliran,"Member, Sangguniang Panlalawigan","Apolinar, Eden Sangon",Eden,Liberal Party,17706,First
Biliran,"Member, Sangguniang Panlalawigan","Jadulco, Bebiano Santia",Boboy,Nationalist People's Coalition,14842,First
Biliran,"Member, Sangguniang Panlalawigan","Igano, Edgar Arendayen",Ed,Liberal Party,18609,Second
Biliran,"Member, Sangguniang Panlalawigan","Sabornido, Rolando Ayoste",Boyet,Liberal Party,18242,Second
Biliran,"Member, Sangguniang Panlalawigan","Chan, Carlos Laurente",Charlie,Independent,15819,Second
Biliran,"Member, Sangguniang Panlalawigan","Corpin, Dominador Paanod",Doming,Liberal Party,15356,Second
Bohol,Provincial Governor,"Chatto, Edgardo Migri",Edgar,Liberal Party,380964,-
Bohol,Provincial Vice-Governor,"Lim, Concepcion Ong",Independentay Conching,Liberal Party,308810,-
Bohol,"Member, Sangguniang Panlalawigan","Lopez, Cesar Tomas Mozo",Yul,Liberal Party,96960,First
Bohol,"Member, Sangguniang Panlalawigan","Damalerio, Abeleon Rafols",Abel,Liberal Party,94622,First
Bohol,"Member, Sangguniang Panlalawigan","Arcamo, Venzencio Buhion",Benjie Arcamo,Liberal Party,93028,First
Bohol,"Member, Sangguniang Panlalawigan","Jumamoy, Jovanna Ching",Jaja,Liberal Party,86055,Second
Bohol,"Member, Sangguniang Panlalawigan","Garcia, Gerardo Cutamora",Gerry,Nationalist People's Coalition,77449,Second
Bohol,"Member, Sangguniang Panlalawigan","Abapo, Tomas Jr. Dahab",Tommy,Nationalist People's Coalition,60426,Second
Bohol,"Member, Sangguniang Panlalawigan","Balite, Dionisio Dajalos",Dioning,United Nationalist Alliance,113027,Third
Bohol,"Member, Sangguniang Panlalawigan","Jala, Elpidio Manliguez",Pediong,Liberal Party,97058,Third
Bohol,"Member, Sangguniang Panlalawigan","Tirol, Godofreda Olavides",Freda,Liberal Party,88401,Third
Bohol,"Member, Sangguniang Panlalawigan","Imboy, Brigido Zapanta",Boy,Liberal Party,77444,Third
Bukidnon,Provincial Governor,"Zubiri, Jose Maria Jr. Rubin",Nonoy Joe,BPP,386776,-
Bukidnon,Provincial Vice-Governor,"Calingasan, Alex Padua",Boy,BPP,269376,-
Bukidnon,"Member, Sangguniang Panlalawigan","Qui, Clive Dadole",Clive,BPP,51083,First
Bukidnon,"Member, Sangguniang Panlalawigan","Albarece, Jay Sadang",Bmjay,Liberal Party,42494,First
Bukidnon,"Member, Sangguniang Panlalawigan","Dinlayan, Manuel Litanon",Maning,BPP,61136,Second
Bukidnon,"Member, Sangguniang Panlalawigan","Maramara, Melchor Paalan",Boybo,BPP,51541,Second
Bukidnon,"Member, Sangguniang Panlalawigan","Casanova, Bob Tabios",Bob,Independent,39162,Second
Bukidnon,"Member, Sangguniang Panlalawigan","Torres, Gordon Medina",Gords,BPP,87071,Third
Bukidnon,"Member, Sangguniang Panlalawigan","Baguio, Alfeo Ungab",Alping,BPP,65528,Third
Bukidnon,"Member, Sangguniang Panlalawigan","Montesclaros, Marivic Roa",Vic,BPP,62841,Third
