particulars_1,particulars_2,appropriation,expenditure ,balance
Loan Amortization,-,70000000,61329572,8670428
Various Priority Projects,New Market,1690000,1198300.85,491699.15
Various Priority Projects,Feedmill,60000,-,60000
Various Priority Projects,Northern Negros Agro-Industrial Economic Zone,380000,318705,61295
Various Priority Projects,Warehouse and Offices,1500000,1500000,-
Various Priority Projects,Sagay Gymnasium and Taliambong Activity Center Improvement,1106250,510620,595630
Various Priority Projects,Sanitary Landfill Improvement,166340,-,166340
Various Priority Projects,Fortune Ville Development,283015,283015,-
Various Priority Projects,Coastal Sanitation,410000,187183,222817
Various Priority Projects,Motor Pool Comfort Room,80000,-,80000
Various Priority Projects,Martinez - Hupac Road Section Rehabilitation,108000,108000,-
Various Priority Projects,Suyac Mangrove Park,500000,328051,171949
Total,-,76283605,65763446.85,10520158.15
