particulars_1,particulars_2,appropriation,expenditure ,balance
Loan Amortization,-,70000000,21596990.73,48403009.27
Various Priority Projects,New Market,1690000,141275,1548725
Various Priority Projects,Feedmill,-,-,-
Various Priority Projects,Northern Negros Agro-Industrial Economic Zone,380000,-,380000
Various Priority Projects,Warehouse and Offices,1500000,1500000,-
Various Priority Projects,Sagay Gymnasium and Taliambong Activity Center Improvement,1106250,-,1106250
Various Priority Projects,Sanitary Landfill Improvement,166340,-,166340
Various Priority Projects,Fortune Ville Development,283015,283015,-
Various Priority Projects,Coastal Sanitation,410000,222817,187183
Various Priority Projects,Motor Pool Comfort Room,80000,-,80000
Various Priority Projects,Martinez - Hupac Road Section Rehabilitation,108000,108000,-
Various Priority Projects,Suyac Mangrove Park,500000,-,500000
Total,-,76223605,23852097.73,52371507.27
