particulars_1,particulars_2,appropriation,expenditure ,balance
Loan Amortization,-,70000000,54122535.06,15877464.94
Various Priority Projects,New Market,1690000,650545,1039455
Various Priority Projects,Feedmill,60000,-,60000
Various Priority Projects,Northern Negros Agro-Industrial Economic Zone,380000,-,380000
Various Priority Projects,Warehouse and Offices,1500000,1500000,-
Various Priority Projects,Sagay Gymnasium and Taliambong Activity Center Improvement,1106250,-,1106250
Various Priority Projects,Sanitary Landfill Improvement,166340,-,166340
Various Priority Projects,Fortune Ville Development,283015,283015,-
Various Priority Projects,Coastal Sanitation,410000,222817,187183
Various Priority Projects,Motor Pool Comfort Room,80000,-,80000
Various Priority Projects,Martinez - Hupac Road Section Rehabilitation,108000,108000,-
Various Priority Projects,Suyac Mangrove Park,500000,-,500000
Total,-,76283605,56886912.06,19396692.94
