appropriation,allotments,date,payee,particulars,capital_outlay,total_obligations
55879200,-,-,-,Appropriations,-,55879200
-,27755000,-,-,Allotments,-,27755000
-,-,-,-,Total Obligation to Date,-,17270240.15
-,-,-,-,Allotment Balance,-,10484769.85
-,-,1/26/2012,L. Novo,TEV Butuan,-,2040
-,-,1/26/2012,PR,Rep. of Computer,-,33900
-,-,2/7/2012,E. Ajo et al,Wages 1-2-31-12,-,66220
-,-,2/16/2012,PR,Smartphone Galaxy,-,58600
-,-,2/20/2012,E. Ajo et al,Wages 2-1-15-12,-,33110
-,-,2/20/2012,PR,"Canon ink, etc",-,11780
-,-,2/27/2012,PR,Washing Machine,10000,-
-,-,3/1/2012,E. Ajo et al,Wages 2-16-29-12,-,30100
-,-,3/5/2012,TETCO,Internet bill,-,4886
-,-,3/12/2012,L. Novo,TEV Lingig,-,2640
-,-,3/13/2012,PR,Sodium Light,1596000,-
-,-,3/13/2012,R.Pedrozo et al,Pymt Subdivision Survey,-,243000
-,-,3/15/2012,PR,Meals and Snacks,-,12500
-,-,3/15/2012,PR,Var. Supplies,-,40480
-,-,3/16/2012,Barangay San Antonio,Construction of hanging bridge,52000,-
-,-,3/16/2012,E. Ajos et al,Wages 3-1-15-12,-,30745
-,-,3/22/2012,PR,Gasoline,-,2560
-,-,4/2/2012,Barangay San Agustin Sur,Construction of footbridge,28250,-
-,-,4/2/2012,PR,Meals and Snacks,-,20250
-,-,4/2/2012,E. Ajos et al,Wages 3-16-31-12,-,35475
-,-,4/2/2012,PR,Tarpaulin,-,2700
-,-,4/11/2012,PR,Var. Supplies,-,18400
-,-,4/12/2012,Barangay San Jose,Financial Assistance,-,45300.6
-,-,4/12/2012,E. Barcos,Per diem Davao,-,1920
-,-,4/12/2012,N. Fernandez,Per diem Davao,-,1920
-,-,4/12/2012,A. Tello,Per diem Davao,-,1920
-,-,4/12/2012,R. Troba,Per diem Davao,-,1920
-,-,4/12/2012,T.Sarte,Per diem Davao,-,1920
-,-,4/12/2012,A. Tello,Per diem Davao,-,1920
-,-,4/13/2012,EDM Caltex Station,Diesel,-,36150
-,-,4/17/2012,Barangay Bag-ong Lungsod,Financial Assistance,-,10000
-,-,4/17/2012,PR,Jetmatic pump,209750,-
-,-,4/17/2012,PR,Var. Supplies,-,15606
-,-,4/17/2012,PR,Meals and Snacks,-,6400
-,-,4/17/2012,PR,Seeds,-,120000
-,-,4/17/2012,PR,Meals and Snacks,-,12160
-,-,4/17/2012,PR,Rep of Honda XL-125,-,10996
-,-,4/17/2012,PR,Gasoline,-,3392
-,-,4/19/2012,PR,"Tire, etc",-,22500
-,-,4/20/2012,Barangay Telaje,Construction of waitingshed,10000,-
-,-,4/20/2012,PR,Toner Kit,-,8367
-,-,4/24/2012,Barangay Mabua,Construction of Multi-Purpose Hall,-,10000
-,-,4/24/2012,CARCANMADCARLAN,Annual Cont. to LBDA,-,75000
-,-,4/25/2012,Barangay Awasian,Repainting of Multi-Purpose Hall,-,4000
-,-,4/25/2012,PR,Construction of Mats,-,29002
-,-,4/26/2012,J. Calamba Jr.,Wages January to March,-,13975
-,-,4/26/2012,A. Inteligando et al,Wages January to March,-,14300
-,-,5/2/2012,E. Ajos et al,Wages 4-1-30-12,-,54180
-,-,5/8/2012,A. Pimentel,TEV Manila,-,38695.99
-,-,5/8/2012,PR,Diesel,-,165897.3
-,-,5/8/2012,PR,Diesel,-,247395.55
-,-,5/9/2012,PR,Construction of Mats,-,17387.5
-,-,5/10/2012,Barangay San Antonio,Replacement of Waitingshed,-,5000
-,-,5/10/2012,PR,Replacement of Patrol Boat,-,4930
-,-,5/11/2012,A. Inteligando,Per diem Davao,-,1920
-,-,5/11/2012,A. Tello,Per diem Davao,-,2650
-,-,5/11/2012,A. Perez,Per diem Davao,-,1920
-,-,5/11/2012,PR,Gasoline,-,2830
-,-,5/16/2012,TETCO Net,Installation fee,-,3600
-,-,5/16/2012,TETCO,Telephone bill,-,1362
-,-,5/16/2012,E. Ajos et al,Wages 5-1-15-12,-,30100
-,-,5/22/2012,Barangay Awasian,Financial Assistance,-,11969
-,-,5/22/2012,A. Tello,Per diem Davao,-,1920
-,-,5/24/2012,PR,Tracking Services,-,25400
-,-,5/24/2012,PR,Procurement of Green belt Project,-,11310
-,-,5/24/2012,A. Inteligando,Wages April,-,3960
-,-,5/24/2012,PR,Meals and Snacks,-,12160
-,-,5/24/2012,J. Calamba Jr.,Wages 4-1-30-12,-,3870
-,-,5/30/2012,PR,Premium Gasoline,-,25567.5
-,-,6/4/2012,E. Ajos et al,Wages 5-16-31-12,-,36120
-,-,6/5/2012,PR,Var. Supplies,-,16877
-,-,6/6/2012,PR,"Ballons, etc.",-,12293
-,-,6/6/2012,A. Inteligando,Wages 5-1-31-12,-,4840
-,-,6/7/2012,Barangay Telaje,Renovation of Waitingshed,-,3040
-,-,6/11/2012,PR,"Frame, etc.",-,16110
-,-,6/14/2012,B/Lungsod,Rehabilitation of footbridge,-,27450
-,-,6/14/2012,J. Calamba Jr.,Wages 5-1-31-12,-,4730
-,-,6/15/2012,PR,Estimation of coco-seed farm,-,14996
-,-,6/15/2012,A. Perez,TEV Davao,-,2000
-,-,6/15/2012,J. Calamba Jr.,TEV Davao,-,2000
-,-,6/15/2012,A. Tello,TEV Davao,-,2000
-,-,6/15/2012,PR,Athletic Uniform,-,20000
-,-,6/21/2012,PR,Var. Const. Mats,-,11990
-,-,6/21/2012,PR,"Mix Gravel San, San Isidro and Maitom",-,5000000
-,-,6/21/2012,PR,"Mix Gravel San, San Jose Dumpsite, Rosario and Awasian",-,6000000
-,-,6/21/2012,PR,Improvement of Barangay Roads Buenavista,-,2000000
-,-,6/21/2012,M. Intas,per diem Cebu,-,7889.76
-,-,6/21/2012,A. Pimentel,TEV Cebu,-,30294.95
-,-,6/21/2012,A. Tello et al,Wages 6-1-15-12,-,25800
-,-,6/25/2012,PR,Lawaan Lumber,-,2180
-,-,6/25/2012,PR,"Lavatory P-trap, etc.",-,7850
-,-,6/26/2012,PR,Stainless logo/building marker,314615,-
-,-,6/27/2012,PR,Meals,-,3060
-,-,6/27/2012,PR,Diesel,-,26025
