item_number,quantity,unit,description_of_articles,3e_electrical_sales_and_services,metro_light_and_electrical_supply_,kryon_star_trading,
-,86,units,Lighting Assembly (Sodium Lights),13000,13500,13390,
-,15,units,Switch (with timer),18850,19000,18990,
-,1,job,Lighting Assembly Installation,125000,126900,128750,
-,1,job,Switch with timer Installation,19450,19510,19670,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
