function_or_programs_or_project_or_activity-1,function_or_programs_or_project_or_activity-2,appropriations,allotments,obligations,unobligated_balance
20% Ecological Development Fund,Barangay Infrastructure Support Program,6300000,3875000,2509914.29,1365085.71
20% Ecological Development Fund,Project Counterdeparting Fund,700000,355000,-,355000
20% Ecological Development Fund,Maintenance of City Roads,500000,245000,38096,206904
20% Ecological Development Fund,Maintenance of Barangay Roads,500000,340000,-,340000
20% Ecological Development Fund,Maintenance of Public Building,1000000,449380.75,75490,373890.75
20% Ecological Development Fund,Interlocal Government Development and Alliances Initiative,300000,150000,62870,87130
20% Ecological Development Fund,School Building Project Counterdeparting Fund,500000,-,-,-
20% Ecological Development Fund,Maintenance of Health Center and Birthing Hospital,500000,230000,-,230000
20% Ecological Development Fund,Community Based Water Sourced Development Project,500000,367000,303935,63065
20% Ecological Development Fund,"Mobilizing Stakeholders for housing Land Development- Roads, Drainage, Flood ",1500000,-,-,-
20% Ecological Development Fund,Institutional Development Support,300000,150000,2500,147500
20% Ecological Development Fund,Irrigation Counterparting Development Project,650000,-,-,-
20% Ecological Development Fund,"Construction, Rehabalitation and Improvement of Local",23622000,15644000,12000000,3644000
20% Ecological Development Fund,Rural Infrastructure Component,1500000,-,-,-
20% Ecological Development Fund,CFAD Component,1000000,443334,-,443334
20% Ecological Development Fund,CPMIU Institutional Support,300000,180000,130228.84,49771.16
20% Ecological Development Fund,Coastal Fishery Re. Mgt,300000,150000,37590,112410
20% Ecological Development Fund,Barangay Livelihood Support Project,10500000,-,-,-
20% Ecological Development Fund,Forestry and Watershed Development and Improvement,300000,160000,-,160000
20% Ecological Development Fund,Program for Tandag Invest and Incentives Promotion,300000,191500,130600,60900
20% Ecological Development Fund,Linungao and Mancagangi Island Eco-Tourism and Development Project,3000000,-,-,-
20% Ecological Development Fund,Ecological Solid Waste Management Project,2000000,1010000,296588,713412
20% Ecological Development Fund,Construction of Flood Controll and Drainage,5000000,5000000,5000000,-
20% Ecological Development Fund,Total,61072000,28940214.75,20587812.13,8352402.62
