appropriation_2012,utilization_date,utilization_check_number,utilization_amount,utilization_project_purpose,balance_october_1_2012
39077777.8,5/3/2012,78480,997500,Hauling of Garbage,-
-,6/6/2012,78841,1192500,Hauling of Garbage,-
-,6/29/2012,79174,117500,Hauling of Garbage,-
-,8/2/2012,79685,1005000,Hauling of Garbage,-
-,8/23/2012,79882,997500,Hauling of Garbage,-
39077777.8,-,-,5370000,-,33707777.8
