function_program_project_activity_1,function_program_project_activity_2,code,annual_appropriation,allotments,obligation,balances_of_appropriation,balances_of_allotments
Other Purposes,Quick Response,9998 200,9583000,-,-,9583000,
Other Purposes,Capability Building-Simulation Drills,200,60000,-,-,60000,-
Other Purposes,Aquisition of Rubber Boats,300,300000,-,-,300000,-
Other Purposes,Rehabilitation Macabayao Hanging Bridge Phase 2 Jimenez    ,200,2000000,-,-,2000000,-
Other Purposes,Rehabilitation Labo Riverbanks Ozamiz-Clarin,200,9000000,9000000,9000000,-,-
Other Purposes,Rehabilitataion Langaran Riverbank Plaridel,200,5000000,-,-,5000000,-
Other Purposes,Environmental Protection Program,200,6000000,6000000,6000000,-,-
Grand Total,Grand Total,-,31943000,15000000,15000000,16943000,-
