particulars_1,particulars_2,particulars_3,particulars_4,appropriation,obligations,unobligated_balance
Social Services Sector,Education and Manpower Development,Education and Manpower Development,Rehabilitation of Camarines Norte Agro Sport Center and its Facilities,5000000,4905112.45,94887.55
Economic Services Sector,Agricultural Development Programs,Production Support to Agriculture,Contract Growing for Agricultural Commodities,5000000,63778,4936222
Economic Services Sector,Agricultural Development Programs,Establishment and Operation of Camarines Norte Agri Pinoy Trading Center (Counterpart Fund),Establishment and Operation of Camarines Norte Agri Pinoy Trading Center (Counterpart Fund),9500000,1125281,8374719
Economic Services Sector,Provincial Livestock and Industry Production,Organic Dairy Techno Project Cum Training Center,Organic Dairy Techno Project Cum Training Center,400000,200850,199150
Economic Services Sector,Provincial Livestock and Industry Production,Livestock and Poultry Dispersal Program,Sow Weaner Production,330000,130860,199140
Economic Services Sector,Provincial Livestock and Industry Production,Broiler Production Project,Broiler Production Project,600000,191295,408705
Economic Services Sector,Environmental Protection and Development Program,One Million Trees Project,One Million Trees Project,400000,94550,305450
Economic Services Sector,Environmental Protection and Development Program,Formulation of 10- Years Solid Waste Management Plan of Camarines Norte and EstabliShment of the Provincial Ecology Center,Formulation of 10- Years Solid Waste Management Plan of Camarines Norte and EstabliShment of the Provincial Ecology Center,500000,192962.15,307037.85
Economic Services Sector,Environmental Protection and Development Program,Sustainability of Agro Forest Plantation under PAMANA,Sustainability of Agro Forest Plantation under PAMANA,300000,-,300000
Economic Services Sector,Environmental Protection and Development Program,Construction of Evacuation Center,Construction of Evacuation Center,10000000,-,10000000
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Construction or Improvement or Rehab. Of Roads and Bridges,-,-,-
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitation of Angas Manguisoc Roads,1000000,776330,223670
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitation of Basud Mangcamagong Masalong-Salong Road,2500000,2347130,152870
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitaton of Capalonga Calabaca Road,1000000,737860,262140
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitaton of Labo-Contod-Vinzons Road,1000000,-,1000000
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitaton of Labo-Fundado-Bakal Road,2500000,1498765,1001235
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitaton of Plaridel Salvacion Road,1000000,-,1000000
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitaton of San Felipe- Patag Road,2000000,-,2000000
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,"Construction of Single Barrel Box Culvert, Brgy. Daculang Bob San Lorenzo Ruiz",2000000,1964336,35664
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitation of San Vicente - San Jose Road,1000000,-,1000000
Economic Services Sector,Architectural or Engineering Services,Roads and Bridges Development Program,Rehabilitation of Talisay - San Jose Road,1000000,792145,207855
Cross Sectoral Services,Counterpart Equity to National Government Projects.,Philippine Rural Development Proram,Philippine Rural Development Proram,20000000,-,20000000
Cross Sectoral Services,Counterpart Equity to National Government Projects.,PAMANA Projects,PAMANA Projects,11700000,-,11700000
Cross Sectoral Services, Loan Amortization,Loan Amortization,Loan Amortization,60380486,10565622.24,49814863.76
Total,Total,Total,Total,139110486,25586876.84,113523609.2
