implementing_office,implementing_office,implementing_office,2013_collection,2013_goal,2012_collection,collection_compared_to_goal_excess_or_deficiency_amount,collection_compared_to_goal_excess_or_deficiency_percentage,collection_compared_to_prev_year_inc_or_dec_amount,collection_compared_to_prev_year_inc_or_dec_percentage,rank_based_on_collection,rank_based_on_collection_growth,rank_based_on_goal_attainment
Bureau of Internal Revenue Operations,Large Taxpayers Service,Large Taxpayers Service,755259.42,768308.14,649964.74,-13048.72,-1.7,105294.68,16.2,1,6,2
Bureau of Internal Revenue Operations,Revenue Regions,Revenue Regions,424257.05,457221.86,369341.78,-32964.81,-7.21,54915.27,14.87,-,-,-
Bureau of Internal Revenue Operations,Revenue Regions,"Calasiao, Pangasinan",8051.49,9048.11,7213.65,-996.62,-11.01,837.84,11.61,11,16,13
Bureau of Internal Revenue Operations,Revenue Regions,Cordillera Adm. Region,3774.66,4312.43,3368.27,-537.76,-12.47,406.4,12.07,19,15,16
Bureau of Internal Revenue Operations,Revenue Regions,"Tuguegarao, Cagayan",5859.96,5689.2,4551.3,170.76,3,1308.66,28.75,16,1,1
Bureau of Internal Revenue Operations,Revenue Regions,"San Fernando, Pampanga",18329.37,18768.76,15340.33,-439.39,-2.34,2989.04,19.48,6,2,3
Bureau of Internal Revenue Operations,Revenue Regions,Caloocan,15872.41,17072.15,13481.33,-1199.73,-7.03,2391.08,17.74,8,5,7
Bureau of Internal Revenue Operations,Revenue Regions,Manila,35066.55,37017.72,29505.69,-1951.17,-5.27,5560.86,18.85,4,4,4
Bureau of Internal Revenue Operations,Revenue Regions,Quezon City,98102.55,106792.81,86610.98,-8690.26,-8.14,11491.57,13.27,3,12,9
Bureau of Internal Revenue Operations,Revenue Regions,Makati City,128077.22,135370.4,111940.59,-7293.19,-5.39,16136.62,14.42,2,11,5
Bureau of Internal Revenue Operations,Revenue Regions,San Pablo City,34981.29,37597.18,30171,-2615.9,-6.96,4810.28,15.94,5,7,6
Bureau of Internal Revenue Operations,Revenue Regions,Legaspi City,6397,7078.69,5530.53,-681.68,-9.63,866.47,15.67,14,8,12
Bureau of Internal Revenue Operations,Revenue Regions,Iloilo City,7235.24,8279.44,6483.94,-1044.2,-12.61,751.3,11.59,12,17,17
Bureau of Internal Revenue Operations,Revenue Regions,Bacolod City,6840.69,7998.9,6290.39,-1158.2,-14.48,550.31,8.75,13,18,18
Bureau of Internal Revenue Operations,Revenue Regions,Cebu City,17285.2,19046.13,14979.96,-1760.93,-9.25,2305.24,15.39,7,9,11
Bureau of Internal Revenue Operations,Revenue Regions,Tacloban City,5019.52,6059.57,4747.74,-1040.05,-17.16,271.77,5.72,17,19,20
Bureau of Internal Revenue Operations,Revenue Regions,Zamboanga City,4411.83,5008.48,3908.28,-596.66,-11.91,503.55,12.88,18,14,15
Bureau of Internal Revenue Operations,Revenue Regions,Cagayan de Oro City,8633.93,9486.37,7510.49,-852.44,-8.99,1123.44,14.96,10,10,10
Bureau of Internal Revenue Operations,Revenue Regions,Butuan City,3445.38,4130.35,3269.43,-684.97,-16.58,175.95,5.38,20,20,19
Bureau of Internal Revenue Operations,Revenue Regions,Koronadal City,5927.08,6670.64,5242.49,-743.56,-11.15,684.58,13.06,15,13,14
Bureau of Internal Revenue Operations,Revenue Regions,Davao City,10945.68,11794.54,9195.39,-848.86,-7.2,1750.3,19.03,9,3,8
