year,vehicle_use,vehicle_type,total_ph,ncr,car,region_I,region_II,region_III,region_IV,region_V,region_VI,region_VII,region_VIII,region_IX,region_X,region_XI,region_XII,region_XIII
2013,Private,Cars,830131,429842,8759,27218,10552,94509,112850,10496,27625,44433,4986,7806,14346,18053,15029,3627
2013,Private,UV,1548413,505303,36322,66585,43525,191147,227626,31018,72167,133064,24183,39556,52198,46349,57246,22124
2013,Private,SUV,343667,184860,4867,9431,5567,33490,32778,3652,12854,22532,3538,4616,8303,9356,5602,2221
2013,Private,Buses,7429,3118,138,351,110,1089,587,42,356,1152,55,72,91,141,69,58
2013,Private,Trucks,325412,67856,5587,11911,15381,49575,27475,8754,26743,31703,8829,9295,16837,16077,23010,6379
2013,Private,MC/TC,3584848,697199,26853,214634,155036,467005,500075,165702,192499,353980,105258,141127,131655,210025,154661,69139
2013,Private,Trailers,33915,16529,108,567,2646,5078,1154,310,693,2805,232,264,860,1179,1254,236
2013,For Hire,Cars,31625,18714,128,0,0,0,0,74,1194,7085,434,0,1474,2453,64,5
2013,For Hire,UV,209342,64684,6716,7041,5945,31037,29897,6937,12713,15537,3703,3144,7575,7494,4330,2589
2013,For Hire,SUV,17,0,0,0,3,0,0,0,4,8,0,0,0,0,0,2
2013,For Hire,Buses,23743,10761,200,758,662,3070,2085,817,933,1788,466,477,601,535,319,271
2013,For Hire,Trucks,23807,9195,18,465,439,1820,822,837,1387,3060,562,445,1708,1223,1623,203
2013,For Hire,MC/TC,647554,73401,9972,72236,61837,110443,153371,28858,42751,26090,11588,11494,7435,12765,17377,7936
2013,For Hire,Trailers,3985,1352,3,101,176,428,145,86,85,719,52,54,230,299,236,19
2013,Government,Cars,2878,1287,32,48,44,792,300,22,61,84,36,25,43,56,32,16
2013,Government,UV,36738,8745,975,1835,1345,3176,3669,1062,1912,3580,1370,1799,1833,2076,2068,1293
2013,Government,SUV,2534,763,73,89,113,308,239,32,99,233,56,170,99,155,59,46
2013,Government,Buses,474,110,23,30,34,127,32,8,12,48,8,12,15,6,6,3
2013,Government,Trucks,9159,1470,145,408,439,744,495,259,742,1377,422,398,590,665,683,322
2013,Government,MC/TC,18256,2691,212,799,734,2028,1363,748,839,1550,702,959,1090,2232,1655,654
2013,Government,Trailers,2220,152,0,3,6,13,1,0,4,2000,2,1,27,4,6,1
2013,Diplomatic,Cars,3375,3116,0,1,0,0,251,0,2,0,1,0,4,0,0,0
2013,Diplomatic,Trucks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,Tax-Exempt,Cars,139,0,0,0,0,137,0,0,0,0,0,0,2,0,0,0
2013,Tax-Exempt,UV,79,0,0,1,1,77,0,0,0,0,0,0,0,0,0,0
2013,Tax-Exempt,SUV,178,0,0,0,1,174,0,0,0,0,0,0,3,0,0,0
2013,Tax-Exempt,Buses,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
2013,Tax-Exempt,Trucks,66,0,0,0,0,62,0,0,3,0,0,1,0,0,0,0
2013,Tax-Exempt,MC/TC,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
2013,Tax-Exempt,Trailers,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
2012,Private,Cars,808968,422924,8698,25739,11086,89481,111360,10202,28669,43842,4720,6932,12371,16273,13555,3116
2012,Private,UV,1513775,487916,34267,64609,44088,195873,225008,29635,72944,130867,23592,39545,46260,42133,55793,21245
2012,Private,SUV,307752,166287,4298,8040,5782,28960,30702,3067,10990,19820,3194,4302,7498,7724,5222,1866
2012,Private,Buses,5653,2047,63,133,95,1510,615,89,274,459,48,49,75,140,40,16
2012,Private,Trucks,308644,62285,5501,11624,15487,47305,27822,8686,25727,30051,9005,9058,15335,13881,21646,5231
2012,Private,MC/TC,3440777,667661,22823,191376,143799,455567,485798,151991,192827,332790,98852,145449,121366,207048,153749,69681
2012,Private,Trailers,32240,16712,103,515,2269,4384,1033,261,653,2766,217,266,691,1144,1079,147
