city_or_municipality,position,name,nikname,party_affiliation,votes_obtained
Agoncillo,Mayor,"Martinez, Glorioso  Ramos",Aglo,Lakas NUCD-UMDP Party,9016
Agoncillo,Vice-Mayor,"Atienza, Mario Martinez",Taryo,Lakas NUCD-UMDP Party,7845
Agoncillo,Councilor,"Alcantara, Ador Diamzon",Ador,-,6293
Agoncillo,Councilor,"Balba, Mario Palicpic",Mar,-,6606
Agoncillo,Councilor,"Punzalan, Maurice Encarnacion",Eric,-,6648
Agoncillo,Councilor,"Carolino, Buenaventura Villavicencio",Ben,-,6980
Agoncillo,Councilor,"Brotonel, Herman Catapang",Eman,-,7525
Agoncillo,Councilor,"Humarang, Michael John Magnaye",Michael,-,8327
Agoncillo,Councilor,"Martinez, May Lacap",Mae,-,8474
Agoncillo,Councilor,"Enriquez, Leonarda Aquino",Nady,Lakas-Christian Muslim Democratics,7469
Alitagtag,Mayor,"Pamplona, David Dimaala",David,Lakas-Christian Muslim Democratics,4446
Alitagtag,Mayor,"Reyes, Guillermo Agito",Emmo,Lakas-Kampi,6451
Alitagtag,Vice-Mayor,"Reyes, Marissa Garcia",Mercy,-,4366
Alitagtag,Vice-Mayor,"Salazar, Noriel Adan",Noriel,Lakas-Kampi,5652
Alitagtag,Councilor,"Magundayao, Eusebio Marasigan",Ben,Lakas-Christian Muslim Democratics,4973
Alitagtag,Councilor,"Maya, Gilberto Magpantay",Evet,-,3108
Alitagtag,Councilor,"Tasico, Rhyan Katigbak",Maok,-,2997
Alitagtag,Councilor,"Dimaculangan, Erwin Giron",Erwin,Lakas-Kampi,4157
Alitagtag,Councilor,"Adan, Rodel Palencia",Rodel,Lakas-Kampi,4133
Alitagtag,Councilor,"Hernandez, Alex Magpantay",Alex,Lakas-Kampi,5519
Alitagtag,Councilor,"Dimaandal, Emiliano Esguerra",Keddy,Lakas-Kampi,4152
Alitagtag,Councilor,"Daycamat, Danilo Abaincia",Danny,-,3165
Alitagtag,Councilor,"Marasigan, Donald Punzalan",Donald,Lakas-Christian Muslim Democratics,4746
Alitagtag,Councilor,"De Ocampo, Nestor Alvez ",Nestor,-,3183
Alitagtag,Councilor,"Gonzales, Dionisio Cruzat",Jhun,Lakas-Christian Muslim Democratics,4313
Alitagtag,Councilor,"Del Mundo, Virgilio Roxas",Ulo,-,3184
Alitagtag,Councilor,"Orola,  Reynaldo Villapando",Aldo,-,3303
Alitagtag,Councilor,"Encallado, Rodante Maralit",Dante,-,3369
Alitagtag,Councilor,"Garcia, Rodolfo Mendoza",Rudy,-,3474
Alitagtag,Councilor,"Quijano, Conrado Jr. Panaligan",Nonot,Lakas-Kampi,5664
Balayan,Mayor,"Fronda, Emmanuel Salvador Orfano",Manny,Lakas NUCD-UMDP Party,15536
Balayan,Vice-Mayor,"Castelo, Romel II Maningat",Meldos,Lakas NUCD-UMDP Party,15805
Balayan,Councilor,"Javier, Guillermo Cruz",Emong,-,11792
Balayan,Councilor,"Salanguit, Rodolfo Hernando",Rudy,-,12630
Balayan,Councilor,"Macalindong, Rodel Lacsamana",Rodel,-,13435
Balayan,Councilor,"Martinez, Marlon Pedraza",Marlon,-,14279
Balayan,Councilor,"Magundayao, Yolanda Aguilar",Yolly,-,14328
Balayan,Councilor,"King, Ricardo Dy",Cado,Nationalist People's Coalition,10834
Balayan,Councilor,"Magahis, Eduardo II Gamez",Dondi M.,Nationalist People's Coalition,11194
Balayan,Councilor,"Arada, Joel Tanglao",Joel,Nationalist People's Coalition,11540
Batangas City,Mayor,"Dimacuha, Eduardo Berberabe",Eddie,Lakas-Kampi,70139
Batangas City,Vice-Mayor,"Tolentino, Jose Virgilio Ylagan",Joe T.,Lakas-Christian Muslim Democratics,50089
Batangas City,Councilor,"Macaraig, Luisa Faytaren",Isay,Lakas-Christian Muslim Democratics,50721
Batangas City,Councilor,"Dela Roca, Gerardo Arellano",Gerry,Lakas-Kampi,45215
Batangas City,Councilor,"Marino , Mario Vittorio Agregado",Marvey,Lakas-Kampi,45125
Batangas City,Councilor,"Aclan, Manuel Sevillano",Maning,Lakas-Kampi,46618
Batangas City,Councilor,"Portugal, Eloisa Angela De Loyola",Eloise,Lakas-Kampi,47216
Batangas City,Councilor,"Cruz, Renato De Castro",Rene,Lakas-Kampi,48052
Batangas City,Councilor,"Villena, Julian Bobadilla",Julie,Lakas-Kampi,48832
Batangas City,Councilor,"Dimacuha, Nestor Esteleydez",Boy,Lakas-Kampi,49126
Batangas City,Councilor,"Atienza, Carmela Hernandez",Ella,Lakas-Kampi,49479
Batangas City,Councilor,"Ambida, Ricardo Alialy",Ric,Lakas-Kampi,48423
Bauan,Mayor,"Dolor, Rynah Manebo",Ian,Lakas-Christian Muslim Democratics,15200
Bauan,Vice-Mayor,"Bacong, Romeo Agulo",Ka Romy,Partido Demokratiko Pilipino-Lakas ng Bayan-United Opposition,10338
Bauan,Councilor,"Abrahan, Raul Agbay",Raul,Partido Demokratiko Pilipino-Lakas ng Bayan-United Opposition,10755
Bauan,Councilor,"Dimayuga, Rommel Cruz",Doc,Partido Demokratiko Pilipino-Lakas ng Bayan-United Opposition,11706
Bauan,Councilor,"Bautista, Noel Caringal",Caringal,Partido Demokratiko Pilipino-Lakas ng Bayan-United Opposition,11884
Bauan,Councilor,"Cruzat, Ronald Evangelista",Ronald,Lakas NUCD-UMDP Party,12023
Bauan,Councilor,"Valdez, Neil Paglinawan",Skp,Lakas NUCD-UMDP Party,12138
Bauan,Councilor,"Rivera, Wilson Leandro Talag",Wilson,Lakas-Christian Muslim Democratics,14711
Bauan,Councilor,"Casapao, Julian Casapao",Bojie,-,13958
Bauan,Councilor,"Riego, Jerlon Dimayacyac",Dimayacyac,Partido Demokratiko Pilipino-Lakas ng Bayan-United Opposition,10680
Calaca,Mayor,"Ona, Sofronio Jr.  Calanog",Nas,Lakas-Christian Muslim Democratics,16390
Calaca,Mayor,"Marquez, Felipe Africa",Mamay Ipe,Lakas-Christian Muslim Democratics,16217
Calaca,Vice-Mayor,"Anyayahan, Leonardo Castillo",Narding,Laban,15742
Calaca,Councilor,-,,-,-
Calaca,Vice-Mayor,"Atienza , Lordilando Del Mundo",Larry,Lakas-Christian Muslim Democratics,15669
Calaca,Councilor,-,-,-,-
Calaca,Councilor,"Ontangco, Deovic Marcial",Deo,Lakas-Christian Muslim Democratics,12646
Calaca,Councilor,"Valencia, Ramon Jr. Tenorio",Jhun,Lakas-Kampi,12420
Calaca,Councilor,"Maranan, Manuel Aguilar",Manny,Lakas-Kampi,13195
Calaca,Councilor,"Kalalo, Felomino Magbuhos",Emon,Laban,12774
Calaca,Councilor,"Geron, Virgilio Pasia",Vio,Lakas-Kampi,11021
Calaca,Councilor,"Aguilar, Edward Briones",Edward,Laban,11625
Calaca,Councilor,"Lee, Angelica Rosales",Angel,Lakas-Christian Muslim Democratics,11503
Calaca,Councilor,"Sale, Robinson Matalog",Beson,Lakas-Christian Muslim Democratics,12664
Calaca,Councilor,"Casanova, Brigido Apolonia",Berling,Lakas-Christian Muslim Democratics,12738
Calaca,Councilor,"Macalalad, Luis Macatangay",Chito,Lakas-Christian Muslim Democratics,12770
Calaca,Councilor,"Ilagan, Lurdan Marquez",Lurdan,Lakas-Kampi,13023
Calaca,Councilor,"Dajoyag, Prima Casanova",Emma,Lakas-Christian Muslim Democratics,14489
Calaca,Councilor,"De Joya , Charlie Hernandez",Charlie,Lakas-Kampi,15054
Calaca,Councilor,"Bautista, Armando Comia",Manding,Lakas-Christian Muslim Democratics,11028
Calaca,Councilor,"Grenas, Manuel Comia",Maning,Lakas-Kampi,10925
Calaca,Councilor,"Hernandez, Rodjelo Jaspe",Jelo,Lakas-Kampi,11096
Calatagan,Mayor,"Palacio, Sophia  Grandeza",Sophie,Lakas-Christian Muslim Democratics,7889
Calatagan,Vice-Mayor,"Bautista, Ruben Concepcion",Ruben,Lakas-Kampi,6971
Calatagan,Councilor,"Rol, Kim Ruel Rodriguez",Kim,Lakas-Christian Muslim Democratics,5020
Calatagan,Councilor,"Aytona, Glenn Zapata",Glenn,Independent,5133
Calatagan,Councilor,"Sayo, Godofredo Inciong",Indo,Lakas-Christian Muslim Democratics,5417
Calatagan,Councilor,"Ligan, Felix Martinez",Felix,Lakas-Christian Muslim Democratics,5507
Calatagan,Councilor,"Rodriguez, Francisco Manguiat",Francing,Lakas-Christian Muslim Democratics,5907
Calatagan,Councilor,"Bautista, Rexio Panganiban",Rex,Lakas-Christian Muslim Democratics,7896
Calatagan,Councilor,"Anzaldo, Michael De Asis",Mike,Lakas-Kampi,8873
Calatagan,Councilor,"Caisip, Rolando Hernandez",Lando,-,6243
