function_or_program_or_projects_1,function_or_program_or_projects_2,function_or_program_or_projects_4,function_or_program_or_projects_5,function_or_program_or_projects_6,amount_a,amount_b,amount_c
Income,General Income Accounts,Other Income,Other Income,Other Income,-,-,76252140.85
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Supplies and Material Expenses,Supplies and Material Expenses,Supplies and Material Expenses,-,-,755822.2
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Land and Improvements,Land and Improvements,-,1937697.7,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Machineries and Equipment,Machineries and Equipment,-,154188,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Repair and Maintenance,Public Infrastructures,Public Infrastructures,-,10401119.94,12493005.64
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Subsidies and Donations,Subsidies and Donations,Subsidies and Donations,-,-,2442730.3
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Land Improvements,106459.02,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Buildings,5836213.98,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Office Equipment-Funiture and Fixtures,160085.61,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Machineries and Equipmnet,5839095.69,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,Transportation Equipment,105408,-,-
Gross Income Less: Expenses,Maintenance and Other Operating Expenses,Non-Cash Expenses,Depreciation,"Other Property, Plant and Equipment",2955999.78,15003262.98,30694821.12
Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,Total Operation Expenses,-,-,30694821.12
Net Income (Loss),Net Income (Loss),Net Income (Loss),Net Income (Loss),Net Income (Loss),-,-,45557319.73
