cities,position,name,nickname,party_affiliation,votes_obtained
Ronda,Councilor,"Zozobrado, Jose Abrenica",Jojo,Nationalist People's Coalition,2982
Ronda,Councilor,"Carreon, Roel Talaba",Roel,-,3115
Samboan,Mayor,"Calderon, Raymond Joseph Durano",Raymond,Lakas-Kabalikat ng Malayang Pilipino,6883
Samboan,Vice-Mayor,"Capa, Rogelio Mascardo",Boy,Lakas-Kabalikat ng Malayang Pilipino,6059
Samboan,Councilor,"Omale, Nador Espadilla",Dodong,Lakas-Kabalikat ng Malayang Pilipino,5239
Samboan,Councilor,"Tocao, Elmer Aranas",Eme,Lakas-Kabalikat ng Malayang Pilipino,5328
Samboan,Councilor,"Ferrolino, Virgincito Hisoler",Virgin Kakoy,Lakas-Kabalikat ng Malayang Pilipino,5429
Samboan,Councilor,"Limpahan, Teodoro Jr. Ferolino",Jun,Lakas-Kabalikat ng Malayang Pilipino,5480
Samboan,Councilor,"Tano, Remedios Tolentin",Manding Medy,Lakas-Kabalikat ng Malayang Pilipino,5949
Samboan,Councilor,"Gamallo, Carolina Penera",Carol,Lakas-Kabalikat ng Malayang Pilipino,5969
Samboan,Councilor,"Catipay, Jeffrey Catubig",Jef,Lakas-Kabalikat ng Malayang Pilipino,5995
Samboan,Councilor,"Gorion, Franco Balbuena",Frank Ok,Lakas-Kabalikat ng Malayang Pilipino,5027
Santander,Mayor,"Wenceslao, Wilson Singco",Eti,Lakas-Kabalikat ng Malayang Pilipino,5271
Santander,Vice-Mayor,"Wenceslao, Marilyn Singco",Bebe,Lakas-Kabalikat ng Malayang Pilipino,5543
Santander,Councilor,"Pintac, Cesar Catipay",Cesar,Lakas-Kabalikat ng Malayang Pilipino,3988
Santander,Councilor,"Miral, Marcelino Valle",Marmar,Lakas-Kabalikat ng Malayang Pilipino,4016
Santander,Councilor,"Miparanum, Candida Lozano",Dodong,Lakas-Kabalikat ng Malayang Pilipino,4659
Santander,Councilor,"Luzano, Yolando Enad",Undo,Lakas-Kabalikat ng Malayang Pilipino,3839
Santander,Councilor,"Hernando, Midalla Hucas",Dalia,Lakas-Kabalikat ng Malayang Pilipino,3123
Santander,Councilor,"Estano, Jesusa Juguilon",Susa,Lakas-Kabalikat ng Malayang Pilipino,4813
Santander,Councilor,"Audiencia, Elesio Vasay",Eloy,Lakas-Kabalikat ng Malayang Pilipino,4120
Santander,Councilor,"Serencio, Patrosinio Portallo",Enyong,Lakas-Kabalikat ng Malayang Pilipino,3202
Sibonga,Mayor,"Bacaltos, Lionel Echavez",Balondong,Lakas-Kabalikat ng Malayang Pilipino Alayon Alang sa Kalambu-an ng Kalinaw,7848
Sibonga,Vice-Mayor,"Ponce, Nestor Hong",Nestor,-,8822
Sibonga,Councilor,"Uytico, Gonzalo Jr. Kong",Puyot,Lakas-Kabalikat ng Malayang Pilipino-Alayon Alang sa Kalambu-an ng Kalinaw,7904
Sibonga,Councilor,"Sarnillo, Daniel Semilla",Danny,Lakas-Kabalikat ng Malayang Pilipino-Alayon Alang sa Kalambu-an ng Kalinaw,8176
