region,city,total_income,total_local_sources,total_tax_revenue,real_property_tax,business_tax,total_non_tax_revenue,receipts_from_economic_enterprise,fees_or_charges,loans_and_borrowings,other_receipts,aids_and_allotments,internal_revenue_allotment,national_ aids,national_wealth,total_expenditures,current_expenditures,general_government,public_welfare_and_internal_safety,economic_development,operation_of_economic_enterprise,other_charges,capital_outlay,excess_deficit_of_income_over_expenditures,
 NCR , Calookan City ,768.67,420.18,275.99,99.85,176.15,144.18,12.33,65.86,65.98,0.01,348.49,348.49,0.00,0.00,785.92,692.15,318.11,114.81,108.51,0.00,150.72,93.77,-17.26,
 NCR , Makati City ,3951.88,3672.76,2343.37,901.20,1442.17,1329.39,105.17,140.88,1000.00,83.35,279.12,279.12,0.00,0.00,2763.78,2763.78,1029.41,566.79,280.31,0.00,887.27,0.00,1188.10,
 NCR , Mandaluyong City ,894.37,732.13,518.10,229.04,289.06,214.03,7.54,40.80,124.89,40.80,162.24,162.24,0.00,0.00,895.46,895.46,178.88,304.43,185.87,9.60,216.69,0.00,-1.10,
 NCR , Manila City ,2755.29,1990.68,1734.90,746.86,988.04,255.78,63.78,158.69,0.00,33.31,764.61,764.61,0.00,0.00,2932.38,2733.72,391.30,1571.81,291.35,0.00,479.26,198.66,-177.09,
 NCR , Muntinlupa City ,621.56,444.06,345.64,202.59,143.05,98.42,14.02,35.37,27.96,21.08,177.50,177.50,0.00,0.00,563.60,523.98,178.30,229.53,27.07,0.00,89.07,39.62,57.96,
 NCR , Pasay City ,655.13,448.80,348.48,208.80,139.68,100.32,34.49,44.04,25.00,-3.21,206.33,206.33,0.00,0.00,676.97,526.91,202.12,106.51,67.50,5.05,145.73,150.05,-21.84,
 NCR , Pasig City ,1156.11,921.69,804.10,236.79,567.31,117.60,45.39,64.48,0.00,7.72,234.41,234.41,0.00,0.00,948.93,590.82,150.57,299.52,76.12,9.67,54.94,358.11,207.18,
 NCR , Quezon City ,3036.44,2226.60,1993.31,877.47,1115.84,233.29,8.98,193.44,0.00,30.87,809.84,809.84,0.00,0.00,3199.88,3199.88,926.81,1107.08,385.88,3.95,776.15,0.00,-163.43,
 NCR , Total ,13839.44,10856.91,8363.89,3502.60,4861.29,2493.02,291.70,743.56,1243.83,213.93,2982.53,2982.53,0.00,0.00,12766.92,11926.70,3375.51,4300.48,1422.61,28.27,2799.83,840.21,1072.52,
 CAR , Baguio City ,297.93,163.46,111.30,33.57,77.73,52.16,19.77,18.28,0.00,14.11,134.46,134.46,0.00,0.00,292.85,287.20,65.48,84.13,32.09,35.66,69.84,5.65,5.07,
