city_or_municipality,position,name,nickname,party_affliation,votes_obtained
Irosin,Vice-Mayor,"Cielo, Alfredo Jr. Jao",Pidoy,Liberal Party,12767
Irosin,Councilor,"Lim, Christian Dig",Cris,Liberal Party,13910
Irosin,Councilor,"Dorotan, Roque Jr. Uy",Nono,Liberal Party,13291
Irosin,Councilor,"Berwega, Eduardo Balingbing",Dong,Nationalista Party,10986
Irosin,Councilor,"Balisnomo, Rabbi Espa",Rabbi,Unites Nationalist Alliance,10859
Irosin,Councilor,"Michelena, Melchor De Ortube",Isol,Nationalista Party,10184
Irosin,Councilor,"Balaoro, Yolanda Arevalo",Yolly,Unites Nationalist Alliance,9906
Irosin,Councilor,"Fortes, Danilo Encinares",Danny,Nationalista Party,9848
Irosin,Councilor,"Borlagdan, Jesus Lim",Etot,Liberal Party,9492
Juban,Mayor,"Alindogan, Antonio Hainto",Cama,Liberal Party,8525
Juban,Vice-Mayor,"Olondriz, Manuel Iv Tiu",Popo,Liberal Party,6804
Juban,Councilor,"Olondriz, Marciana Grefaldeo",Masi,Liberal Party,6084
Juban,Councilor,"De Jesus, Ryan Grefaldeo",Ryan,Liberal Party,5593
Juban,Councilor,"Baleza, Russel Pombuena",Rb,Liberal Party,5477
Juban,Councilor,"Desder, Edgar Balisacan",Ed,Nationalista Party,5070
Juban,Councilor,"Gruta, Betty Alcomendas",Nene,Liberal Party,4670
Juban,Councilor,"Banaag, Segundo Jr. Aurelio",Jun,Nationalista Party,4639
Juban,Councilor,"Docot, Nestor Calleja",Sota,Nationalista Party,4427
Juban,Councilor,"Gratuito, Dante Higuit",Dante,Liberal Party,4282
Magallanes,Mayor,"Ragragio, Augusto Manuel Mella",Tito,Nationalista PartyC,9017
Magallanes,Vice-Mayor,"Judit, Eduardo Ebriega",Dok,Independent,5655
Magallanes,Councilor,"Carranza, Ralph Josef Manere",Jr,Nationalista PartyC,8899
Magallanes,Councilor,"Arambulo, Allen Ajero",Allen,Independent,8007
Magallanes,Councilor,"Labalan, Edmundo Magdaraog",Spark,Nationalista PartyC,7643
Magallanes,Councilor,"Rebancos, Zacarias Decano",Boy,Independent,7300
Magallanes,Councilor,"Carrascal, Roy Coronado",Roy,Nationalista PartyC,6806
Magallanes,Councilor,"Mara, Antonio Altavano",Tony,Nationalista PartyC,6799
Magallanes,Councilor,"Apuya, Edgar Bea",Bugoy,Nationalista PartyC,6312
Magallanes,Councilor,"Buban, Romeo Llaneta",Roming,Nationalista PartyC,5903
Matnog,Mayor,"Ubaldo, Emilio Gavi",Panday,Liberal Party,8796
Matnog,Vice-Mayor,"Dulay, Alex Baluyot",Nono,Liberal Party,8801
Matnog,Councilor,"Frencillo, Salvador Legaspi",Salve,Liberal Party,7686
Matnog,Councilor,"Hadap, Christopher Garalde",Toper,Liberal Party,7277
Matnog,Councilor,"Garra, Harry Garais",Dande,Unites Nationalist Alliance,7228
