project_program_1,project_program_2,project_program_3,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_statust_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Social Development,Health,Completion of DFBDSMH,Sorsogon City,5000000,-,-,-,-,-,-
Social Development,Water System,Improvement of Water System in Monte Calvario,Bulan Sorsogon,1500000,-,-,-,-,-,-
Economic Development,Economic Service Sector,Purchase of 2 units Combine-Harvester Thesger (PLGU Counterpart),-,670000,-,-,-,-,-,-
Economic Development,Economic Service Sector,Purchase of 2 sets Hand Tractor or  Power Tillers(with complete accesssories),-,830000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of San Ramon-Batug road ,Bulan Sorsogon,3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,"Rehabilitation of Brgy. road in Recto, Bulan",Bulan Sorsogon,2000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation along Roxas-Calpi-Dolos road,Bulan Sorsogon,3500000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Conreting of of one (1) lane in Lalud - San Bartolome Road (San Antonio Section),"Bulusan, Sorsogon",2200000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation or Concreting along Bulusan Diversion Road,"Bulusan, Sorsogon",4000000,-,-,100,3982200,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Concreting of Lalud Barangay road Bulusan,"Bulusan, Sorsogon",2000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation of Boton-Cabungahan Farm to market road,"Casiguran, Sorsogon",2000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Construction of Hanging Bridge connecting Abucay and Tongdol,"Donsol, Sorsogon",3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation of Carriedo Brgy. road sitio Biyao,"Gubat, Sorsogon",1400000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Rehabilitation of Batang-Gumapi-Tongdol road ,"Irosin, Sorsogon",3000000,-,-,-,-,-,-
Economic Development-Engineering Services,Infrastructure Development- Roads and Bridges,Construction of Hanging Bridge at Brgy. Binanuhan,"Juban, Sorsogon",3500000,-,-,-,-,-,-
