allotment,purpose,amount_obligated,balance
500000,"Construction Of Multi-purpose hall - Talisay West District, Sorsogon City",498347,1653
750000,"Construction Of Evacuation Center- Bitan-o West District, Sorsogon City",747784,2216
500000,"Rehab of multi-purpose hall/Evacuation center, Gimaloto, West District Sorsogon City",498700,1300
7500000,"Construction Of evacuation center, Buenavista West District, Sorsogon City",748300,1700
750000,"Rehab of irrigation canal at Capuy, West District, Sorsogon City",748500,1500
250000,"Construction Of Barangay road at G,K, Village at Guinlajon, West District Sorsogon City",249050,950
1000000,"Concreting of access road from Executive Village to Purok 4, West District Sorsogon City",997765,2235
300000,"Construction Of pathway at Tublijon, West District Sorsogon City",299050,950
300000,"Construction Of pathway at Salvacion, West District Sorsogon City",299887,11300
200000,"Construction Of pathway at Penafrancia, West District Sorsogon City",199946,54
400000,"Construction Of pathway at Piot, West District Sorsogon City","     398,288,00",1712
750000,"Concreting of Barangay road near BNCC at Cabid-an, Sorsogon City",745833,3167
1000000,Concreting along Abuyog-Casili road East District Sorsogon City,997962,2038
500000,"Widening of road near E/S at Penafrancia West District, Sorsogon City",497676,2324
500000,Concreting of FMR in Barangay Pamurayan,498524,1476
500000,Concreting of Barangay road at Guinlajon,498900,1100
750000,"Concreting of FMR at Bagong Sirang,Macabog, Sorsogon City",747897,2103
750000,"Concreting of Barangay road at Rizal, West District, Sorsogon City",748500,1500
150000,"Construction Of pathway in Sitio mahingan,Balogo, Sorsogon City",148000,2000
400000,"Construction Of Footbridge in Barangay road, Balogo East District, Sorsogon City",398000,2000
200000,"Construction of line canal at Barangay Almendras East District, Sorsogon City",198600,1400
200000,"Construction of line canal at San Juan (Roro) East District, Sorsogon City",198600,1400
300000,"Construction of line canal at Barangay road, Bibincahan East District, Sorsogon City",296232,3768
200000,"Construction of line canal at BLISS, Macabog West District, Sorsogon City",198935,1065
500000,"Construction of drainage canal in Salog, East District, Sorsogon City",498600,1400
1500000,"Rehab of drainage canal at Bibincahan East District, Sorsogon City",1498126,1874
500000,"Rehab of drainage canal at Polvorista East District, Sorsogon City",499827,173
750000,"Rehab of drainage canal at Burabod East District, Sorsogon City",748550,1450
500000,"Rehab of drainage canal at Sulucan East District, Sorsogon City",498600,1400
800000,"Construction of drainage canal at Cambulaga West District, Sorsogon City",798725,1725
500000,"Construction of drainage canal at OLV, Pangpang West District, Sorsogon City",498179,1821
250000,"Cont of Footbridge at Salog, East Dist",248600,1400
250000,"Construction of line canal at Talisay, West Dist, Sorsogon City",249055,945
200000,"Construction of line canal at Balogo, East Dist,Sorsogon City",198000,2000
1500000,"Construction Of river control at Barayong,West District, Sorsogon City",1497500,2500
500000,Construction Of river control at Talisay,498867,1133
500000,Construction Of river control at San Isidro,498900,1100
500000,"Rehab of slope protection at Sitio Pocdol Capuy, West District Sorsogon City",498900,1100
1000000,"Rehab or Impt of MP and slope protection in Sitio Bisita, Abuyog",998328,1672
2000000,"Construction of seawall at Sirangan, Sorsogon City",1998000,2000
