Program,project,location,total_cost,date_started,project_status_percent_of_completion,prject_status_total_cost_incurred_to_date,number_of_extension_if_any,remarks
Social Development,Expansion of Multi-purpose covered court,"F. Simeon, Ragay",2745594.28,5/15/2014,60.12,1650651.36,-,-
Social Development,Expansion of Multi-purpose covered court,GRS Ragay,2745594.28,3/19/2014,60.12,1650684.36,-,-
Social Development,Counterpart fund for the Establishment of Youth and Faculty  room and multi-purpose Hall,Bula Cam Sur,50000,-,-,50000,-,-
Social Development,"Counterpart fund for Mini Library, San Ramon School","San Ramon, Bula CS",50000,-,-,50000,-,-
Economic Development,Tourism Development Program- High Density Polytehene Sheets for Ramps of CWC Ski,"CWC Ski Cadlan, Pili CS",2499000,5/8/2014,1,2499000,-,-
Economic Development,Tourism Development Program- Installation of Aluminun Frames and Glass at Villa Del Rey and Villas Lobby and Reception Area,"CWC, Kadlan, Pili CS",5225046,5/8/2014,0.15,783756.9,-,-
Economic Development,"Counterpart funds or const.  Materials for the Improvement repair, rehab of various public infrastructure projects",-,7656215.68,-,-,7656215.68,-,-
Economic Development,Debt Service Appropriation inclusive of other bank charges- Subsidy to other funds-SA-Loans for Payment ,-,51471104.93,-,-,51471104.93,-,-
Enviromental Management,Enviromental Management,-,-,-,-,-,-,-
Total,Total,-,72442555.17,-,-,65811413.23,-,-
