office,project_name,expenditures_in_first_quarter_obligation,expenditures in second quarter obligation,total
Office of the City Mayor,Land Banking ,-,-,-
Office of the City Mayor,Site Development (Resettlement Area),-,-,-
Office of the City Mayor,Gawad Kalinga Program,-,835899,835899
Office of the City Mayor,Livelihood Project,-,-,-
Office of the City Planning and Development Office,DIDP Equity,-,1230000,1230000
Office of the City Planning and Development Office,MRDP Project Maintenance,-,-,-
Office of the City Planning and Development Office,(FMR and PWS),-,-,-
Office of the City Planning and Development Office,DIDP Project Maintenance,-,-,-
Office of the City Planning and Development Office,MRDP Equity (Construction Of Potable Water System),-,-,-
Office of the City Planning and Development Office,Support to Mabunao Water system,-,-,-
Office of the City Environment and Natural Resources,Dumpsite Development,-,-,-
Office of the City Engineer,Rural Urban Electrification Construction Brgy. Health Center - Kauswagan,625824.05,955059.06,1580883.11
Office of the City Engineer,Construction Brgy. Health Center Gredu,-,-,-
Office of the City Engineer,Completion Brgy. Multi Purpose Building - New Pandan,-,-,-
Office of the City Engineer,Completion Brgy. Multi Purpose Building - Dapco,-,-,-
Office of the City Engineer,INFRES Project Operation and Maintenance,-,429983.89,429983.89
Office of the City Engineer,Construction Diversion Road - J.P. Laurel,-,-,-
Office of the City Engineer,Construction Coastal Road (Road Widening),-,-,-
Office of the City Engineer,Concreting of Manay Road - Phase III,-,-,-
Office of the City Engineer,Construction of Causeway for the Tourism,-,1909899.23,1909899.23
Office of the City Engineer,Concreting Pedestrian / Biscycle/ Tricycle,-,1900320.15,1900320.15
Office of the City Engineer,Concreting Cemetery Road - Proposed PC Eternal Garden ,1976953.91,1995678.23,3972632.14
Office of the City Engineer,Concreting Quezon St. Main Road (ph2),2931571.8,2982051.57,5913623.37
Office of the City Engineer,Concreting Lauron St. from Cabaluna Road,2945739.65,2945739.65,5891479.3
Office of the City Engineer,Concreting City Road (Along Sto. Nino Brgy. Hall),-,261938.03,261938.03
Office of the City Engineer,Concreting of Road from Gambriel to Quezon,1952091.51,1985789.35,3937880.86
Office of the City Engineer,Concreting of Salvacion Brgy. Road,1889439.97,1930935.33,3820375.3
Office of the City Engineer,Concreting of Narra St. (From Yambao Res),1839482.23,1907807.05,3747289.28
Office of the City Engineer,Concreting JP Laurel Road from national Highway,-,2789778.6,2789778.6
Office of the City Engineer,Concreting San Isidro Road - Crystal Plains,-,1879365.19,1879365.19
Office of the City Engineer,Construction of Kauswagan Brgy. Roads,-,-,-
Office of the City Engineer,Concreting of San Vicente Road (Con't),-,1836081.12,1836081.12
Office of the City Engineer,Concreting City Road P-Mangga to KM 30,-,1913363.4,1913363.4
Office of the City Engineer,Concreting of Road with concrete canal lining,-,1925292.08,1925292.08
Office of the City Engineer,Project Search for SWM Best Practice,-,-,-
Office of the City Engineer,Road Maintenance  ,1891965.71,1994433.83,3886399.54
Office of the City Engineer,Drainage Maintenance,487966.76,1367645.63,1855612.39
Office of the City Engineer,Beautification of Parks AND Plaza Facilities,-,992903.95,992903.95
Office of the City Engineer,Construction of PC Mariculture Complex,-,-,-
Office of the City Engineer,Construction of Seawall (Ph 8),-,-,-
Office of the City Engineer,Riprapping Gredu Creek (Con't),-,952384.28,952384.28
Office of the City Engineer,Eco Tourism Development Project,-,952384.28,952384.28
Office of the City Engineer,Construction of Canal Lining P. N. Argulles,-,1848426.84,1848426.84
Office of the City Engineer,Drainange or Flood Control System (Citywide),798733.72,954454.11,1753187.83
Office of the City Engineer,Construction of Drainage w/ canal lining,-,2047211.63,2047211.63
Office of the City Engineer,Canal Lining - phase 2 at Duterte St. San Francisco,-,1046589.86,1046589.86
Office of the City Engineer,Concreting of Road (from Quilisadio main),-,-,-
Office of the City Engineer,Construction of drainage along panabo wharf,-,1623675.29,1623675.29
Office of the City Engineer,Concreting of city road with drainage - shell gas,-,-,-
Office of the City Engineer,Concreting of city road with drainage - rivera hospital,-,-,-
Office of the City Engineer,Removal and reconstruction of pedestrian,-,-,-
Office of the City Engineer,Construction of potable water system ,-,-,-
Office of the City Engineer,Panabo city water system geo resistivity,-,-,-
Office of the City Engineer,Riprapping of canal along lauron,48788025.61,48788025.61,-
Office of the City Engineer,"Rehab of Buenavista , Waterfall FMR",-,-,-
Office of the City Engineer,Concreting of Narra St. (Yambao Res Water System - Datu Abdul),-,-,-
Office of the City Engineer,Improvement Multi Purpose Gym - San Pedro,-,689666.16,689666.16
Office of the City Engineer,Installation Elec. Sevice Entrance A,-,26433.69,26433.69
Office of the City Engineer,Installation Elec. Sevice Entrance B,-,24433.69,24433.69
Office of the City Engineer,Completion of Multi Purpose Gym - Malativas,-,-,-
Office of the City Engineer,Concreting Of Multi Purpose Gym Sta. Cruz,-,-,-
