particulars_1,particulars_2,particulars_3,expenses,balance
receipt from 20%,-,-,-,24000000
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Maintenance and Other Operating Expenses-Barangay Initiated Development Program (BIDP),-,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay Gamao,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay Charito,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay Mt. Carmel,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay Saguma,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay San Agustin,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay San Isidro,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay Sta. Teresita,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay Del Carmen,900000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Barangay Noli,1000000,-
Less: Disbursements,Maintenance & Other Operating Expenses-Barangay Initiated Development Program (BIDP),Sub-Total,-,8900000
Grand Total,Grand Total,Grand Total,-,8900000
Balance,Balance,Balance,-,15100000
