program_or_project_1,program_or_project_2,location ,total_cost,date_started,target_completion_date,Project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,Remarks 
Social Development,Concreting of Sambulawan - Cabonegro St.  Road Section (805m ),Brgy. Poblacion ,15295000,4/2/2014,12/22/2014,15% mobilization ,2292377.73,-,on going 
Social Development,Concreting of Valbueco - Palusapis - Camatsili Rd. (M 911.45 m ),Brgy. Poblacion ,17317550,4/2/2014,12/7/2014,15% mobilization ,2595023.61,-,on going 
Social Development,Concreting of Chico St. ( 30. 57m ),Brgy. Poblacion ,580875.4,3/24/2014,4/22/2014,15% mobilization ,87131.331,-,on going 
Social Development,Concreting of Molave St. ( 255.03 m),Brgy. Poblacion ,4845570,4/7/2014,9/7/2014,15% mobilization ,725917.26,-,on going 
Social Development,Const. of School Bldg. ADSPILS Ph. 3 ,Brgy. Poblacion ,2000000,5/23/2014,8/30/2014,15% mobilization ,298778.87,-,on going 
Social Development,Construction of Water Supply ,Brgy. Mt. Carmel ,500000,-,-,-,500000,-,implemented 
Social Development,Construction of Multi Purpose Hall ,Brgy. Wawa ,300000,-,-,-,300000,-,implemented 
Social Development,Construction of Multi Purpose Hall - ALS ,Brgy. Wawa ,100000,-,-,-,100000,-,implemented 
Social Development,Completion of Multi Purpose Hall Phase 3 ,Brgy. Gamao ,700000,-,-,-,700000,-,implemented 
Social Development,Construction of Multi Purpose Hall Phase 5 ,Brgy. Marcelina ,900000,-,-,-,900000,-,implemented 
Social Development,Fabrication of Steel Fence per Solar Dryer ,Brgy. Wawa ,100000,-,-,-,100000,-,implemented 
Economic Development,Construction of Multi- Purpose Center - DA ,Brgy. Poblacion ,10000000,-,-,22.34,2233241.45,-,on going 
Economic Development,Livelihood - Construction of Warehouse ,Brgy. Gamao ,150000,-,-,-,150000,-,implemented 
Economic Development,Livelihood - Construction of Solar Dryer ,Brgy. Gamao ,150000,-,-,-,150000,-,implemented 
Economic Development,Livelihood- Goat Raising ,Brgy. Marcelina ,100000,-,-,-,100000,-,implemented 
Economic Development,Concreting of Barangay Road ,Brgy. Wawa ,500000,-,-,-,500000,-,implemented 
Grand Total,Grand Total,-,53538995.4, -   , -   , -   ,11732470.25, -   ,-
