program_or_project_1,program_or_project_2,location,total_cost,date_started,target_completion_date,project_status_percent_of_completion,project_status_total_cost_incurred_to_date,number_of_extensions_if_any,remarks
Economic Development,Construction of Multi- Purpose Center at D. A. ,Brgy. Poblacion ,10000000,41691,41930,5% mobilization ,1499777,-,on going 
Grand Total,Grand Total,-,10000000, -   , -   , -   ,1499777, -   ,-
