flag,dsc,act_nga,act_gc,act_lgu,act_cred,adj_nga,adj_gc,adj_lgu,adj_cred,pro_nga,pro_gc,pro_lgu,pro_cred,seq_no
1,Personal Services,502801245,0,154924,0,593519817,0,21518,0,641276979,0,24926,0,1
1,Maintenance and Other Operating Expenses,211047355,0,17466701,0,300852558,0,1281951,0,343778015,0,1425916,0,2
1,Allotment to LGUs (IRA),0,0,229555391.2,0,0,0,218647673.6,0,0,0,241843200.8,0,3
1,Subsidy,0,71360713,0,0,0,19733181,0,0,0,42286509,0,0,5
1,Interest Payments,0,0,0,278996000,0,0,0,333107000,0,0,0,333902000,6
2,Infrastructure,143545911,0,245914,0,203346193,0,322000,0,224118966,0,281000,0,1
2,Capital Transfer to LGUs (IRA),0,0,57388847.8,0,0,0,54661918.4,0,0,0,60460800.2,0,2
2,Special Shares to LGUs,0,0,10943143,0,0,0,16679895,0,0,0,15799821,0,3
2,Equity,0,12408704,0,0,0,2079622,0,0,0,2022700,0,0,4
2,Other Capital Outlays,26046699,0,0,0,48746673,0,0,0,72279167,0,0,0,5
3,NET LENDING,0,18055000,0,0,0,23000000,0,0,0,26500000,0,0,1
