particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
     National Statistics Office,765320,659478,4918,707513,1026664,0,788484,2348410,93784,,
     Philippine National Volunteer Service,,,,,,,,,,,
        Coordinating Agency,8092,6308,0,7598,6357,0,8220,7071,0,,
     Public-Private Partnership Center of the Philippines,28477,21055,4406,0,184855,7500,32935,656436,2000,,
     Statistical Research and Training Center,11548,6592,20000,10546,7925,8753,12866,8115,7000,,
     Tariff Commission,34197,16339,0,29488,19295,1000,37911,19761,0,,
,,,,,,,,,,,
   Presidential Communications Operations Office,651082,476558,10556,590177,422260,35509,687371,470794,153968,1,
     Presidential Communications Operations,,,,,,,,,,,
        Office (Proper),29458,125482,950,23311,100840,0,33596,134206,4330,,
     Bureau of Broadcast Services,204718,96794,1987,184028,93744,0,204848,91387,40400,,
     Bureau of Communications Services,19600,12447,850,17165,13613,1300,18397,13945,13600,,
     National Printing Office,138707,20608,0,126463,18086,0,147264,18526,0,,
     News and Information Bureau,71569,35350,0,70196,25490,0,78726,33433,2850,,
     Philippine Information Agency,140616,109471,6769,127690,105511,10000,157116,103446,13822,,
     Presidential Broadcast Staff (RTVM),46414,76406,0,41324,64976,24209,47424,75851,78966,,
,,,,,,,,,,,
   Other Executive Offices,3332867,6098254,337157,3086491,4465855,636631,3671404,5797409,1520742,1,
     Anti-Money Laundering Council,0,11644,0,0,14923,15176,0,15164,0,,
     Commission on Filipinos Overseas,24429,28473,5082,20980,30630,4527,28082,41243,5793,,
     Commission on Higher Education,232356,1694900,75752,207297,1750187,250000,259491,2823206,521800,,
     Commission on the Filipino Language,27644,10496,0,25968,10238,1300,31655,10467,0,,
     Dangerous Drugs Board,43364,129559,0,37874,131168,1800,46805,133841,1300,,
     Energy Regulatory Commission,151934,97041,25535,123580,70191,500,121412,88219,209715,,
     Film Development Council of the Philippines,9142,89024,16031,7893,49170,12049,9677,56145,3714,,
     Games and Amusements Board,51721,17703,1138,43889,17996,4105,53436,18435,8064,,
     Housing and Land Use Regulatory Board,173026,51449,0,155938,60050,1557,202896,64626,1339,,
     Housing and Urban Development,,,,,,,,,,,
        Coordinating Council,45087,63967,3216,42517,67527,18380,50124,71131,1409,,
     Governance Commission for Government,,,,,,,,,,,
       -Owned and Controlled Corporations,0,0,0,60000,30000,10000,48086,30680,51100,,
     Mindanao Development Authority,23978,33593,379,31346,28670,0,34928,40883,8905,,
     Movie and Television Review and,,,,,,,,,,,
        Classification Board,19318,18174,9515,17147,17943,8019,21017,18373,12473,,
     National Anti-Poverty Commission,14617,64261,425,29288,72048,1520,33012,80655,1065,,
     Climate Change Commission,13993,4029,509,21270,42010,0,23152,82409,9400,,
,,,,,,,,,,,
     National Commission for Culture and the Arts,168016,389150,26946,152469,451468,136468,176105,456607,231745,1,
        National Commission for Culture and,,,,,,,,,,,
           the Arts (Proper),23774,241086,3424,22749,305178,4279,23508,305702,13306,,
        National Historical Commission of the,,,,,,,,,,,
           Philippines (National Historical Institute),45891,73449,12154,41688,57017,79025,50689,59638,185439,,
        National Library of the Philippines,51277,43159,9623,45184,47814,48700,55675,48757,21000,,
        National Archives of the Philippines,,,,,,,,,,,
           (formerly Records Management and,,,,,,,,,,,
           Archives Office),47074,31456,1745,42848,41459,4464,46233,42510,12000,,
     National Commission on Indigenous Peoples,508827,238227,6466,469023,270065,19018,557125,280085,33941,,
     National Intelligence Coordinating Agency,382377,137284,1683,321332,137284,0,376293,141151,1630,,
     National Security Council,39730,47390,54975,35072,40469,0,45530,41685,26214,,
     National Commission on Muslim Filipinos,,,,,,,,,,,
        (Office on Muslim Affairs),353818,170045,1070,310839,83154,0,363310,83924,2000,,
     National Telecommunications Commission,171844,80688,21467,161048,59949,0,190967,61411,7000,,
     Office of the Presidential Adviser on,,,,,,,,,,,
        the Peace Process,59692,1930563,10174,55169,185127,0,68855,245168,0,,
     Optical Media Board,24226,15393,1433,22637,17145,3180,26596,17556,0,,
     Philippine Commission on Women (National,,,,,,,,,,,
        Commission on the Role of Filipino Women),27039,55593,2458,26462,75793,1030,25397,24706,810,,
     Pasig River Rehabilitation Commission,9680,71491,46700,8100,171914,113564,11255,140567,321322,,
     Philippine Drug Enforcement Agency,433745,265542,6376,432526,147251,0,515227,263467,21344,,
     Philippine Racing Commission,26561,80428,800,23440,81160,1200,29144,83065,0,,
     Philippine Sports Commission,43629,131487,0,46942,161584,0,44940,165571,0,,
     Presidential Commission for the Urban Poor,54467,22067,811,44369,32263,4830,59707,36550,2000,,
     Presidential Communications Development,,,,,,,,,,,
        and Strategic Planning Office,16181,17064,5702,18631,30720,3950,21205,47513,0,,
     Presidential Legislative Liaison Office,15490,9778,571,13015,10239,581,19092,13155,3230,,
     Presidential Management Staff,166936,121751,11943,120430,117519,23877,176883,119751,33429,,
,,,,,,,,,,,
   Autonomous Region in Muslim Mindanao,8666419,2251805,2013820,8945922,2156802,1365899,10379827,2047487,1571111,1,
     Autonomous Regional Government in Muslim Mindanao,8666419,2251805,2013820,8945922,2156802,1365899,10379827,2047487,1571111,,
,,,,,,,,,,,
   Joint Legislative-Executive Councils,1655,394,96,1625,512,0,1625,512,0,1,
     Legislative-Executive Development,,,,,,,,,,,
        Advisory Council,1655,394,96,1625,512,0,1625,512,0,,
,,,,,,,,,,,
   The Judiciary,12547199,3213130,155947,11773716,3661950,278630,13773568,3737270,259618,1,
     Supreme Court of the Philippines and the,,,,,,,,,,,
        Lower Courts,11406508,2707376,0,10646622,3126930,156020,12371699,3190308,159500,,
        Presidential Electoral Tribunal,39229,16850,0,62112,12405,0,78492,12443,0,,
     Sandiganbayan,155156,113557,87562,155361,114982,86918,188350,117972,86118,,
     Court of Appeals,795459,316554,46040,760996,347519,31508,952057,355183,14000,,
     Court of Tax Appeals,150847,58793,22345,148625,60114,4184,182970,61364,0,,
,,,,,,,,,,,
   Civil Service Commission,680110,136085,5800,657072,155806,8900,814689,172208,6039,1,
     Civil Service Commission,654337,114973,5800,636354,128913,6412,791263,138900,2427,,
        Career Executive Service Board,25773,21112,0,20718,26893,2488,23426,33308,3612,,
,,,,,,,,,,,
   Commission on Audit,5100090,294195,35500,6419529,312719,269776,7703954,195792,203330,,
,,,,,,,,,,,
   Commission on Elections,1878094,1316420,23505,1976857,8164318,12000,4987908,3428590,0,,
,,,,,,,,,,,
   Office of the Ombudsman,1035241,190625,62816,1145081,192490,16122,1448586,195729,74101,,
,,,,,,,,,,,
   Commission on Human Rights,261784,61563,0,198286,78797,12700,247597,69663,1644,,
,,,,,,,,,,,
SPECIAL PURPOSE FUNDS,154924,665710796,30709618,196347533,692609872,49783917,168834141,739022861,72840880,1,
,,,,,,,,,,,
   Budgetary Support to Government Corporations,0,71360713,30463704,0,19733181,25079622,0,42286509,28522700,1,
,,,,,,,,,,,
     Department of Agrarian Reform,0,3977374,37744,0,0,0,0,0,0,1,
        Land Bank of the Philippines,0,3977374,37744,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Agriculture,0,12250552,0,0,8167699,0,0,9351873,0,1,
        National Dairy Authority,0,315022,0,0,170472,0,0,261744,0,,
        National Food Authority,0,9189261,0,0,4000000,0,0,4250000,0,,
        National Irrigation Administration,0,450000,0,0,2060598,0,0,1722208,0,,
        National Tobacco Administration,0,77454,0,0,219200,0,0,219200,0,,
        Philippine Coconut Authority,0,552700,0,0,1192757,0,0,1182750,0,,
        Philippine Crop Insurance Corporation,0,113771,0,0,183771,0,0,1183771,0,,
        Philippine Fisheries Development Authority,0,500000,0,0,0,0,0,0,0,,
        Philippine Rice Research Institute,0,453504,0,0,340901,0,0,532200,0,,
        National Livelihood Development Corporation,0,598840,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Energy,0,15752655,0,0,2568500,0,0,6348819,0,1,
        National Electrification Administration,0,1660572,0,0,2568500,0,0,5379538,0,,
        National Power Corporation,0,14092083,0,0,0,0,0,969281,0,,
,,,,,,,,,,,
     Department of Environment and Natural Resources,0,565000,153000,0,0,0,0,0,0,1,
        Laguna Lake Development Authority,0,117000,153000,0,0,0,0,0,0,,
        Natural Resources Development Corporation,0,448000,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Finance,0,4183362,570000,0,0,0,0,1884164,0,1,
        Philippine Deposit Insurance Corporation,0,4183362,0,0,0,0,0,1884164,0,,
        Trade and Investment Development Corporation,0,0,570000,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Health,0,8584270,0,0,1294360,0,0,948265,0,1,
        Local Water Utilities Administration,0,52800,0,0,0,0,0,0,0,,
        Lung Center of the Philippines,0,288083,0,0,257560,0,0,173400,0,,
        National Kidney and Transplant Institute,0,337282,0,0,264800,0,0,202865,0,,
        Philippine Children`s Medical Center,0,640858,0,0,445000,0,0,345000,0,,
        Philippine Heart Center,0,631511,0,0,287000,0,0,187000,0,,
        Philippine Health Insurance Corporation,0,6596736,0,0,0,0,0,0,0,,
        Philippine Institute of Traditional,,,,,,,,,,,
           and Alternative Health Care,0,37000,0,0,40000,0,0,40000,0,,
,,,,,,,,,,,
     Department of Public Works and Highways,0,0,0,0,700000,0,0,0,0,1,
        Local Water Utilities Administration,0,0,0,0,700000,0,0,0,0,,
,,,,,,,,,,,
     Department of Science and Technology,0,336000,0,0,0,0,0,0,0,1,
        Technology Resource Center,0,336000,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Tourism,0,65000,0,0,0,250000,0,0,250000,1,
        Tourism Promotions Board,0,65000,0,0,0,250000,0,0,250000,,
,,,,,,,,,,,
     Department of Trade and Industry,0,155186,285268,0,151510,277500,0,181810,277500,1,
        Aurora Pacific Economic Zone and,,,,,,,,,,,
           Freeport Authority (formerly ASEZA),0,67500,91300,0,55000,277500,0,76000,277500,,
        Center for International Trade,,,,,,,,,,,
           Expositions and Missions,0,79686,0,0,88510,0,0,96810,0,,
        Cottage Industry Technology Center,0,8000,0,0,8000,0,0,9000,0,,
        Small Business Corporation,0,0,193968,0,0,0,0,0,0,,
,,,,,,,,,,,
     Department of Transportation and Communications,0,2767694,0,0,0,0,0,359079,0,1,
        Light Rail Transit Authority,0,1867512,0,0,0,0,0,0,0,,
        Philippine National Railways,0,900182,0,0,0,0,0,359079,0,,
,,,,,,,,,,,
     National Economic and Development Authority,0,685300,0,0,33000,0,0,33000,0,1,
        Philippine Institute for Development Studies,0,685300,0,0,33000,0,0,33000,0,,
,,,,,,,,,,,
     Presidential Communications Operations Office,0,41613,0,0,0,0,0,0,0,1,
"        People`s Television Network, Incorporated",0,41613,0,0,0,0,0,0,0,,
,,,,,,,,,,,
     Other Executive Offices,0,21996707,11362692,0,6804506,1552122,0,23165893,1495200,1,
        Authority of the Freeport Area of Bataan,0,0,100000,0,0,100000,0,0,100000,,
        Bangko Sentral ng Pilipinas,0,0,10000000,0,0,0,0,0,0,,
        Cagayan Economic Zone Authority,0,0,294192,0,12003,903500,0,8300,895200,,
        Credit Information Corporation,0,17500,57500,0,28410,37622,0,28410,0,,
        Cultural Center of the Philippines,0,201625,0,0,202000,0,0,202000,0,,
        Development Academy of the Philippines,0,216124,0,0,45000,0,0,129300,0,,
        Development Bank of the Philippines,0,12390,0,0,0,0,0,0,0,,
        Home Guaranty Corporation,0,0,900000,0,0,500000,0,0,500000,,
        National Home Mortgage Finance Corporation,0,500000,0,0,500000,0,0,1000000,0,,
        National Housing Authority,0,20001100,0,0,5631025,0,0,21373383,0,,
        Philippine Center for Economic Development,0,0,0,0,14500,0,0,14500,0,,
        Philippine Postal Corporation,0,939868,0,0,301000,0,0,301000,0,,
        Southern Philippines Development Authority,0,59000,0,0,21468,0,0,59000,0,,
        Zamboanga City Special Economic Zone Authority,0,49100,11000,0,49100,11000,0,50000,0,,
,,,,,,,,,,,
     Budgetary Support to Government,,,,,,,,,,,
        Corporations - Others,0,0,0,0,13606,0,0,13606,0,,
     Net Lending,0,0,18055000,0,0,23000000,0,0,26500000,,
,,,,,,,,,,,
   Allocations to Local Government Units,154924,315354083,245914,21518,291271438,322000,24926,319529738,281000,1,
     Internal Revenue Allotment,0,286944239,0,0,273309592,0,0,302304001,0,,
     Special Shares of Local Government Units,,,,,,,,,,,
        in the Proceeds of National Taxes,0,10943143,0,0,16679895,0,0,15799821,0,,
     Barangay Officials Death Benefits Fund,0,0,0,0,50000,0,0,50000,0,,
     Metropolitan Manila Development Authority,154924,964995,245914,21518,1031951,322000,24926,1175916,281000,,
     Special Financial Assistance to Local,,,,,,,,,,,
        Government Units,0,8275902,0,0,0,0,0,0,0,,
     Local Government Support Fund (Formerly,,,,,,,,,,,
        Financial Subsidy to Local Government Units),0,8225804,0,0,200000,0,0,200000,0,,
,,,,,,,,,,,
   Calamity Fund,0,0,0,0,3450000,4050000,0,3450000,4050000,,
,,,,,,,,,,,
   Contingent Fund,0,0,0,0,740000,260000,0,740000,260000,,
,,,,,,,,,,,
   Department of Education - School Building Program,0,0,0,0,0,1000000,0,0,1000000,,
,,,,,,,,,,,
   E-Government Fund,0,0,0,0,0,1000000,0,0,1000000,,
,,,,,,,,,,,
   International Commitments Fund,0,0,0,0,1795953,887295,0,1362928,1273795,,
,,,,,,,,,,,
   Miscellaneous Personnel Benefits Fund,0,0,0,109296738,0,0,70088990,0,0,,
,,,,,,,,,,,
   Payapa at Masaganang Pamayanan Fund,0,0,0,0,1762300,2000,0,0,0,,
,,,,,,,,,,,
   Pension and Gratuity Fund,0,0,0,87029277,0,0,98715143,0,0,,
,,,,,,,,,,,
   Priority Social and Economic Projects Fund,0,0,0,0,0,0,5082,3144686,19270385,,
,,,,,,,,,,,
   Priority Development Assistance Fund,0,0,0,0,7707000,17183000,0,7707000,17183000,,
,,,,,,,,,,,
   Tax Expenditures Fund,0,0,0,0,33043000,0,0,26900000,0,,
,,,,,,,,,,,
   Debt Service Fund-Interest Payment,0,278996000,0,0,333107000,0,0,333902000,0,,
,,,,,,,,,,,
GRAND TOTAL,502956169,876758151,200302228,593541335,944964177,277494488,641301905,1039496262,325201833,3,
