particulars,amt_a_100,amt_a_200,amt_a_300,amt_b_100,amt_b_200,amt_b_300,amt_c_100,amt_c_200,amt_c_300,sw1,sw2
        Bulacan Agricultural State College,49995,5368,0,39740,4980,0,53412,9233,3773,,
        Don Honorio Ventura Technological,,,,,,,,,,,
           State University (DHVCAT),105430,18714,0,88374,12794,0,108703,33785,3773,,
        Nueva Ecija University of Science and Technology,198158,30769,0,150056,26076,0,186301,48446,7700,,
        Pampanga Agricultural College,106327,11795,0,91378,9855,0,111545,25344,7700,,
        Philippine Merchant Marine Academy,63453,41146,0,59788,38573,0,71274,39306,7700,,
        Ramon Magsaysay Technological University,112694,24330,0,88617,13891,0,101629,23546,7700,,
        Tarlac College of Agriculture,115010,8470,0,87730,8773,0,100783,23008,7700,,
        Tarlac State University,137718,21515,0,122932,19198,0,150964,50344,7700,,
,,,,,,,,,,,
     Region IV-A - CALABARZON,930082,225540,0,812450,176580,0,958728,306021,38697,1,
        Batangas State University,195623,59656,0,174109,51127,0,207382,72908,7700,,
        Cavite State University,187918,74781,0,159819,35725,0,198712,65929,15751,,
        Laguna State Polytechnic University,,,,,,,,,,,
           (Laguna State Polytechnic College),163172,23566,0,142476,24506,0,171202,49844,3773,,
        Southern Luzon State University,,,,,,,,,,,
           (Southern Luzon Polytechnic College),134663,33864,0,117449,33179,0,133128,52518,3773,,
        University of Rizal System,248706,33673,0,218597,32043,0,248304,64822,7700,,
,,,,,,,,,,,
     Region IV-B - MIMAROPA,609845,91871,0,546503,79264,0,656052,175107,35569,1,
        Marinduque State College,61479,14974,0,53304,10513,0,67240,21031,3773,,
        Mindoro State College of Agriculture,,,,,,,,,,,
           and Technology,78634,6813,0,66720,7026,0,84718,16014,3550,,
        Occidental Mindoro State College,,,,,,,,,,,
           (Occidental Mindoro National College),99847,10658,0,85775,9668,0,101681,20340,3773,,
        Palawan State University,176256,38500,0,150470,30388,0,172758,64773,13000,,
        Romblon State University (Romblon,,,,,,,,,,,
           State College),92505,8220,0,98067,9398,0,116536,21782,3773,,
        Western Philippines University,101124,12706,0,92167,12271,0,113119,31167,7700,,
,,,,,,,,,,,
     Region V - BICOL,1225304,236570,5244,980937,181244,0,1241243,300362,67335,1,
        Bicol University,406273,77156,244,312359,74761,0,417539,111403,19000,,
        Camarines Norte State College,121710,15886,0,95480,9672,0,126707,19369,3682,,
        Camarines Sur Polytechnic Colleges,91497,24175,0,79335,27763,0,95542,32846,3550,,
        Central Bicol State University of,,,,,,,,,,,
           Agriculture  (Camarines Sur State,,,,,,,,,,,
           Agricultural College),184121,26105,0,154380,16509,0,183803,42135,18700,,
        Catanduanes State Colleges,164612,31652,0,128472,21445,0,157560,25937,7700,,
"        Dr. Emilio B. Espinosa, Sr. Memorial",,,,,,,,,,,
           State College of Agriculture and Technology,40553,6427,0,33921,5222,0,40861,11624,3273,,
        Partido State University,108373,29918,5000,89601,10409,0,110379,23678,7700,,
        Sorsogon State College,108165,25251,0,87389,15463,0,108852,33370,3730,,
,,,,,,,,,,,
