Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,"257,000","21,385","361,628","3,193,701","29,506,449","6,626,387",29,"11,152,177","13,332,600","161,736,924","1,522,291",0,"227,710,571"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,"2,500","145,840",0,0,"3,010",0,0,0,"151,350"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,"2,500","44,740",0,0,"2,810",0,0,0,"50,050"
               Senate Electoral Tribunal,0,0,0,0,0,300,0,0,0,0,0,0,300
          Commission on Appointments,0,0,0,0,0,800,0,0,200,0,0,0,"1,000"
          House of Representatives,0,0,0,0,0,"100,000",0,0,0,0,0,0,"100,000"
,,,,,,,,,,,,,
     Office of the President,0,0,0,"44,700","43,900","41,437",0,"15,600","5,000",0,0,0,"150,637"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,"44,700","43,900","41,437",0,"15,600","5,000",0,0,0,"150,637"
,,,,,,,,,,,,,
     Office of the Vice-President,0,0,0,0,0,0,0,"5,762",0,"100,000",0,0,"105,762"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,0,"1,856,213","225,842","4,000",29,262,"1,297","1,446,616",0,0,"3,534,259"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"1,856,213","225,842","4,000",29,262,"1,297","1,446,616",0,0,"3,534,259"
,,,,,,,,,,,,,
     Department of Agriculture,0,0,"210,091","156,011","677,680","276,004",0,"138,135","625,698","33,417,083",0,0,"35,500,702"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,"74,111","101,785","422,481","224,639",0,"92,000","464,004","33,417,083",0,0,"34,796,103"
          Bureau of Fisheries and Aquatic Resources,0,0,0,"54,226","213,199","48,965",0,"22,735","108,784",0,0,0,"447,909"
          Fertilizer and Pesticide Authority,0,0,0,0,0,0,0,800,0,0,0,0,800
          Fiber Industry Development Authority,0,0,0,0,0,0,0,0,300,0,0,0,300
          Livestock Development Council,0,0,0,0,0,0,0,"1,000",0,0,0,0,"1,000"
