particular,A110,A112,A115,A120,A125,A130,A135,A140,A200,A310,A320,A325,A330,A335,A340,A345,A400,A500,A800,A850,A855,A900,A910,Total
,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,"206,348,183","60,554,183","5,949,013","8,167","511,418","8,699,005","3,745,232","6,740,111","29,416","24,755,140","1,076,802","361,662","2,170,574","745,794","1,051,252","322,485","152,008","3,846,792","21,346,734","1,087,953","52,439,414","49,834,623","51,025,284","502,801,245"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
     Congress of the Philippines,"2,040,958",0,"354,166",0,"511,418","38,597",0,"10,187",0,"248,902","6,988",0,"18,453",0,"6,969",0,0,"54,903","186,746",0,0,"758,316",0,"4,236,603"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Senate,"515,027",0,"130,679",0,0,"14,577",0,"6,502",0,"68,529","1,961",0,"5,515",0,"1,946",0,0,"19,071","57,107",0,0,"608,477",0,"1,429,391"
               Senate Electoral Tribunal,"41,388",0,196,0,0,304,0,0,0,"5,145",146,0,430,0,146,0,0,"2,611","3,932",0,0,"8,105",0,"62,403"
          Commission on Appointments,"85,831",0,"8,163",0,0,436,0,0,0,"10,143",255,0,819,0,253,0,0,"6,720","8,420",0,0,"9,723",0,"130,763"
          House of Representatives,"1,357,378",0,"215,128",0,"511,418","23,007",0,"3,685",0,"160,213","4,479",0,"11,274",0,"4,478",0,0,"20,750","112,918",0,0,"114,788",0,"2,539,516"
               House Electoral Tribunal,"41,334",0,0,0,0,273,0,0,0,"4,872",147,0,415,0,146,0,0,"5,751","4,369",0,0,"17,223",0,"74,530"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the President,"218,429",0,"146,832",0,0,581,0,0,0,"26,327","1,036",0,"2,042",0,"1,034",0,0,"11,138","23,618",192,0,"64,641",0,"495,870"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          The President's Offices,"218,429",0,"146,832",0,0,581,0,0,0,"26,327","1,036",0,"2,042",0,"1,034",0,0,"11,138","23,618",192,0,"64,641",0,"495,870"
,,,,,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,"26,344",0,"6,179",0,0,0,0,0,0,"3,170",95,0,207,0,94,0,0,"1,253","2,751",0,0,"4,213",0,"44,306"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
,,,,,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,"3,200,754",0,"174,499",0,0,"179,712",0,"10,372",0,"383,439","15,048",0,"31,841",0,"14,682",0,0,"199,480","336,025",0,0,"635,444",0,"5,181,296"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
