Particular,A031,A032,A033,A034,A035,A036,A037,A038,A040,A041,A042,A960,Total
,,,,,,,,,,,,,
DEPARTMENTS,"25,600","148,084","313,275","1,398,176","16,872,915","6,138,709","19,998","861,635","6,440,338","136,229,345","1,144,535",0,"169,592,610"
,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,--------------,---------------
     Congress of the Philippines,0,0,0,0,0,"19,686",0,0,"3,792",0,0,0,"23,478"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Senate,0,0,0,0,0,"6,679",0,0,"3,735",0,0,0,"10,414"
               Senate Electoral Tribunal,0,0,0,0,0,11,0,0,42,0,0,0,53
          Commission on Appointments,0,0,0,0,0,"2,146",0,0,15,0,0,0,"2,161"
          House of Representatives,0,0,0,0,0,"10,000",0,0,0,0,0,0,"10,000"
               House Electoral Tribunal,0,0,0,0,0,850,0,0,0,0,0,0,850
,,,,,,,,,,,,,
     Office of the President,0,0,0,0,"1,343","51,870",0,"80,324","6,417",0,0,0,"139,954"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          The President's Offices,0,0,0,0,"1,343","51,870",0,"80,324","6,417",0,0,0,"139,954"
,,,,,,,,,,,,,
     Office of the Vice-President,0,0,0,0,0,214,0,0,559,0,0,0,773
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
,,,,,,,,,,,,,
     Department of Agrarian Reform,0,0,0,"679,624","150,439",571,0,"50,497",0,"853,998",0,0,"1,735,129"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"679,624","150,439",571,0,"50,497",0,"853,998",0,0,"1,735,129"
,,,,,,,,,,,,,
     Department of Agriculture,0,"100,000","43,419","103,080","933,781","234,532",0,"149,737","658,077","15,240,742",0,0,"17,463,368"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,"43,419","55,217","266,505","141,534",0,"20,679","442,835","15,240,742",0,0,"16,210,931"
          Bureau of Fisheries and Aquatic Resources,0,"100,000",0,"46,966","644,832","79,231",0,"116,569","86,804",0,0,0,"1,074,402"
          Cotton Development Administration,0,0,0,0,0,"5,850",0,0,0,0,0,0,"5,850"
          Fertilizer and Pesticide Authority,0,0,0,0,737,"1,995",0,"8,884","30,659",0,0,0,"42,275"
          Fiber Industry Development Authority,0,0,0,897,122,531,0,0,"5,628",0,0,0,"7,178"
          Livestock Development Council,0,0,0,0,0,300,0,0,0,0,0,0,300
          National Agricultural and Fishery Council,0,0,0,0,0,"2,814",0,0,"24,000",0,0,0,"26,814"
          National Meat Inspection Service,0,0,0,0,"11,585",0,0,0,"9,621",0,0,0,"21,206"
          Philippine Carabao Center,0,0,0,0,"10,000",197,0,0,"56,337",0,0,0,"66,534"
          Philippine Center for Postharvest Development,,,,,,,,,,,,,
                and Mechanization,0,0,0,0,0,"2,080",0,"3,605","2,193",0,0,0,"7,878"
,,,,,,,,,,,,,
     Department of Budget and Management,0,0,0,"5,219","76,294","103,734",0,66,301,0,0,0,"185,614"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"5,219","76,294","103,594",0,66,0,0,0,0,"185,173"
          Government Procurement Policy Board -,,,,,,,,,,,,,
                Technical Support Office,0,0,0,0,0,140,0,0,301,0,0,0,441
,,,,,,,,,,,,,
     Department of Education,0,0,0,"3,343","7,834,917","2,375,208",0,0,"393,754",0,0,0,"10,607,222"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"3,343","7,823,565","2,374,431",0,0,"393,713",0,0,0,"10,595,052"
          National Council for Children's Television,0,0,0,0,0,95,0,0,0,0,0,0,95
          National Museum,0,0,0,0,"11,352",237,0,0,0,0,0,0,"11,589"
          Philippine High School for the Arts,0,0,0,0,0,445,0,0,41,0,0,0,486
,,,,,,,,,,,,,
     State Universities and Colleges,0,0,0,0,"213,317","6,041",0,0,"17,052",0,0,0,"236,410"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          NATIONAL CAPITAL REGION,0,0,0,0,"165,000",600,0,0,"16,500",0,0,0,"182,100"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Polytechnic University of the Philippines,0,0,0,0,0,600,0,0,0,0,0,0,600
               University of the Philippines System,0,0,0,0,"165,000",0,0,0,"16,500",0,0,0,"181,500"
,,,,,,,,,,,,,
          CORDILLERA ADMINISTRATIVE REGION,0,0,0,0,"7,789","1,029",0,0,0,0,0,0,"8,818"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Ifugao State University,0,0,0,0,489,"1,029",0,0,0,0,0,0,"1,518"
               Kalinga-Apayao State College,0,0,0,0,300,0,0,0,0,0,0,0,300
               Mountain Province State Polytechnic College,0,0,0,0,"7,000",0,0,0,0,0,0,0,"7,000"
,,,,,,,,,,,,,
          Region V - BICOL,0,0,0,0,"5,000",244,0,0,0,0,0,0,"5,244"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Bicol University,0,0,0,0,0,244,0,0,0,0,0,0,244
               Partido State University,0,0,0,0,"5,000",0,0,0,0,0,0,0,"5,000"
,,,,,,,,,,,,,
          Region VIII - EASTERN VISAYAS,0,0,0,0,"9,500",296,0,0,0,0,0,0,"9,796"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Eastern Samar State University,0,0,0,0,0,198,0,0,0,0,0,0,198
               Eastern Visayas State University (Leyte,,,,,,,,,,,,,
                     Institute of Technology),0,0,0,0,0,98,0,0,0,0,0,0,98
               Visayas State University (Leyte State University),0,0,0,0,"9,500",0,0,0,0,0,0,0,"9,500"
,,,,,,,,,,,,,
          Region IX - ZAMBOANGA PENINSULA,0,0,0,0,0,150,0,0,0,0,0,0,150
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Jose Rizal Memorial State University,,,,,,,,,,,,,
                     (Jose Rizal Memorial State College),0,0,0,0,0,150,0,0,0,0,0,0,150
,,,,,,,,,,,,,
          Region X - NORTHERN MINDANAO,0,0,0,0,37,"2,451",0,0,512,0,0,0,"3,000"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Mindanao University of Science and Technology,0,0,0,0,37,"2,451",0,0,512,0,0,0,"3,000"
,,,,,,,,,,,,,
          Region XI - DAVAO REGION,0,0,0,0,"10,590",171,0,0,40,0,0,0,"10,801"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Davao del Norte State College,0,0,0,0,632,0,0,0,0,0,0,0,632
               Southern Philippines Agri-Business and,,,,,,,,,,,,,
                     Marine and Aquatic School of Technology,0,0,0,0,0,171,0,0,40,0,0,0,211
               University of Southeastern Philippines,0,0,0,0,"9,958",0,0,0,0,0,0,0,"9,958"
,,,,,,,,,,,,,
          CARAGA ADMINISTRATIVE REGION,0,0,0,0,"1,413",0,0,0,0,0,0,0,"1,413"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Agusan del Sur State College of,,,,,,,,,,,,,
                     Agriculture and Technology,0,0,0,0,373,0,0,0,0,0,0,0,373
               Caraga State University (Northern,,,,,,,,,,,,,
                     Mindanao State Institute of,,,,,,,,,,,,,
                     Science and Technology),0,0,0,0,"1,040",0,0,0,0,0,0,0,"1,040"
,,,,,,,,,,,,,
          AUTONOMOUS REGION IN MUSLIM MINDANAO,0,0,0,0,"13,988","1,100",0,0,0,0,0,0,"15,088"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
               Basilan State College,0,0,0,0,"8,988","1,000",0,0,0,0,0,0,"9,988"
               Mindanao State University,0,0,0,0,"5,000",100,0,0,0,0,0,0,"5,100"
,,,,,,,,,,,,,
     Department of Energy,0,0,0,0,0,"209,638",0,0,0,0,0,0,"209,638"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"209,638",0,0,0,0,0,0,"209,638"
,,,,,,,,,,,,,
     Department of Environment and Natural Resources,0,0,0,"518,327","285,315","827,360",0,"19,961","153,991",0,"1,097,585",0,"2,902,539"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,"518,028","203,124","576,474",0,"10,907","52,974",0,"1,097,585",0,"2,459,092"
          Environmental Management Bureau,0,0,0,0,"78,345","23,743",0,0,"65,640",0,0,0,"167,728"
          Mines and Geo-Sciences Bureau,0,0,0,299,"2,921","18,004",0,"9,054","26,901",0,0,0,"57,179"
          National Mapping and Resource Information Authority,0,0,0,0,0,"207,959",0,0,"8,476",0,0,0,"216,435"
          National Water Resources Board,0,0,0,0,925,"1,180",0,0,0,0,0,0,"2,105"
,,,,,,,,,,,,,
     Department of Finance,0,"38,084","269,856","11,200","517,768","618,965",0,"23,610","77,148","992,359","46,950",0,"2,595,940"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,"38,084","269,856","11,200","41,628","105,140",0,0,"5,522","992,359","46,950",0,"1,510,739"
          Bureau of Customs,0,0,0,0,0,"246,000",0,0,0,0,0,0,"246,000"
          Bureau of Internal Revenue,0,0,0,0,"438,007","232,350",0,"20,610","70,857",0,0,0,"761,824"
          Bureau of Local Government Finance,0,0,0,0,0,"4,673",0,0,0,0,0,0,"4,673"
          Bureau of the Treasury,0,0,0,0,"17,360","5,731",0,0,0,0,0,0,"23,091"
          Cooperative Development Authority,0,0,0,0,"5,979",403,0,0,0,0,0,0,"6,382"
          Insurance Commission,0,0,0,0,"14,794","24,590",0,"3,000",769,0,0,0,"43,153"
          National Tax Research Center,0,0,0,0,0,78,0,0,0,0,0,0,78
,,,,,,,,,,,,,
     Department of Foreign Affairs,0,0,0,0,"144,742","6,244",0,"66,350",0,0,0,0,"217,336"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"144,742","5,873",0,"66,350",0,0,0,0,"216,965"
          Foreign Service Institute,0,0,0,0,0,200,0,0,0,0,0,0,200
          Technical Cooperation Council of the Philippines,0,0,0,0,0,171,0,0,0,0,0,0,171
,,,,,,,,,,,,,
     Department of Health,0,0,0,0,"4,628,066","230,812",0,"11,651","1,892,802","1,046,335",0,0,"7,809,666"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,"4,623,171","227,899",0,"11,651","1,892,802","1,046,335",0,0,"7,801,858"
          Commission on Population,0,0,0,0,"4,895","2,913",0,0,0,0,0,0,"7,808"
,,,,,,,,,,,,,
     Department of the Interior and Local Government,0,0,0,0,"184,780","17,180","19,998","342,972","1,275,126",0,0,0,"1,840,056"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,842,0,0,0,0,0,0,842
          Bureau of Fire Protection,0,0,0,0,0,0,0,0,"401,902",0,0,0,"401,902"
          Bureau of Jail Management and Penology,0,0,0,0,"40,744",0,0,"30,000","54,299",0,0,0,"125,043"
          Philippine National Police,0,0,0,0,"144,036","7,362","19,998","312,972","818,925",0,0,0,"1,303,293"
          Philippine Public Safety College,0,0,0,0,0,"8,976",0,0,0,0,0,0,"8,976"
,,,,,,,,,,,,,
     Department of Justice,0,0,0,410,"37,052","98,583",0,"1,498","13,518",0,0,0,"151,061"
,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------,---------------
          Office of the Secretary,0,0,0,0,0,"48,636",0,0,516,0,0,0,"49,152"
          Bureau of Corrections,0,0,0,0,"11,827",0,0,0,0,0,0,0,"11,827"
          Land Registration Authority,0,0,0,410,"21,267","2,725",0,0,0,0,0,0,"24,402"
          National Bureau of Investigation,0,0,0,0,0,"41,000",0,0,"12,326",0,0,0,"53,326"
          Office of the Solicitor General,0,0,0,0,"3,958","5,188",0,"1,498",676,0,0,0,"11,320"
          Parole and Probation Administration,0,0,0,0,0,26,0,0,0,0,0,0,26
          Presidential Commission on Good Government,0,0,0,0,0,"1,008",0,0,0,0,0,0,"1,008"
,,,,,,,,,,,,,
     Department of Labor and Employment,0,0,0,"45,256","37,446","79,950",0,"4,989","61,174",0,0,0,"228,815"
