particulars,name_1,total_12,total_34,amt_c,amt_b_12,amt_b_34,amt_a1_12,amt_a1_34,amt_a2_12,amt_a2_34,amt_u_12,name_2,name_3,name_4,name_5,name_6,name_7,name_8,name_9,sw1
,,,,,,,,,,,,,,,,,,,,
DEPARTMENTS,DEPARTMENTS,472467764,300473401,252360953,0,0,0,28425412,27730569,9218822,444014104,272490309,243038592,28248,252523,103539,0,0,0,1
,,,,,,,,,,,,,,,,,,,,
     Congress of the Philippines,     Congress of the Philippines,5066952,4808859,4878,0,0,0,293979,0,0,4772973,4808859,4878,0,0,0,0,0,0,1
          Senate,          Senate,1670074,1391193,0,0,0,0,100233,0,0,1569841,1391193,0,0,0,0,0,0,0,0
               Senate Electoral Tribunal,               Senate Electoral Tribunal,92794,36007,0,0,0,0,5893,0,0,86901,36007,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          Commission on Appointments,          Commission on Appointments,208312,296747,0,0,0,0,12173,0,0,196139,296747,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
          House of Representatives,          House of Representatives,2991453,3043301,0,0,0,0,169839,0,0,2821614,3043301,0,0,0,0,0,0,0,0
               House Electoral Tribunal,               House Electoral Tribunal,104319,41611,4878,0,0,0,5841,0,0,98478,41611,4878,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Office of the President,     Office of the President,552966,1880153,300453,0,0,0,32921,0,0,520045,1880153,300453,0,0,0,0,0,0,1
          The President's Offices,          The President's Offices,552966,1880153,300453,0,0,0,32921,0,0,520045,1880153,300453,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Office of the Vice-President,     Office of the Vice-President,51971,264827,103750,0,0,0,3973,0,0,47998,264827,103750,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
     Department of Agrarian Reform,     Department of Agrarian Reform,5106846,14410707,1915841,0,0,0,394570,0,0,4712276,14410707,1915841,0,0,0,0,0,0,1
