particular,A110,A112,A115,A120,A125,A130,A140,A200,A310,A320,A325,A330,A335,A340,A345,A500,A800,A850,A855,A900,A910,Total
          Presidential Commission for the Urban Poor,"43,059",0,"1,274",0,0,0,0,0,"5,168",154,0,422,0,154,0,"1,169","4,229",0,0,"4,078",0,"59,707"
          Presidential Communications Development and,,,,,,,,,,,,,,,,,,,,,,
                Strategic Planning Office,0,0,"21,205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21,205"
          Presidential Legislative Liaison Office,"13,509",0,0,0,0,0,0,0,"1,622",34,0,86,0,34,0,"1,673","1,262",0,0,872,0,"19,092"
          Presidential Management Staff,"128,019",0,0,0,0,0,0,0,"15,364",405,0,"1,063",0,404,0,"8,537","12,352",0,0,"10,739",0,"176,883"
,,,,,,,,,,,,,,,,,,,,,,
     Autonomous Region in Muslim Mindanao,"7,398,901",0,"167,337","12,011",0,0,0,540,"887,897","34,798",0,"83,684",0,"34,766",0,"52,921","761,526",0,0,"945,446",0,"10,379,827"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Autonomous Regional Government in Muslim Mindanao,"7,398,901",0,"167,337","12,011",0,0,0,540,"887,897","34,798",0,"83,684",0,"34,766",0,"52,921","761,526",0,0,"945,446",0,"10,379,827"
,,,,,,,,,,,,,,,,,,,,,,
     Joint Legislative-Executive Councils,0,0,"1,625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,625"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Legislative-Executive Development Advisory Council,0,0,"1,625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,625"
,,,,,,,,,,,,,,,,,,,,,,
     The Judiciary,"7,166,829",0,"29,552","2,070,459",0,0,0,0,"764,749","33,044",0,"71,731",0,"32,828",0,"457,428","734,887","1,220,912",0,"1,191,149",0,"13,773,568"
,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
          Supreme Court of the Philippines and the,,,,,,,,,,,,,,,,,,,,,,
                Lower Courts,"6,426,826",0,"27,083","1,820,175",0,0,0,0,"681,563","30,587",0,"65,798",0,"30,389",0,"407,573","663,004","1,108,396",0,"1,110,305",0,"12,371,699"
               Presidential Electoral Tribunal,"26,379",0,0,"42,600",0,0,0,0,"3,166",80,0,202,0,80,0,"1,344","2,529",0,0,"2,112",0,"78,492"
