region,Airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,WCC,-,-,-,-,-,-,-,-,-,-,-,-,-
CAR,Baguio,A. Spirit,-,-,-,-,-,-,-,-,-,-,-,-,-
CAR,Baguio,G. Aviation,156,114,246,193,111,25,2,55,49,91,61,106,1209
CAR,Baguio,Military,16,88,183,52,42,21,32,64,174,66,88,,826
I (Ilocos Norte),Laoag  (Int'l.),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Int'l.),Cebu Pac.,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Int'l.),China S. Air,1734,733,733,-,-,-,-,-,-,-,-,-,3200
I (Ilocos Norte),Laoag  (Int'l.),HK Express,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Int'l.),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Int'l.),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),PAL,11172,10244,10244,13966,12898,9569,9291,8467,7486,10084,11047,13590,128058
I (Ilocos Norte),Laoag  (Dom.),Air Phil.,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),Cebu Pac.,7598,7104,7104,7756,8671,6244,4107,3005,2445,3387,3286,3075,63782
I (Ilocos Norte),Laoag  (Dom.),WCC,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),aeroflite av. Corp,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),Far East Avia.,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),Paco,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),Batanes Air,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),Sky Pasada,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),G. Aviation,14,4,-,-,-,12,9,-,-,-,-,1358,1397
I (Ilocos Norte),Laoag  (Dom.),Military,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Laoag  (Dom.),-,20518,18085,18081,21722,21569,15825,13407,11472,9931,13471,14333,18023,-
I (Ilocos Norte),Lingayen,G. Aviation,1736,1561,1719,1654,2009,1677,1653,1758,1643,1865,2138,1358,20771
I (Ilocos Norte),Lingayen,Military,-,-,-,-,-,-,-,-,88,-,-,-,88
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,-
I (Ilocos Norte),Vigan,Seair,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
I (Ilocos Norte),Vigan,Lion Air,-,-,-,-,-,-,-,-,-,-,-,-,                   -  
