station,status
Caloocan,Non-functioning
Asistio,Non-functioning
5th Avenue,Non-functioning
Solis,Non-functioning
Tutuban,Functioning
Blumentritt,Functioning
Laon-Laan,Functioning
España,Functioning
Sta. Mesa,Functioning
Pandacan,Functioning
Paco,Functioning
San Andres,Functioning
Vito Cruz,Functioning
Buendia,Functioning
Pasay Road,Functioning
EDSA,Functioning
Nichols,Functioning
"Food Terminal, Inc.",Functioning
Bicutan,Functioning
Sucat,Functioning
Buli,Non-functioning
Alabang,Functioning
Muntinlupa,Functioning
Tunasan Crossing,Non-functioning
"San Pedro, Laguna",Functioning
Pacita Complex,Non-functioning
Chrysanthemum Village,Non-functioning
Carmona,Non-functioning
Pacita Main Gate,Non-functioning
Golden City 1,Non-functioning
Biñan,Functioning
"Sta. Rosa, Laguna",Functioning
Golden City 2,Non-functioning
"Cabuyao, Laguna",Functioning
Mamatid,Functioning
Banlic,Non-functioning
Calamba,Functioning
Pansol,Non-functioning
Masili,Non-functioning
Los Baños,Non-functioning
College,Non-functioning
San Pablo,Non-functioning
McCord,Non-functioning
"Sta. Ana, Laguna",Non-functioning
Tiaon,Non-functioning
Lusacan,Non-functioning
Taguan,Non-functioning
Candelaria,To be reactivated
Concepcion,Non-functioning
Lutucan,Non-functioning
Sitio Ilao,Non-functioning
Sariaya,Non-functioning
Morong,Non-functioning
Lucena,Non-functioning
Mayao,Non-functioning
Castillo,Non-functioning
Pagbilao,Non-functioning
Pinagbayanan,Non-functioning
Palsabangan,Non-functioning
Binahaan,Non-functioning
Malicboy,Non-functioning
Guitong,Non-functioning
Sipa,Non-functioning
Hinguiwin,Non-functioning
Padre Burgos,Non-functioning
Marao,Non-functioning
Pinaninding,Non-functioning
"San Isidro, Quezon",Non-functioning
Walay,Non-functioning
"Cabuyao, Quezon",Non-functioning
Kinagunan,Non-functioning
"Agdangan, Quezon",Non-functioning
Santol,Non-functioning
Binagbag,Non-functioning
Bulo,Non-functioning
Panaon,Non-functioning
Tubigan,Non-functioning
Poctol,Non-functioning
Summit,Non-functioning
Duhat,Non-functioning
"Plaridel, Quezon",Non-functioning
Inaklagan,Non-functioning
Villabota,Non-functioning
Gumaca,Non-functioning
Panilihan,Non-functioning
"Bamban, Quezon",Non-functioning
Camohaguin,Non-functioning
Hagakhakin,Non-functioning
San Vicente,Non-functioning
"Pansol, Quezon",Non-functioning
Lopez,To be Reactivated
Sta. Lucia,Non-functioning
Hondagua,Non-functioning
Quinalin,Non-functioning
Calauag,Non-functioning
Sumulong,Non-functioning
Sto. Domingo,Non-functioning
Nursery,Non-functioning
Danlagin,Non-functioning
Aloneros,Non-functioning
Cabuguang,Non-functioning
Manato,Non-functioning
Mangayao,Non-functioning
Katimo,Non-functioning
Buyabod,Non-functioning
Kinatakutan,Non-functioning
Laurel,Non-functioning
Aliji,Non-functioning
Morato,Non-functioning
Tagkawayan,Non-functioning
Pasay,Non-functioning
Cabatbatan,Non-functioning
Del Gallego,Non-functioning
San Juan,Non-functioning
Sinuknipan,Non-functioning
Masungod,Non-functioning
"Godofredo Reyes, Sr.",Non-functioning
Port Junction,Non-functioning
F. Simeon,Non-functioning
Liboro,Non-functioning
Ragay,Non-functioning
Agrupacion,Non-functioning
Banga Caves,Non-functioning
Del Rosario,Non-functioning
Lupi Viejo,Non-functioning
Lupi Nuevo,Non-functioning
Manangle,Non-functioning
Malaguico,Non-functioning
Azucena,Non-functioning
Sipocot,Functioning
Awayan,Non-functioning
Mantalisay,Non-functioning
Camambugan,Non-functioning
Libmanan,Functioning
Rongos,Non-functioning
Malansad,Non-functioning
Mambulo,Non-functioning
Pamplona,Functioning
Borabod,Non-functioning
"Sampaloc, Camarines Sur",Non-functioning
Naga,Functioning
San Antonio,Non-functioning
Meycatmon,Non-functioning
"San Jose, Camarines Sur",Non-functioning
Pili,To be Reactivated
"Agdangan, Camarines Sur",Non-functioning
Baao,Non-functioning
Iriga,Non-functioning
Pacifico,Non-functioning
Lourdes,Non-functioning
Lourdes Young,Non-functioning
Sagrada,Non-functioning
Bato,Non-functioning
Matacon,Non-functioning
Santicon,Non-functioning
Apad,Non-functioning
Polangui,Non-functioning
Oas,Non-functioning
Ligao,Non-functioning
Inascan,Non-functioning
Guinobatan,Non-functioning
Travesia,Non-functioning
Camalig,Non-functioning
Daraga,Non-functioning
Legaspi,Non-functioning
