region,province_or_city,foreign_travelers,overseas_filipino,domestic_travelers,total_2012
NCR (National Capital Region),NCR (National Capital Region),1513402,20048,909212,2442662
NCR (National Capital Region),Caloocan City,-,-,-,0
NCR (National Capital Region),Las Pinas City,-,-,-,0
NCR (National Capital Region),Makati City,-,-,-,0
NCR (National Capital Region),Malabon City,-,-,-,0
NCR (National Capital Region),Mandaluyong City,-,-,-,0
NCR (National Capital Region),Manila,-,-,-,0
NCR (National Capital Region),Marikina City,-,-,-,0
NCR (National Capital Region),Muntinlupa City,-,-,-,0
NCR (National Capital Region),Navotas City,-,-,-,0
NCR (National Capital Region),Paranaque City,-,-,-,0
NCR (National Capital Region),Pasay City,-,-,-,0
NCR (National Capital Region),Pasig City,-,-,-,0
NCR (National Capital Region),Quezon City,-,-,-,0
NCR (National Capital Region),San Juan City,-,-,-,0
NCR (National Capital Region),Taguig City,-,-,-,0
NCR (National Capital Region),Valenzuela City,-,-,-,0
NCR (National Capital Region),Pateros,-,-,-,0
CAR (Cordillera Administrative Region),CAR (Cordillera Administrative Region),77913,3712,830883,912508
CAR (Cordillera Administrative Region),Abra,728,15,3976,4719
CAR (Cordillera Administrative Region),Apayao,107,127,4639,4873
CAR (Cordillera Administrative Region),Benguet,11552,202,144878,156632
CAR (Cordillera Administrative Region),Ifugao,24964,152,37658,62774
CAR (Cordillera Administrative Region),Kalinga,3175, -   ,28344,31519
CAR (Cordillera Administrative Region),Mountain Province,8456, -   ,26456,34912
CAR (Cordillera Administrative Region),Baguio City,28931,3216,584932,617079
I (Ilocos Region),Total,36172,586,633712,670470
I (Ilocos Region),Ilocos Norte,11792,312,200848,212952
I (Ilocos Region),Batac,21,237,1549,1807
I (Ilocos Region),Currimao,469, -   ,21955,22424
I (Ilocos Region),Laoag City,2142,55,74670,76867
I (Ilocos Region),Pagudpud,8212,20,79058,87290
I (Ilocos Region),Paoay,647, -   ,18806,19453
I (Ilocos Region),Pasuquin,84, -   ,1964,2048
I (Ilocos Region),San Nicolas,217, -   ,2846,3063
I (Ilocos Region),Ilocos Sur,5518,70,102965,108553
I (Ilocos Region),Candon City,31, -   ,3467,3498
I (Ilocos Region),Sinait, -   , -   ,791,791
I (Ilocos Region),Vigan City,5487,70,98707,104264
I (Ilocos Region),La Union,9191,155,74629,83975
I (Ilocos Region),Agoo,4, -   ,3269,3273
I (Ilocos Region),Aringay,216,54,837,1107
I (Ilocos Region),Bauang,5861, -   ,31714,37575
I (Ilocos Region),Caba,53, -   ,2566,2619
I (Ilocos Region),Luna, -   , -   ,979,979
I (Ilocos Region),Naguilian,11, -   ,988,999
I (Ilocos Region),Pugo,357, -   ,3103,3460
I (Ilocos Region),Rosario,18, -   ,3312,3330
I (Ilocos Region),San Fernando City,243,101,16543,16887
I (Ilocos Region),San Juan,2396, -   ,9744,12140
I (Ilocos Region),Santol, -   , -   ,583,583
I (Ilocos Region),Sto. Tomas,32, -   ,343,375
I (Ilocos Region),Sudipen, -   , -   ,648,648
I (Ilocos Region),Pangasinan,9671,49,255270,264990
I (Ilocos Region),Alaminos,774, -   ,6831,7605
I (Ilocos Region),Bolinao,7449, -   ,82850,90299
I (Ilocos Region),Dagupan,803, -   ,92256,93059
I (Ilocos Region),Lingayen,602,49,57279,57930
I (Ilocos Region),Urdaneta,43, -   ,16054,16097
II (Cagayan Valley),Total,12694,0,374749,387443
II (Cagayan Valley),Batanes,521, -   ,2892,3413
II (Cagayan Valley),Cagayan ,6536, -   ,185539,192075
II (Cagayan Valley),Tuguegarao City,1271, -   ,122827,124098
II (Cagayan Valley),Others,5265, -   ,62712,67977
II (Cagayan Valley),Isabela,2244, -   ,96902,99146
II (Cagayan Valley),Cauayan City,1521, -   ,38931,40452
II (Cagayan Valley),Santiago City,416, -   ,33230,33646
II (Cagayan Valley),Others,307, -   ,24741,25048
II (Cagayan Valley),Nueva Vizcaya,3355, -   ,86306,89661
II (Cagayan Valley),Quirino,38, -   ,3110,3148
III (Central Luzon),Total,344329,10233,1719532,2074094
III (Central Luzon),Aurora,1208, -   ,68046,69254
III (Central Luzon),Bataan,46, -   ,48467,48513
III (Central Luzon),Bulacan,1675,442,56410,58527
III (Central Luzon),Nueva Ecija,2149,201,8099,10449
III (Central Luzon),Pampanga,227110,7628,251857,486595
III (Central Luzon),Clark,227110,7628,251857,486595
III (Central Luzon),Tarlac,4776,1663,9374,15813
III (Central Luzon),Zambales,41947, -   ,1224942,1266889
III (Central Luzon),SMBA,41947, -   ,1224942,1266889
III (Central Luzon),Angeles City,44813,299,36482,81594
III (Central Luzon),Olongapo City,20605, -   ,15855,36460
IV-A (CALABARZON),Region IV-A  CALABARZON,80753,5308,1207221,1293282
IV-A (CALABARZON),Batangas,48975,4696,349144,402815
IV-A (CALABARZON),Cavite,4796, -   ,58694,63490
IV-A (CALABARZON),Laguna,23846,612,608408,632866
IV-A (CALABARZON),Quezon,2590, -   ,147637,150227
IV-A (CALABARZON),Rizal,546, -   ,43338,43884
IV-A (CALABARZON),Antipolo City, -   , -   ,7357,7357
IV-A (CALABARZON),Tanay,546, -   ,35981,36527
IV-A (CALABARZON),Lucena City, -   , -   , -   , -   
IV-B (MIMAROPA),Total,211534,9514,911808,1132856
IV-B (MIMAROPA),Marinduque,42, -   ,2761,2803
IV-B (MIMAROPA),Occidental Mindoro,3492, -   ,90345,93837
IV-B (MIMAROPA),Abra de Ilog,63,,253,316
IV-B (MIMAROPA),Calintaan,94,,1048,1142
IV-B (MIMAROPA),Lubang,134,,28673,28807
IV-B (MIMAROPA),Mamburao,102,,2639,2741
IV-B (MIMAROPA),Sablayan,3099,,14472,17571
IV-B (MIMAROPA),Others, -   , -   ,43260,43260
IV-B (MIMAROPA),Oriental Mindoro,21269, -   ,175949,197218
IV-B (MIMAROPA),Baco,2, -   ,1196,1198
IV-B (MIMAROPA),Bansud,6, -   ,146,152
IV-B (MIMAROPA),Bongabong,95, -   ,895,990
IV-B (MIMAROPA),Bulalacao,30, -   ,130,160
IV-B (MIMAROPA),Calapan City,1887, -   ,56441,58328
IV-B (MIMAROPA),Gloria,14, -   ,389,403
IV-B (MIMAROPA),Mansalay,2, -   ,265,267
IV-B (MIMAROPA),Naujan, -   , -   ,1097,1097
IV-B (MIMAROPA),Pinamalayan,3, -   ,1922,1925
IV-B (MIMAROPA),Puerto Galera,18717, -   ,103763,122480
IV-B (MIMAROPA),Roxas,449, -   ,7737,8186
IV-B (MIMAROPA),San Teodoro,4, -   ,285,289
IV-B (MIMAROPA),Victoria,60, -   ,1683,1743
IV-B (MIMAROPA),Palawan,47004,8,127051,174063
IV-B (MIMAROPA),Araceli,138, -   , -   ,138
IV-B (MIMAROPA),Brookes Point, -   , -   ,20455,20455
IV-B (MIMAROPA),Cagayancillo,1321, -   ,212,1533
IV-B (MIMAROPA),Coron,11994,5,72670,84669
IV-B (MIMAROPA),Cuyo,163,3,2775,2941
IV-B (MIMAROPA),El Nido,24768, -   ,21465,46233
IV-B (MIMAROPA),San Vicente,6554,,1992,8546
IV-B (MIMAROPA),Taytay,2066, -   ,7482,9548
IV-B (MIMAROPA),Others, -   , -   , -   , -   
IV-B (MIMAROPA),Romblon,7045, -   ,3857,10902
IV-B (MIMAROPA),Odiongan,39, -   ,1253,1292
IV-B (MIMAROPA),San Jose,7006, -   ,2604,9610
IV-B (MIMAROPA),Puerto Princesa City,132682,9506,511845,654033
V (Bicol Region),Total,712707,60179,2911919,3684805
V (Bicol Region),Albay,170416,5,353411,523832
V (Bicol Region),Legazpi City,164340, -   ,268002,432342
V (Bicol Region),Others,6076,5,85409,91490
V (Bicol Region),Camarines Norte,30494,32253,128171,190918
V (Bicol Region),Daet, -   , -   , -   , -   
V (Bicol Region),Others,,,, -   
V (Bicol Region),Camarines Sur,485550, -   ,2005609,2491159
V (Bicol Region),Catanduanes,5955,22451,99823,128229
V (Bicol Region),Masbate ,1609,1776,173582,176967
V (Bicol Region),Sorsogon ,18683,3694,151323,173700
VI (Western Visayas),Total,606521,58169,2434328,3099018
VI (Western Visayas),Aklan,478064,42094,787358,1307516
VI (Western Visayas),Boracay,473286,42094,690872,1206252
VI (Western Visayas),Kalibo,4764, -   ,96210,100974
VI (Western Visayas),Tangalan,14, -   ,276,290
VI (Western Visayas),Others, -   , -   , -   , -   
VI (Western Visayas),Antique,408,621,13477,14506
VI (Western Visayas),San Jose,173,1,7779,7953
VI (Western Visayas),Culasi,95, -   ,4034,4129
VI (Western Visayas),Anini-y,140,620,1664,2424
VI (Western Visayas),Capiz,2402, -   ,92635,95037
VI (Western Visayas),Guimaras,2175, -   ,59013,61188
VI (Western Visayas),Iloilo Province,2116, -   ,78068,80184
VI (Western Visayas),Ajuy,65, -   ,431,496
VI (Western Visayas),Carles,191, -   ,4646,4837
VI (Western Visayas),Oton,10, -   ,807,817
VI (Western Visayas),Guimbal, -   , -   ,20597,20597
VI (Western Visayas),San Juaquin,6, -   ,1913,1919
VI (Western Visayas),Others,1844, -   ,49674,51518
VI (Western Visayas),Negros Occidental,23781,2511,537875,564167
VI (Western Visayas),Bacolod City,69792,12943,366720,449455
VI (Western Visayas),Iloilo City,27783, -   ,499182,526965
VII (Central Visayas),Total,1161575,16121,1750385,2928081
VII (Central Visayas),Bohol,105400,549,250421,356370
VII (Central Visayas),Anda,161,5,99,265
VII (Central Visayas),Baclayon,53,5,1155,1213
VII (Central Visayas),Carmen,682,0,1405,2087
VII (Central Visayas),Catigbian,12,0,77,89
VII (Central Visayas),Danao,190,0,1110,1300
VII (Central Visayas),Dauis,19546,65,39046,58657
VII (Central Visayas),Jagna,540,0,7463,8003
VII (Central Visayas),Loon,1056,0,410,1466
VII (Central Visayas),Maribojoc,167,0,360,527
VII (Central Visayas),Panglao,65842,283,73155,139280
VII (Central Visayas),Tagbilaran,16452,183,113301,129936
VII (Central Visayas),Talibon,44,,1429,1473
