programs_or_projects_1,programs_or_projects_2, appropriation , 1st_quarter_obligation , total_obligation , balance_appropriation 
General Public Services,Debt Services, - , - , -   , -   
Social Services,Social Services,2500000, -   , -   ,2500000
Social Services,Construction of 4Ps Processing and Training Center,2500000,, -   ,2500000
Economic Service-Miscellaneous and Other Structure,Economic Service-Miscellaneous and Other Structure,128262212.9, -   , -   ,128262212.9
Economic Service-Miscellaneous and Other Structure,Matching Fund,12000000, -   , -   ,12000000
Economic Service-Miscellaneous and Other Structure,Perimeter Fencing and Other Improvement of Taboan Market,1500000, -   , -   ,1500000
Economic Service-Miscellaneous and Other Structure,Rural Waterworks Supply System Program,1012383, -   , -   ,1012383
Economic Service-Miscellaneous and Other Structure,Sanitary Landfill,10000000, -   , -   ,10000000
Economic Service-Miscellaneous and Other Structure,Rehabilitation or Construction of Butuan City  Rizal Park Phase II,5000000, -   , -   ,5000000
Economic Service-Miscellaneous and Other Structure,Improvement or Construction of Butuan City Sports Complex,35000000, -   , -   ,35000000
Economic Service-Miscellaneous and Other Structure,Construction of Butuan-China Friendship Gate and Rotonda,20000000, -   , -   ,20000000
Economic Service-Miscellaneous and Other Structure,Purchase of Land,5000000, -   , -   ,5000000
Economic Service-Miscellaneous and Other Structure,Site Development of ORA-Baan Km.3 (B9) Resettlement Site (Admin),1300000, -   , -   ,1300000
Economic Service-Miscellaneous and Other Structure,Construction of Covered Court - Motorpool,7000000, -   , -   ,7000000
Economic Service-Miscellaneous and Other Structure,Site Development of ORA-Baan Km.3 (B9) Resettlement Site(Contract),4200000, -   , -   ,4200000
Economic Service-Miscellaneous and Other Structure,BISANTODA Terminal Shed,499587, -   , -   ,499587
Economic Service-Concreting of Roads,Concreting of Amamaylan Road - Baan km.3,2000000, -   , -   ,2000000
Economic Service-Concreting of Roads,Concreting of Road - Barangay Sto. Nino NRJ to Quarry,1000000, -   , -   ,1000000
Economic Service-Concreting of Roads,Concreting of Road - Barangay Taguibo - NRJ to Quarry,1000000, -   , -   ,1000000
Economic Service-Concreting of Roads,Concreting of Road - Alviola Village - NRJ inward,2000000, -   , -   ,2000000
Economic Service-Concreting of Roads,Concreting of Road - Barangay Imadejas,2400000, -   , -   ,2400000
Economic Service-Concreting of Roads,Concreting of Road - Barangay Pinamanculan,4000000, -   , -   ,4000000
Economic Service-Concreting of Roads,Concreting of Baan - Banza Road -  Completion,500000, -   , -   ,500000
Economic Service-Concreting of Roads,"Concreting of Road - Del Carmen Street, Sintos Subdivision",12850242.92, -   , -   ,12850242.92
Economic Service-Drainage System,Construction of Enhanced Waterways or Drainage, -   , -   , -   , -   
Total,Total,130762212.9, -   , -   ,130762212.9
