station_name,sampling_date,parameter,standard_minimum,standard_maximum,unit,result,compliant,status
Amvel Creek,7/23/2012,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,7/23/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,3.9,No,Failed
Amvel Creek,7/23/2012,Phosphate as Phosphorus,-,0.4,mg/L,15.8,No,Failed
Amvel Creek,7/23/2012,Nitrate as Nitrogen,-,10,mg/L,9.9,Yes,Passed
Amvel Creek,8/23/2012,BOD (5-Day 20 Degrees),-,7,mg/L,40,No,Failed
Amvel Creek,8/23/2012,Dissolved Oxygen (e) (minimum),5,-,mg/L,0,No,Failed
Amvel Creek,8/23/2012,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,8/23/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,3.7,No,Failed
Amvel Creek,8/23/2012,Phosphate as Phosphorus,-,0.4,mg/L,13.8,No,Failed
Amvel Creek,8/23/2012,Nitrate as Nitrogen,-,10,mg/L,10.1,No,Failed
Amvel Creek,9/3/2012,BOD (5-Day 20 Degrees),-,7,mg/L,28,No,Failed
Amvel Creek,9/3/2012,Dissolved Oxygen (e) (minimum),5,-,mg/L,0,No,Failed
Amvel Creek,9/3/2012,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,9/3/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,3.1,No,Failed
Amvel Creek,9/3/2012,Phosphate as Phosphorus,-,0.4,mg/L,12.4,No,Failed
Amvel Creek,9/3/2012,Nitrate as Nitrogen,-,10,mg/L,10.3,No,Failed
Amvel Creek,10/4/2012,BOD (5-Day 20 Degrees),-,7,mg/L,10,No,Failed
Amvel Creek,10/4/2012,Dissolved Oxygen (e) (minimum),5,-,mg/L,1.3,No,Failed
Amvel Creek,10/4/2012,Total Suspended Solids,-,-,mg/L,20,Variable,Null
Amvel Creek,10/4/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,2.2,No,Failed
Amvel Creek,10/4/2012,Phosphate as Phosphorus,-,0.4,mg/L,10.8,No,Failed
Amvel Creek,10/4/2012,Nitrate as Nitrogen,-,10,mg/L,9.3,Yes,Passed
Amvel Creek,10/4/2012,Total Coliforms,-,5000,MPN/100ml,3200000,No,Failed
Amvel Creek,11/19/2012,BOD (5-Day 20 Degrees),-,7,mg/L,28,No,Failed
Amvel Creek,11/19/2012,Total Dissolved Solids,-,-,mg/L,30,Variable,Null
Amvel Creek,11/19/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,4.2,No,Failed
Amvel Creek,11/19/2012,Phosphate as Phosphorus,-,0.4,mg/L,16.3,No,Failed
Amvel Creek,11/19/2012,Nitrate as Nitrogen,-,10,mg/L,11.2,No,Failed
Amvel Creek,12/13/2012,BOD (5-Day 20 Degrees),-,7,mg/L,36,No,Failed
Amvel Creek,12/13/2012,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,12/13/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,4.6,No,Failed
Amvel Creek,12/13/2012,Phosphate as Phosphorus,-,0.4,mg/L,18.9,No,Failed
Amvel Creek,12/13/2012,Nitrate as Nitrogen,-,10,mg/L,11.4,No,Failed
Amvel Creek,1/28/2013,Nitrate as Nitrogen,-,10,mg/L,10.9,No,Failed
Amvel Creek,1/28/2013,BOD (5-Day 20 Degrees),-,7,mg/L,30,No,Failed
Amvel Creek,1/28/2013,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,1/28/2013,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,4.2,No,Failed
Amvel Creek,1/28/2013,Phosphate as Phosphorus,-,0.4,mg/L,18.1,No,Failed
Amvel Creek,2/18/2013,BOD (5-Day 20 Degrees),-,7,mg/L,28,No,Failed
Amvel Creek,2/18/2013,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,2/18/2013,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,3.9,No,Failed
Amvel Creek,2/18/2013,Phosphate as Phosphorus,-,0.4,mg/L,16.3,No,Failed
Amvel Creek,2/18/2013,Nitrate as Nitrogen,-,10,mg/L,10.2,No,Failed
Amvel Creek,3/25/2013,BOD (5-Day 20 Degrees),-,7,mg/L,40,No,Failed
Amvel Creek,3/25/2013,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,3/25/2013,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,4.5,No,Failed
Amvel Creek,3/25/2013,Phosphate as Phosphorus,-,0.4,mg/L,18.3,No,Failed
Amvel Creek,3/25/2013,Nitrate as Nitrogen,-,10,mg/L,10.6,No,Failed
Amvel Creek,4/22/2013,BOD (5-Day 20 Degrees),-,7,mg/L,34,No,Failed
Amvel Creek,4/22/2013,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Amvel Creek,4/22/2013,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,4.1,No,Failed
Amvel Creek,4/22/2013,Phosphate as Phosphorus,-,0.4,mg/L,16.7,No,Failed
Amvel Creek,4/22/2013,Nitrate as Nitrogen,-,10,mg/L,10.3,No,Failed
Amvel Creek,5/14/2013,BOD (5-Day 20 Degrees),-,7,mg/L,18,No,Failed
Amvel Creek,5/14/2013,Total Suspended Solids,-,-,mg/L,30,Variable,Null
Amvel Creek,5/14/2013,Dissolved Oxygen (e) (minimum),5,-,mg/L,0.3,No,Failed
Amvel Creek,5/14/2013,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,3.6,No,Failed
Amvel Creek,5/14/2013,Phosphate as Phosphorus,-,0.4,mg/L,14.9,No,Failed
Amvel Creek,5/14/2013,Nitrate as Nitrogen,-,10,mg/L,9.2,Yes,Passed
Amvel Creek,6/14/2013,Dissolved Oxygen (e) (minimum),5,-,mg/L,0.6,No,Failed
Amvel Creek,6/14/2013,Total Suspended Solids,-,-,mg/L,30,Variable,Null
Amvel Creek,6/14/2013,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,3.4,No,Failed
Amvel Creek,6/14/2013,BOD (5-Day 20 Degrees),-,7,mg/L,20,No,Failed
Amvel Creek,6/14/2013,Nitrate as Nitrogen,-,10,mg/L,9.5,Yes,Passed
Amvel Creek,6/14/2013,Phosphate as Phosphorus,-,0.4,mg/L,14.7,No,Failed
Amvel Creek,7/8/2013,Nitrate as Nitrogen,-,10,mg/L,10.5,No,Failed
Amvel Creek,7/8/2013,BOD (5-Day 20 Degrees),-,7,mg/L,60,No,Failed
Amvel Creek,7/8/2013,Total Suspended Solids,-,-,mg/L,30,Variable,Null
Amvel Creek,7/8/2013,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,5.4,No,Failed
Amvel Creek,7/8/2013,Phosphate as Phosphorus,-,0.4,mg/L,19.7,No,Failed
Bangculasi Creek Station,2/20/2012,BOD (5-Day 20 Degrees),-,7,mg/L,34,No,Failed
Bangculasi Creek Station,2/20/2012,Total Suspended Solids,-,-,mg/L,20,Variable,Null
Bangculasi Creek Station,2/20/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,2.4,No,Failed
Bangculasi Creek Station,2/20/2012,Phosphate as Phosphorus,-,0.4,mg/L,9.8,No,Failed
Bangculasi Creek Station,2/20/2012,Nitrate as Nitrogen,-,10,mg/L,7.9,Yes,Passed
Bangculasi Creek Station,2/20/2012,Lead,-,0.05,mg/L,0.0075,Yes,Passed
Bangculasi Creek Station,2/20/2012,Cadmium,-,0.01,mg/L,0.0011,Yes,Passed
Bangculasi Creek Station,3/5/2012,Total Coliforms,-,5000,MPN/100ml,16000000,No,Failed
Bangculasi Creek Station,3/5/2012,Fecal Coliforms,-,-,MPN/100ml,2800000,Variable,Null
Bangculasi Creek Station,3/5/2012,BOD (5-Day 20 Degrees),-,7,mg/L,62,No,Failed
Bangculasi Creek Station,3/5/2012,Total Suspended Solids,-,-,mg/L,40,Variable,Null
Bangculasi Creek Station,3/5/2012,Oil/Grease (Petroleum Ether Extracts),-,2,mg/L,4.1,No,Failed
Bangculasi Creek Station,3/5/2012,Phosphate as Phosphorus,-,0.4,mg/L,10.87,No,Failed
Bangculasi Creek Station,3/5/2012,Nitrate as Nitrogen,-,10,mg/L,7.85,Yes,Passed
Bangculasi Creek Station,4/25/2012,Nitrate as Nitrogen,-,10,mg/L,6.8,Yes,Passed
Bangculasi Creek Station,4/25/2012,Total Coliforms,-,5000,MPN/100ml,9200000,No,Failed
Bangculasi Creek Station,4/25/2012,Total Suspended Solids,-,-,mg/L,30,Variable,Null
