region,govt_member,govt_dependent,private_member,private_dependent,ofw_member,ofw_dependent,individually_paying_member,individually_paying_dependent,lgu_sponsored_member,lgu_sponsored_dependent,nhts_pr_member,nhts_pr_dependent,lifetime_member,lifetime_dependent,total
CAR (Cordillera Administrative Region),55365,118371,110483,115615,10864,9269,50598,69985,83846,177956,74083,197920,16960,13097,1104415
I (Ilocos Region),118884,229391,305805,326909,29070,25625,133442,196875,273132,403159,236716,776299,40611,31151,3127068
II (Cagayan Valley),89881,178336,151184,149550,15953,11385,85410,133714,179984,340070,123196,440241,19132,15177,1933213
III (Central Luzon),215423,412863,1096462,1152750,46035,51635,288684,351758,503701,638627,302765,887465,69326,53864,6071358
NCR (National Capital Region),286529,412996,2962134,2620411,665000,471518,322220,274106,271043,273923,259559,731248,145997,86350,9783035
IV-A (CALABARZON),244511,433673,2094218,2045193,49716,53741,335003,436462,246890,381712,382476,1173118,99684,76950,8053347
IV-B (MIMAROPA),59484,113725,129088,123477,3289,2893,50451,54861,115900,200935,227814,752026,12533,9504,1855981
V (Bicol Region),122491,231877,249511,241380,11535,10227,51307,67996,261602,372172,504730,1584732,39024,25024,3773608
VI (Western Visayas),154224,301116,610821,648560,29362,22078,144852,198305,438977,558983,358993,1317151,86572,54670,4954665
VII (Central Visayas),130172,225156,976393,965009,27772,28308,106705,126325,353448,394210,307982,1016650,57811,34034,4749975
VIII (Eastern Visayas),121121,227369,178858,188593,4248,3779,39176,41262,663137,766599,318421,964407,29015,17934,3563919
IX (Zamboanga Peninsula),86060,168708,174967,163435,11492,6483,44892,42355,92406,85578,505208,1133245,21550,16576,2552955
X (Northern Mindanao),102232,202721,346738,375272,15726,14799,66120,62755,581913,662232,291481,790358,37425,29391,3579164
XI (Davao Region),78846,148582,483944,544854,20445,17435,186403,264302,98723,193364,250185,777166,44606,34472,3143327
XII (SOCCSKSARGEN),83328,174322,255886,284948,8100,5031,135044,185366,132906,207317,275327,801917,24666,21189,2595347
CARAGA,61300,114290,141730,144528,4509,3972,47081,45909,154108,224350,217303,664542,22081,17643,1863346
ARMM (Autonomous Region in Muslim Mindanao),63102,147054,30782,45220,4042,750,28036,33349,1963,1565,521150,1846054,6556,7008,2736631
Total,2072953,3840550,10299004,10135704,957158,738928,2115424,2585685,4453679,5882752,5157389,15854539,773549,544034,65441354
