particulars_1,particulars_2,code,appropriation,allotment,pr,obr,balances
Office of the City Mayor,-,1011,-,-,-,-,-
Construction or Completion of Multi- Purpose Building (Gym),-,215,3000000,2700000,320643,1574207,805150
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Magugpo West (Reference Number: 143-04-12)- Materials",-,517640,517640,-,497705,19935
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Magugpo West (Reference Number: 143-04-12)-Labor",-,222353,222353,-,-,222353
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Magugpo West (Reference Number: 143-04-12)- Contingencies",-,10007,10007,9400,-,607
Total,-,-,750000,750000,9400,497705,242895
Construction or Completion of Multi- Purpose Building (Gym),"Margarita Subdivision, Mankilam (Reference Number: 156-04-12)- Materials",-,524343,524343,-,516370,7973
Construction or Completion of Multi- Purpose Building (Gym),"Margarita Subdivision, Mankilam (Reference Number: 156-04-12)- Labor",-,210272.8,210272.8,-,-,210272.8
Construction or Completion of Multi- Purpose Building (Gym),"Margarita Subdivision, Mankilam (Reference Number: 156-04-12)- Contingencies",-,15384.2,15384.2,-,-,15384.2
Total,-,-,750000,750000,-,516370,233630
Construction or Completion of Multi- Purpose Building (Gym),Makabayan Subdivision Barangay San Isidro (Reference Number: 157-04-12)- Materials,-,560365,560365,-,560132,233
Construction or Completion of Multi- Purpose Building (Gym),Makabayan Subdivision Barangay San Isidro (Reference Number: 157-04-12)- Labor,-,116691.3,116691.3,-,-,116691.3
Construction or Completion of Multi- Purpose Building (Gym),Makabayan Subdivision Barangay San Isidro (Reference Number: 157-04-12)- Contingencies,-,22943.7,22943.7,-,-,22943.7
Total,-,-,700000,700000,-,560132,139868
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Barangay Magdum (Reference Number: 175-05-12)- Materials",-,107933,107933,107933,-,-
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Barangay Magdum (Reference Number: 175-05-12)- Labor",-,79957,79957,-,-,79957
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Barangay Magdum (Reference Number: 175-05-12)- Contingencies",-,12110,12110,-,-,12110
Total,-,-,200000,200000,107933,-,92067
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Barangay Magdaum (Reference Number: 176-05-12)- Materials",-,203310,203310,203310,-,-
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Barangay Magdaum (Reference Number: 176-05-12)- Labor",-,89535.9,89535.9,-,-,89535.9
Construction or Completion of Multi- Purpose Building (Gym),"Barangay Hall Site, Barangay Magdaum (Reference Number: 176-05-12)- Contingencies",-,7154.1,7154.1,-,-,7154.1
Total,-,-,300000,300000,203310,-,96690
-,Unprogram,-,300000,-,-,-,-
