particulars_1,particulars_2,code,appropriation,allotment,pr,obr,balances
Fabrication of Artificial Coral Reef,-,215,519995,519995,33000,433135,53860
Fabrication of Artificial Coral Reef,Brgy. Liboganon (Reference number: 053-01-12)- Materials,-,180510,180510,33000,147470,40
Fabrication of Artificial Coral Reef,Brgy. Liboganon (Reference number: 053-01-12)- Labor,-,330615,330615,-,285665,44950
Fabrication of Artificial Coral Reef,Brgy. Liboganon (Reference number: 053-01-12)- Contingencies,-,8870,8870,-,-,8870
Total,-,-,519995,519995,33000,433135,53860
Fabrication of Artificial Coral Reef,Unprogram,-,-,-,-,-,-
Total - CAGRO,-,-,10018241.14,10018241.14,33000,8445225.12,1540016.02
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",-,805,2938750,2500000,6365,1945632.9,548002.1
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Reference number: 09-01-12- Materials,-,800000,800000,-,796647,3353
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Reference number: 09-01-12- Labor,-,1642364,1642364,-,1145725.9,496638.1
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Reference number: 09-01-12- Contingencies,-,57636,57636,6365,3260,48011
Total,-,-,2500000,2500000,6365,1945632.9,548002.1
"CEO- Construction and Maintenance Division- Repair and Maintenance - Electrification, Power and Energy Structure",Unprogram,-,438750,-,-,-,-
Repair and Maintenance - Roads and Road Marking,-,851,2500000,2500000,444000,1577789.7,478210.3
Repair and Maintenance - Roads and Road Marking,Reference number: 12-01-12- Materials,-,1146965,1146965,414000,595660,137305
Repair and Maintenance - Roads and Road Marking,Reference number: 12-01-12- Labor,-,1262634,1262634,-,982129.7,280504.3
Repair and Maintenance - Roads and Road Marking,Reference number: 12-01-12- Contingencies,-,90401,90401,30000,-,60401
Total,-,-,2500000,2500000,444000,1577789.7,478210.3
Repair and Maintenance - Drainage,-,855,2130000,2130000,158497.5,1315832.94,655669.56
Repair and Maintenance - Drainage,Reference number: 04-01-12- Materials,-,628150,628150,158497.5,312848,156804.5
Repair and Maintenance - Drainage,Reference number: 04-01-12- Labor,-,1429512,1429512,-,1002984.94,426527.06
Repair and Maintenance - Drainage,Reference number: 04-01-12- Contingencies,-,72338,72338,-,-,72338
Total,-,-,2130000,2130000,158497.5,1315832.94,655669.56
Repair and Maintenance - Road Right of Way (Clearing and Maintenance),-,851,800000,800000,-,577753.81,222246.19
Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 03-01-12- Labor,-,391902,391902,-,291924.81,99977.19
Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 03-01-12-Contingencies,-,8098,8098,-,-,8098
Total,-,-,400000,400000,-,291924.81,108075.19
Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 10-01-12- Labor,-,399006,399006,-,285829,113177
Repair and Maintenance - Road Right of Way (Clearing and Maintenance),Reference number: 10-01-12- Contingencies,-,994,994,-,-,994
Total,-,-,400000,400000,-,285829,114171
Total - CEO - Const. and Maintenance Division,-,-,8368750,7930000,608862.5,5417009.35,1904128.15
City Environment and Natural Resources Office- Watershed Devt. Program (Botanical Park),-,-,602958,602958,-,515258,87700
City Environment and Natural Resources Office- Watershed Devt. Program (Botanical Park),General Services,795,602958,602958,-,515258,87700
Solid Waste Management Program - SWM Evaluation or Intensive Education Campaign (IEC),-,-,61380,61380,-,35650,25730
Solid Waste Management Program - SWM Evaluation or Intensive Education Campaign (IEC),General Services,795,61380,61380,-,35650,25730
Total- CENRO,-,-,664338,664338,-,550908,113430
Grand Total,-,-,86011329.14,78730914.99,7903555.98,61356198.21,9471160.8
