year,month,police_regional_office,shooting_incidents_killed,shooting_incidents_wounded,shooting_incidents_unharmed,shooting_incidents_total,robbery_killed,robbery_wounded,robbery_unharmed,robbery_total,carnapping_killed,carnapping_wounded,carnapping_unharmed,carnapping_total,others_killed,others_wounded,others_unharmed,others_total,victims_total,status_of_suspects_at-large,status_of_suspects_arrested,status_of_suspects_killed,status_of_suspects_total,status_of_case_under_investigation,status_of_case_referred_to_pros,status_of_case_filed_in_court,status_of_case_no_case_filed,total_number_of_incidents
2011,January,1,12,5,1,14,0,0,1,1,0,0,0,0,1,0,0,2,20,28,1,0,29,8,9,0,0,17
2011,January,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,3,9,5,0,12,0,0,15,15,0,0,0,0,0,0,0,0,29,54,0,0,54,21,6,0,0,27
2011,January,4A,7,6,2,15,0,0,17,17,0,1,0,1,0,0,0,0,33,68,0,0,68,21,9,3,0,33
2011,January,4B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,5,3,1,0,2,0,0,10,10,0,0,0,0,0,0,0,0,14,26,0,0,26,7,5,0,0,12
2011,January,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,7,2,0,0,2,0,2,27,29,0,0,2,2,0,0,0,0,33,62,0,0,62,29,2,0,2,33
2011,January,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,11,13,0,0,13,1,0,6,7,0,0,0,0,0,0,0,0,20,40,0,0,40,20,0,0,0,20
2011,January,12,5,6,0,11,0,0,0,0,1,0,1,2,0,1,0,1,14,28,0,0,28,12,2,0,0,14
2011,January,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,ARMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,COR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,January,NCRPO,1,0,0,1,0,0,6,6,0,0,4,4,0,0,0,1,11,17,3,0,20,8,4,0,0,12
2011,February,1,4,6,1,7,0,0,1,1,0,0,0,0,0,0,0,0,12,14,0,0,14,7,1,0,0,8
2011,February,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,February,3,9,4,2,14,1,3,32,36,0,0,4,4,0,1,0,1,56,116,0,0,116,51,2,2,0,55
2011,February,4A,19,7,0,22,0,1,18,18,0,0,1,1,0,1,0,1,47,78,1,0,79,36,6,0,0,42
2011,February,4B,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,3,4,0,0,4,2,0,0,0,2
2011,February,5,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,1,5,8,1,0,9,3,2,0,0,5
2011,February,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,1
2011,February,7,0,2,0,2,0,3,31,34,0,0,1,1,0,2,1,4,40,79,1,0,80,40,1,0,0,41
2011,February,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,February,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,February,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,February,11,10,1,0,11,0,0,9,9,0,0,0,0,1,0,0,2,21,35,1,0,36,21,1,0,0,22
2011,February,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,February,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,February,ARMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,February,COR,0,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,5,4,1,0,5,1,1,0,0,2
2011,February,NCRPO,6,1,0,6,0,1,25,26,1,1,1,3,0,1,1,2,47,56,0,0,56,37,0,0,0,37
2011,March,1,4,4,0,6,0,0,1,1,0,0,0,0,0,0,0,0,9,14,0,0,14,4,3,0,0,7
2011,March,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,March,3,15,8,3,24,0,3,31,34,0,0,1,1,0,1,2,3,64,140,0,0,140,57,5,0,0,62
2011,March,4A,14,4,2,19,1,2,10,14,0,0,0,0,0,1,1,2,35,66,4,0,70,27,7,1,0,35
2011,March,4B,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,4,0,0,4,1,1,0,0,2
2011,March,5,2,0,0,2,0,0,6,6,0,0,0,0,0,0,0,0,8,16,0,0,16,8,0,0,0,8
2011,March,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,1
2011,March,7,5,2,1,8,0,1,38,38,0,0,1,1,0,0,3,4,51,100,1,0,101,48,3,0,0,51
2011,March,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,March,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,March,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,March,11,15,3,0,18,0,1,7,8,0,0,0,0,0,0,0,0,26,42,0,0,42,26,0,0,0,26
2011,March,12,3,1,1,5,0,1,1,2,0,0,1,1,0,0,0,0,8,16,0,0,16,7,1,0,0,8
2011,March,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,March,ARMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,March,COR,3,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,10,4,1,0,0,5
2011,March,NCRPO,3,0,0,3,0,0,21,21,0,1,2,3,0,0,0,1,27,48,3,0,51,26,2,0,0,28
2011,April,1,1,6,1,8,0,0,2,2,0,0,0,0,0,0,0,0,10,18,1,0,19,8,2,0,0,10
2011,April,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,April,3,16,2,3,21,0,7,25,32,0,0,6,6,0,0,1,1,60,116,1,0,117,52,8,0,0,60
2011,April,4A,12,8,0,15,1,2,15,16,0,0,2,2,1,0,0,1,41,81,0,0,81,27,7,0,0,34
2011,April,4B,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,0,1
2011,April,5,3,1,0,3,0,1,5,5,0,0,1,1,0,0,0,0,11,18,0,0,18,9,0,0,0,9
2011,April,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1
2011,April,7,2,2,1,5,0,0,41,40,0,0,1,1,0,0,0,0,47,89,1,0,90,45,1,0,0,46
2011,April,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,April,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,April,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,April,11,13,3,2,18,0,2,12,14,0,0,0,0,0,0,0,0,32,60,0,0,60,32,0,0,0,32
2011,April,12,5,1,0,6,0,0,2,2,0,0,1,1,0,0,2,2,11,24,0,0,24,11,0,0,0,11
2011,April,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,April,ARMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,April,COR,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,6,2,1,0,0,3
2011,April,NCRPO,7,1,4,9,2,4,18,22,0,0,3,3,0,0,0,1,39,70,1,0,71,34,1,0,0,35
2011,May,1,4,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,8,11,2,0,13,4,4,0,0,8
2011,May,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,May,3,16,1,1,17,2,3,32,35,0,0,4,4,0,0,0,0,59,122,0,0,122,48,8,0,0,56
2011,May,4A,13,10,2,21,0,0,17,17,0,0,1,1,0,0,0,0,43,78,0,0,78,32,7,0,0,39
2011,May,4B,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,4,0,0,4,2,0,0,0,2
2011,May,5,0,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,4,8,0,0,8,2,2,0,0,4
2011,May,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,4,0,0,4,1,1,0,0,2
2011,May,7,3,0,2,5,0,0,24,22,0,0,0,0,0,0,0,0,29,54,0,0,54,24,2,0,1,27
2011,May,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,May,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,May,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,May,11,11,4,2,16,0,0,10,10,0,0,0,0,0,0,0,0,27,52,0,0,52,26,0,0,0,26
2011,May,12,4,2,1,5,0,0,3,3,0,0,1,1,0,0,0,0,11,18,0,0,18,9,0,0,0,9
2011,May,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,May,ARMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,May,COR,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,3,1,0,0,4
2011,May,NCRPO,4,4,0,7,1,0,29,26,0,0,1,1,0,1,1,2,41,74,0,0,74,36,0,0,0,36
2011,June,1,6,2,0,8,0,0,1,1,0,0,0,0,0,0,0,0,9,18,0,0,18,8,1,0,0,9
2011,June,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, - ,0,0,0, - ,0,0,0,0, - 
2011,June,3,10,4,1,13,1,3,21,24,0,0,14,14,0,0,0,0,54,98,2,0,100,43,7,0,1,51
2011,June,4A,11,4,2,16,0,3,18,21,0,1,1,2,0,0,1,3,41,85,1,5,91,31,11,0,0,42
2011,June,4B,0,1,0,1,0,1,2,3,0,0,0,0,0,0,0,0,4,3,7,0,10,1,3,0,0,4
2011,June,5,1,1,2,3,0,1,4,5,0,0,0,0,0,0,0,0,9,17,1,0,18,6,2,0,0,8
