region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,-
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippines,58,36,62,60,62,60,60,0,0,0,0,0,398,-
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Air,120,116,102,16,26,20,48,0,0,0,0,0,448,-
II (Cagayan Valley),Tuguegarao (Domestic),Lion Air,16,0,0,0,0,0,0,0,0,0,0,0,16,-
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada,0,0,8,80,102,70,46,0,0,0,0,0,306,-
II (Cagayan Valley),Tuguegarao (Domestic),ATX,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Tuguegarao (Domestic),Mid Sea Express,0,92,0,0,0,0,0,0,0,0,0,0,92,-
II (Cagayan Valley),Tuguegarao (Domestic),Batanes Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Tuguegarao (Domestic),Florida Air,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Tuguegarao (Domestic),Cyclone Airways,0,0,0,0,0,0,0,0,0,0,0,0,0,-
II (Cagayan Valley),Tuguegarao (Domestic),G. Aviation,10,22,56,52,48,38,26,0,0,0,0,0,252,-
II (Cagayan Valley),Tuguegarao (Domestic),Military,4,0,0,2,0,0,0,0,0,0,0,0,6,-
III (Central Luzon),Iba,G. Aviation,0,0,998,0,0,0,0,0,0,0,0,0,998,-
III (Central Luzon),Subic,International,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0,-
III (Central Luzon),Subic,Domestic,no report submitted,-,-,-,-,-,-,-,-,-,-,-,0,-
III (Central Luzon),Subic,G. Aviation,no report submitted,-,-,-,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Diosdado Macapagal International Airport,International,no report submitted,-,-,-,-,-,-,-,-,-,-,-,-,-
