region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total,,,
II (Cagayan Valley),Cauayan,Seair, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Cauayan,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Cauayan,Cyclone Airways,148,118, -   ,130, -   , -   ,106,98,136, -   ,164,100,1000,,,
II (Cagayan Valley),Cauayan,North Sky Air, -   , -   , -   , -   , -   , -   , -   ,52, -   , -   , -   , -   ,52,,,
II (Cagayan Valley),Cauayan,wcc, -   , -   , -   , -   ,8, -   , -   , -   , -   ,-, -   , -   ,8,,,
II (Cagayan Valley),Itbayat,Sky pasada, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Itbayat,North Sky Air, -   , -   , -   , -   , -   , -   , -   , -   ,2, -   , -   , -   ,2,,,
II (Cagayan Valley),Itbayat,Mid Sea Express, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Itbayat,Air Republic, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Itbayat,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Itbayat,Cyclone Airways, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Palanan,Cyclone Airways,86,68,106,66,116,98,62,64,90, -   , -   , -   ,756,,,
II (Cagayan Valley),Palanan,North Sky Air,6, -   , -   , -   , -   , -   ,18,2, -   , -   , -   , -   ,26,,,
II (Cagayan Valley),Palanan,wcc,38,20,42,44,48,52,30,32,34, -   , -   , -   ,340,,,
II (Cagayan Valley),Palanan,G. Aviation, -   ,2, -   ,2, -   , -   ,10, -   , -   , -   , -   , -   ,14,,,
II (Cagayan Valley),Tuguegarao (International),Cebu Pacific, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (International),G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (International),Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (Domestic),Cebu Pacific,80,86,96,90,94,112,86,96,94, -   , -   , -   ,834,,,
II (Cagayan Valley),Tuguegarao (Domestic),Air Philippines,58,52,62,52,56,60,60,60,58, -   , -   , -   ,518,,,
II (Cagayan Valley),Tuguegarao (Domestic),North Sky Air,86,68,102,126,148,108,82,92,96, -   , -   , -   ,908,,,
II (Cagayan Valley),Tuguegarao (Domestic),Lion Air, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (Domestic),Royal Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
II (Cagayan Valley),Tuguegarao (Domestic),WCC Skypasada,74,52,88,98,100,92,66,62,66, -   , -   , -   ,698,,,
II (Cagayan Valley),Tuguegarao (Domestic),ATX, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,
