region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
III (Central Luzon),Iba,G. Aviation,670,526,562,538,726,508,0,932,0,1112,572,402,6548
III (Central Luzon),Subic ,International,no report submitted,no report submitted,no report submitted,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic ,Domestic,no report submitted,no report submitted,no report submitted,-,-,-,-,-,-,-,-,-,0
III (Central Luzon),Subic ,G. Aviation,no report submitted,no report submitted,no report submitted,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),CLARK,International,no report submitted,no report submitted,no report submitted,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),CLARK,Domestic,no report submitted,no report submitted,no report submitted,-,-,-,-,-,-,-,-,-,-
III (Central Luzon),Plaridel,G. Aviation,13574,10442,7456,7038,8644,6096,7980,8042,9826,8480,8044,5868,101490
NCR,NAIA,International,12078,10860,12032,12216,12424,11970,12370,12182,11692,12146,11964,12846,144780
NCR,NAIA,Domestic,24494,22240,24274,25644,26744,24154,24152,23630,22436,22440,23844,26654,290706
NCR,NAIA,G. Aviation,6568,6042,6396,6058,6110,5660,6094,6166,6174,6778,6452,6324,74822
IV-A (CALABARZON)),Alabat,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
III (Central Luzon),Baler,G. Aviation,0,174,120,0,112,116,0,0,0,0,0,0,522
IV-B (MIMAROPA),Busuanga,PAL Express,0,106,126,116,122,116,124,0,0,0,0,0,710
IV-B (MIMAROPA),Busuanga,Cebu Pacific,0,94,118,124,122,116,124,0,0,0,0,0,698
IV-B (MIMAROPA),Busuanga,Asian Spirit,2,56,62,60,62,60,62,0,0,0,0,0,364
IV-B (MIMAROPA),Busuanga,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Busuanga,G. Aviation,278,134,138,86,170,220,88,0,0,0,0,0,1114
IV-B (MIMAROPA),Calapan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Cuyo,Seair,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Cuyo,G. Aviation,0,48,0,0,0,0,106,100,70,84,0,70,478
IV-B (MIMAROPA),Cuyo,Military,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
IV-A (CALABARZON)),Jomalig,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Lubang,G. Aviation,484,438,488,382,316,454,256,568,804,722,1176,3942,10030
IV-B (MIMAROPA),Lubang,Military,0,0,2,0,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),Mamburao,G. Aviation,24,20,114,136,252,88,94,26,68,20,62,88,992
IV-B (MIMAROPA),Marinduque,Zest Air,38,36,42,48,54,60,0,62,58,62,0,62,522
IV-B (MIMAROPA),Marinduque,Seair,0,0,0,16,0,0,0,0,0,0,0,0,16
IV-B (MIMAROPA),Marinduque,G. Aviation,-,0,22,16,12,0,0,0,0,0,6,16,72
IV-B (MIMAROPA),Puerto Princesa ,PAL,122,112,124,120,130,118,124,124,108,96,120,126,1424
IV-B (MIMAROPA),Puerto Princesa ,Air Philippines,138,64,142,136,142,134,120,124,130,136,136,142,1544
IV-B (MIMAROPA),Puerto Princesa ,Cebu Pacific,194,206,222,238,248,216,212,220,218,248,240,248,2710
IV-B (MIMAROPA),Puerto Princesa ,Seair,0,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Puerto Princesa ,Zest Air,92,110,124,120,124,60,118,90,92,110,120,124,1284
IV-B (MIMAROPA),Puerto Princesa ,Lion Air,2,0,0,0,0,0,0,0,0,0,0,0,2
IV-B (MIMAROPA),Puerto Princesa ,G. Aviation,206,170,82,118,82,94,40,62,96,256,188,126,1520
IV-B (MIMAROPA),Puerto Princesa ,Military,0,4,0,0,0,0,0,8,0,0,0,0,12
IV-B (MIMAROPA),Romblon,Seair,26,18,26,28,26,24,26,2,0,4,10,8,198
IV-B (MIMAROPA),Romblon,Zest Air,26,24,28,26,26,26,24,26,26,26,26,28,312
IV-B (MIMAROPA),Romblon,G. Aviation,4,14,0,10,14,0,4,0,6,4,0,0,56
IV-B (MIMAROPA),Romblon,Military,0,0,0,0,0,0,0,0,0,-,0,0,0
IV-B (MIMAROPA),San Jose,PAL,-,0,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),San Jose,Air Philippines,62,56,62,30,62,60,44,44,58,62,30,62,632
IV-B (MIMAROPA),San Jose,Cebu Pacific,38,32,34,32,36,32,36,32,36,36,16,34,394
IV-B (MIMAROPA),San Jose,Zest Air,62,56,62,60,62,60,62,62,58,62,30,62,698
IV-B (MIMAROPA),San Jose,G. Aviation,56,74,110,142,272,208,68,48,30,36,22,32,1098
IV-B (MIMAROPA),San Jose,Military,12,16,2,2,0,4,2,0,2,2,0,0,42
IV-B (MIMAROPA),Pinamalayan,Seair,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
IV-B (MIMAROPA),Wasig,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
V (Bicol Region),Bulan,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
V (Bicol Region),Daet,G. Aviation,no report submitted,-,0,0,0,0,0,0,0,0,0,0,0
V (Bicol Region),Legaspi,PAL,60,56,60,62,60,58,60,62,50,32,60,62,682
V (Bicol Region),Legaspi,Air Philippines,110,100,100,58,62,56,60,62,58,62,60,62,850
V (Bicol Region),Legaspi,Cebu Pacific,140,158,162,196,196,154,188,206,198,202,164,168,2132
V (Bicol Region),Legaspi,Zest Air,42,52,52,62,60,58,62,56,60,64,58,74,700
V (Bicol Region),Legaspi,G. Aviation,52,86,24,38,32,20,44,28,26,26,12,8,396
V (Bicol Region),Legaspi,Military,2,0,0,0,0,0,0,2,2,0,6,0,12
V (Bicol Region),Masbate,Zest Air,54,84,30,50,0,0,56,60,54,58,58,62,566
V (Bicol Region),Masbate,G. Aviation,4,8,4,0,0,2,4,12,18,6,4,10,72
V (Bicol Region),Masbate,Air Philippines,52,56,4,52,2,0,0,14,54,60,58,60,412
V (Bicol Region),Masbate,Military,0,0,4,0,2,0,0,14,0,0,0,-,20
V (Bicol Region),Naga,Cebu Pacific,112,108,126,178,166,162,152,152,178,0,194,0,1528
V (Bicol Region),Naga,Air Philippines,122,102,116,126,230,168,140,144,136,0,152,0,1436
V (Bicol Region),Naga,G. Aviation,2,6,116,32,58,0,10,34,36,0,26,0,320
V (Bicol Region),Naga,Military,6,16,16,0,0,0,2,2,0,0,2,0,44
V (Bicol Region),Sorsogon,G. Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
V (Bicol Region),Virac,Cebu Pacific,34,32,32,34,34,30,32,34,32,36,30,26,386
V (Bicol Region),Virac,Asian Spirit,36,30,34,34,34,32,34,36,32,36,32,42,412
V (Bicol Region),Virac,G. Aviation,0,6,4,6,8,22,0,0,12,14,26,0,98
V (Bicol Region),Virac,Military,0,0,0,0,2,2,0,0,0,0,0,0,4
VI (Western Visayas),Antique,G. Aviation,no report submitted,no report submitted,0,0,0,0,0,0,0,0,0,0,0
VI (Western Visayas),Bacolod,PAL,252,224,248,236,248,240,248,248,210,112,180,248,2694
VI (Western Visayas),Bacolod,Cebu Pacific,410,330,400,456,498,428,420,430,406,418,378,402,4976
VI (Western Visayas),Bacolod,Zest Air,102,104,120,120,124,118,100,60,76,98,98,116,1236
VI (Western Visayas),Bacolod,Air Philippines,248,224,246,238,248,240,256,300,294,304,300,302,3200
VI (Western Visayas),Bacolod,Military,0,0,18,0,2,0,0,384,4,0,0,0,408
VI (Western Visayas),Bacolod,G. Aviation,332,482,322,160,422,370,332,0,454,0,332,0,3206
VI (Western Visayas),Caticlan,Cebu Pacific,618,520,716,838,880,608,642,474,482,0,674,782,7234
VI (Western Visayas),Caticlan,Air Philippines,558,522,434,676,690,616,588,538,556,0,552,502,6232
VI (Western Visayas),Caticlan,Seair,520,480,486,580,516,360,256,238,176,0,96,114,3822
VI (Western Visayas),Caticlan,G. Aviation,184,120,184,124,108,130,60,74,90,0,128,146,1348
VI (Western Visayas),Caticlan,Military,0,0,0,0,0,0,0,0,0,0,0,0,0
VI (Western Visayas),Iloilo,PAL,504,368,404,232,256,240,248,244,206,100,178,248,3228
VI (Western Visayas),Iloilo,Cebu Pacific,1340,1004,1190,608,656,580,576,580,564,604,596,628,8926
