cities,position,name,nickname,party_affiliation,votes_obtained
Alamada,Mayor,"Concepcion, Ernesto Margate",Erning,Lakas-Kabalikat ng Malayang Pilipino,10591
Alamada,Vice-Mayor,"Lataza, Bartolome Jr. Belarmino",Jun,Lakas-Kabalikat ng Malayang Pilipino,12142
Alamada,Councilor,"Ortuoste, Ricardo Hernandez",Karding,Lakas-Kabalikat ng Malayang Pilipino,6572
Alamada,Councilor,"Calibara, Leonigildo Jr. Andoque",Toto,Lakas-Kabalikat ng Malayang Pilipino,6309
Alamada,Councilor,"Cadava, Ruben Dimpaso",Ben,Lakas-Kabalikat ng Malayang Pilipino,6241
Alamada,Councilor,"Alim, Samuel Andea",Samuel,Independent,7215
Alamada,Councilor,"Diesto, Sally Mayo",Baiker,Lakas-Kabalikat ng Malayang Pilipino,6185
Alamada,Councilor,"Fortunado, Angelina Mata",Geling,Lakas-Kabalikat ng Malayang Pilipino,7076
Alamada,Councilor,"Odrunia, Fe Marigsa",Keting,Lakas-Kabalikat ng Malayang Pilipino,6642
Alamada,Councilor,"Senerez, Pio Junio",Ban-Ban,Lakas-Christian Muslim Democrats,6286
Aleosan,Mayor,"Cabaya, Loreto Jr. Vargas",Nonoy,-,7679
Aleosan,Vice-Mayor,"Cabugwason, Rio Callado",Nonoy,Lakas-Kabalikat ng Malayang Pilipino,5791
Aleosan,Councilor,"Clarito, Mamerto Catanus",Buldos,Lakas-Kabalikat ng Malayang Pilipino,4622
Aleosan,Councilor,"Ungkay, Norodin Ampatuan",Rudy,Lakas-Kabalikat ng Malayang Pilipino,4812
Aleosan,Councilor,"Cabalo, Eduardo Capulos",Ed,Lakas-Kabalikat ng Malayang Pilipino,5082
Aleosan,Councilor,"Calambro, Hyxil Clarito",Bing Bing,Lakas-Kabalikat ng Malayang Pilipino,5299
Aleosan,Councilor,"Cabaya, Eduardo Cantomayor",Toto,Lakas-Kabalikat ng Malayang Pilipino,5850
Aleosan,Councilor,"Sorupia, Felix Sr. Candole",Gwapo,Lakas-Kabalikat ng Malayang Pilipino,5916
Aleosan,Councilor,"Cayang, Felimon Jr. Caballero",Unyok,Lakas-Kabalikat ng Malayang Pilipino,6052
Aleosan,Councilor,"Caluyo, Filemon Obsequio",Emon,Lakas-Kabalikat ng Malayang Pilipino,4292
Antipas,Mayor,"Cadungon, Cristobal Doloroso",Cris,-,5352
Antipas,Vice-Mayor,"Gabriel, Abraham Condes",Boy,Lakas-Kabalikat ng Malayang Pilipino,7574
Antipas,Councilor,"Sarmiento, Jimmy Delfin",Toto Jimmy,Lakas-Kabalikat ng Malayang Pilipino,4827
Antipas,Councilor,"Carugda, Edgar Pelobello",Egah,Lakas-Kabalikat ng Malayang Pilipino,4832
Antipas,Councilor,"Cadungon, Ramon Doloroso",Toto,Lakas-Kabalikat ng Malayang Pilipino,4881
Antipas,Councilor,"Palomo, Henry Papelera",Toto Henry,Lakas-Kabalikat ng Malayang Pilipino,5000
Antipas,Councilor,"Pedregosa, Andres Pedregosa",Nono,Lakas-Christian Muslim Democrats,5071
Antipas,Councilor,"Magbanua, Ronnie Salvaleon",Dodong Imok,Lakas-Kabalikat ng Malayang Pilipino,5571
Antipas,Councilor,"Liboon, Rosalia Penoy",Ging Ging,Lakas-Kabalikat ng Malayang Pilipino,6005
Antipas,Councilor,"Cadungon, Ronnie Padura",Tito,Lakas-Christian Muslim Democrats,4909
Arakan,Mayor,"Tapgos, Romulo Molate",Nonoy,Lakas-Kabalikat ng Malayang Pilipino,7045
Arakan,Vice-Mayor,"Tuble, Gerardo Sr. Baylosis",Nene,Lakas-Kabalikat ng Malayang Pilipino,7061
Arakan,Councilor,"Monteser, Jimson Dana",Toto,Independent,4410
Arakan,Councilor,"Wong-Monteser, Zaidee Pentacase",Tata,-,4602
Arakan,Councilor,"Paron, Gory Casiple",Go,Independent,4948
Arakan,Councilor,"Ambato, Sumerado Tumadin",Sam,Lakas-Christian Muslim Democrats,5378
Arakan,Councilor,"Rubino, Rene Villasor",Daboy,Lakas-Christian Muslim Democrats,7498
Arakan,Councilor,"Bajar, Amelita Brizuela",Nene,Lakas-Kabalikat ng Malayang Pilipino,5711
Arakan,Councilor,"Ebon, Aproniano Ambay",Apron,Lakas-Kabalikat ng Malayang Pilipino,6783
Arakan,Councilor,"Reovoca, Leonardo Santillan",Bobong,Independent,4284
Banisilan,Mayor,"Allado, Betty Alisasis",Deding,Lakas-Kabalikat ng Malayang Pilipino,6031
Banisilan,Vice-Mayor,"Paredes, Augustus Ceasar Cardona",Bobong,Lakas-Kabalikat ng Malayang Pilipino,5420
Banisilan,Councilor,"Omar, Gapor Cabilo",Gaps,Lakas-Kabalikat ng Malayang Pilipino,4157
Banisilan,Councilor,"Rajah-Muda, Bobby Talib",Bobby,Lakas-Kabalikat ng Malayang Pilipino,4312
Banisilan,Councilor,"Gumban, Joel Aguirre",Boying,Lakas-Kabalikat ng Malayang Pilipino,4969
Banisilan,Councilor,"Falle, Alan Maygay",Toto,Lakas-Kabalikat ng Malayang Pilipino,5893
Banisilan,Councilor,"Calva, Crisostomo Jr. Carbonilla",Dondon,Lakas-Kabalikat ng Malayang Pilipino,4262
Banisilan,Councilor,"Lustan, Erwin Navarro",Toto,Lakas-Kabalikat ng Malayang Pilipino,5021
Banisilan,Councilor,"Malidas, Sunny Mohamad",Sun,Independent,5159
Banisilan,Councilor,"Parcon, Nemuel Cablin",Wel,Lakas-Christian Muslim Democrats,4321
City of Kidapawan,Mayor,"Talino, Noemi Jacolo",Bebing,Lakas-Kabalikat ng Malayang Pilipino,15064
City of Kidapawan,Mayor,"Gantuangco, Rodolfo Yamyamin",Dodong,-,26065
City of Kidapawan,Vice-Mayor,"Arendain, Moises Cabulang",Bong,Lakas-Kabalikat ng Malayang Pilipino,13969
City of Kidapawan,Vice-Mayor,"Malaluan, Luis Pana",Doctor,-,39806
City of Kidapawan,Councilor,"Amador, Junares John Sitjar",Narry,Lakas-Kabalikat ng Malayang Pilipino,21386
City of Kidapawan,Councilor,"Nitafan, Nestor Abayato",Nes,Lakas-Kabalikat ng Malayang Pilipino,8980
City of Kidapawan,Councilor,"Yarra, Gregory Itutud",Greg,Lakas-Kabalikat ng Malayang Pilipino,19229
City of Kidapawan,Councilor,"Manampan, Valentino Pinalanca",Val,Lakas-Kabalikat ng Malayang Pilipino,8857
City of Kidapawan,Councilor,"Angeles, Alfonso Jr. Gastar",Aga,Lakas-Kabalikat ng Malayang Pilipino,18636
City of Kidapawan,Councilor,"Tamontok, Rosalino Baican",Butch,Lakas-Kabalikat ng Malayang Pilipino,8694
City of Kidapawan,Councilor,"Ong, Richelle Magapang",Mastertitin,Lakas-Christian Muslim Democrats,16849
City of Kidapawan,Councilor,"Naquitquitan, Anathy Lagat",Inday,Lakas-Kabalikat ng Malayang Pilipino,9098
City of Kidapawan,Councilor,"Omandac, Roberto Alegarbes",Oki Dok,Lakas-Kabalikat ng Malayang Pilipino,21816
City of Kidapawan,Councilor,"Taynan, Lauro Jr. Granada",Lau,Lakas-Kabalikat ng Malayang Pilipino,21943
City of Kidapawan,Councilor,"Rivera, Alberto Ganancial",Bert,Lakas-Kabalikat ng Malayang Pilipino,10065
City of Kidapawan,Councilor,"Navarra, Francisco Hernando",Bibi Iko,Lakas-Kabalikat ng Malayang Pilipino,22367
City of Kidapawan,Councilor,"Saberola, Justo Jr. Blabagno",Jun,Lakas-Kabalikat ng Malayang Pilipino,10148
City of Kidapawan,Councilor,"Espina, Dina Yray",Dina,Lakas-Kabalikat ng Malayang Pilipino,22440
City of Kidapawan,Councilor,"Panzo, Maximino Rios",Ontoy,Lakas-Kabalikat ng Malayang Pilipino,10941
City of Kidapawan,Councilor,"Evangelista, Joseph Arellano",Jo,-,25519
City of Kidapawan,Councilor,"Cabrillos, Jimmy Saliling",Mario,Lakas-Kabalikat ng Malayang Pilipino,11070
City of Kidapawan,Councilor,"Ablang, Wilfredo Tocmo",Dodong,Independent,15210
Kabacan,Mayor,"Tan, George Bucoya",Jojo,Lakas-Christian Muslim Democrats,9110
Kabacan,Vice-Mayor,"Dulay, Policronio Javier",Pol,Lakas-Kabalikat ng Malayang Pilipino,13034
Kabacan,Councilor,"Mamaluba, Rhosman Sansaluna",Ros,Lakas-Christian Muslim Democrats,7982
Kabacan,Councilor,"Mantawil, Datu Masla Palti",Abc Datu Masla,-,7788
Kabacan,Councilor,"Mantawil, Cedric Salomon",Ced,Lakas-Christian Muslim Democrats,9185
Kabacan,Councilor,"Pedtamanan, Manny Kabamblan",Manny,Lakas-Kabalikat ng Malayang Pilipino,9357
Kabacan,Councilor,"Tabara, Jonathan Macling",Jonathan,Lakas-Kabalikat ng Malayang Pilipino,10174
Kabacan,Councilor,"Guzman, Herlo Cabangal",Nelben,Lakas-Kabalikat ng Malayang Pilipino,10269
Kabacan,Councilor,"Guiabar, Jabib Manguni",Virgo,Independent,11042
Kabacan,Councilor,"Dapun, Rufino Sabado",Pepe,Lakas-Kabalikat ng Malayang Pilipino,7900
Libungan,Mayor,"Dela Serna, Manuel Tabar",Maning,Lakas-Christian Muslim Democrats,5663
