month,time,north_avenue_entry,north_avenue_exit,quezon_avenue_entry,quezon_avenue_exit,gma_kamuning_entry,gma_kamuning_exit,cubao_entry,cubao_exit,santolan_entry,santolan_exit,ortigas_entry,ortigas_exit,shaw_blvd_entry,shaw_blvd_exit,boni_avenue_entry,boni_avenue_exit,guadalupe_entry,guadalupe_exit,buendia_entry,buendia_exit,ayala_avenue_entry,ayala_avenue_exit,magallanes_entry,magallanes_exit,taft_entry,taft_exit
October,22:00 - 22:59,2068.828714,72850.93773,1601.199423,47281.72466,1883.079028,17129.64768,8726.796549,60360.27254,1784.566227,4522.134856,11232.50593,8126.860212,19148.73819,26136.81369,10100.67795,14808.81968,15517.41238,19015.89774,11138.95475,6628.03036,42166.10743,16605.18253,16607.04634,8432.757086,28450.88036,39386.24327
October,23:00 - 23:59,9.50144335,3130.272469,1.679700592,679.2084517,29.90916477,760.2262387,274.5369348,2489.460042,42.37232168,215.7916813,337.0250404,241.4679999,2.830879242,18.33562611,285.5999894,438.0515952,135.9369962,181.5583315,124.2056846,42.89374052,114.6531564,55.32303001,157.5267598,79.08349199,245.9605473,329.8097099
October,00:00 - 00:59,4.129556351,4,0,0,0,0,0.033863795,0.031890773,0,0,0.085049657,0.082439669,0.056081482,0.048344963,0,0,0.096421094,0.217296379,0,0,0.030791066,0.067295242,0,0,0,0
October,01:00 - 01:59,0,0,0.135201236,0.137453235,0.065239365,0,0.095711991,0,0,0,0.085049657,0.082439669,0,0,1,0,0,0,0,0,0,0,0,0,0,0
October,02:00 - 02:59,0,0,0,0,0,0,0,0,0,0,0,0,0.103348358,0.100386816,0,0,0.101336511,0.097584549,0,0,0,0,0,0,0,0
November,03:00 - 03:59,0.236615874,0,1.629120752,0,3.090689683,0,19.31746075,0.048848108,0.060679523,0,0,0,1.475578128,1.052893549,0,0,0,0,0,0.005057183,0,0,0,0,0,0
November,04:00 - 04:59,6568.765884,9.81956009,5014.735761,10.34144394,3173.923975,5.832965826,4823.337028,81.57913069,176.2220912,3.052390241,170.1430444,23.20354621,612.9172839,30.21858666,9.030738045,7.196081443,29.79975751,0,0.026003309,0,0.034655582,0.005651612,0.301901468,0.013308558,0.151519648,0
November,05:00 - 05:59,113367.2567,5829.25129,48797.55941,9804.350919,26674.63522,3587.793405,57573.45138,14693.99852,3401.050805,3354.319864,5280.027251,15246.53606,29614.27148,27955.05796,12753.52877,15227.94285,23724.59997,19182.05951,4621.03684,17883.3676,9592.658276,39700.79115,16009.46805,24218.71461,47833.95558,40461.3115
November,06:00 - 06:59,233272.6394,27956.05337,103200.636,41970.35083,47989.788,15075.85711,67976.9058,51861.62612,9081.819787,14602.40353,18668.42761,40050.06335,68136.74183,77547.99379,35889.34717,34792.93908,62114.69836,45054.70074,13960.73924,44365.62173,30043.06429,95036.40162,44516.79703,63301.21475,123255.1912,97355.44809
November,07:00 - 07:59,264684.7965,46631.26693,89022.31459,69468.26449,40475.68883,29931.15345,62453.46283,72922.44137,15185.20599,34364.57434,32117.33511,70816.24322,92594.96497,117923.1838,52069.44836,53045.77543,83229.0293,52677.7642,19476.5815,69791.7442,42303.02607,124424.6168,62081.57878,84094.08039,188211.3725,116581.0207
November,08:00 - 08:59,250387.8472,50695.50541,86130.94494,74942.77385,41150.83022,29093.91052,71608.66823,85351.54163,17000.50977,43963.12263,31951.39503,100068.1002,93524.3314,145462.2446,51507.55233,56226.97593,88824.7863,54053.25191,17276.99302,77569.2483,37126.94856,138260.0693,61556.88076,94087.99871,193320.2347,125398.5381
November,09:00 - 09:59,198211.0484,60954.04744,78553.15054,59981.92896,42552.19664,25677.22996,81782.13585,88087.66958,15687.66654,44810.31366,25927.35198,94474.73011,84598.66091,138190.2473,40820.40767,52911.57815,80125.42945,52018.91935,17926.40969,53726.73246,37756.13367,140864.9299,54325.60707,70867.07049,162504.5787,128816.1618
November,10:00 - 10:59,142839.2641,56231.93229,61143.08344,46400.17842,37573.38393,22093.84773,87274.29408,78840.96208,14134.10354,31440.50238,22451.01752,64381.44614,72205.94718,106770.4079,36003.51408,37842.06026,68835.18655,47761.91633,18948.94982,32627.59131,35714.35747,111146.3033,43706.75263,45992.8637,126444.4046,124007.8506
November,11:00 - 11:59,139282.7522,63419.04062,58389.02837,42127.01938,36019.77528,18797.36369,92544.29937,80755.03271,14714.23519,22666.45384,25309.4647,59265.32058,77244.74525,97625.19656,36388.23572,33005.8585,64283.93314,48608.44541,20028.32001,26633.14865,39315.41293,110656.9842,42639.28134,38912.14555,124799.278,122076.5955
November,12:00 - 12:59,128923.9654,65746.83141,56368.28518,44217.3869,34363.42344,19587.50206,93080.96386,85212.09917,13747.74835,17333.23671,27683.40806,56907.3228,79239.51225,94993.41569,34957.77649,34401.95716,64037.36298,48428.84594,20487.50056,25710.68246,44832.37866,92547.25554,43150.51516,36213.91352,122912.5453,125877.1631
November,13:00 - 13:59,114745.3321,64326.29993,52724.94255,46836.88131,31873.36103,21381.47493,91958.90029,86055.93432,14522.68391,17757.27579,29600.26608,55419.01916,76281.40606,86874.02351,34044.17817,35841.10919,61058.71327,45187.32957,20560.03149,27136.25815,49400.89165,81393.05825,42661.26189,35233.98214,125420.0844,122534.9417
November,14:00 - 14:59,97500.22269,71420.18593,48979.77462,49263.34047,31302.50914,21491.01604,89574.69639,89418.99668,15774.38201,16990.92497,35546.17761,47821.68482,78459.75844,81849.44848,36926.41495,32817.54178,57914.7911,48433.20758,25752.61367,23399.26842,58703.30446,72391.57118,46466.68483,32489.62586,125053.3973,125089.3447
November,15:00 - 15:59,89525.93873,82080.31626,50835.98823,56604.82964,31028.42761,23713.15966,90341.35871,100367.9376,17635.7398,15953.16372,42903.29469,45222.65492,89377.25668,81144.47505,38788.69352,35496.83614,58339.99888,53926.17849,34459.61843,17931.28422,76508.02552,64765.09767,55151.06334,29515.03037,130992.2344,133438.1771
November,16:00 - 16:59,95983.69553,106694.0588,60422.54406,75090.22735,38767.37143,29893.52312,96694.90154,116805.8937,22450.72352,14737.24462,51705.64429,44074.57702,105681.7648,85533.78036,45350.63077,36878.91744,64591.06693,61820.02099,44111.02671,14991.25118,98709.69578,64811.85524,77703.77653,28777.24563,150595.538,141195.0013
